,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
0,1,11:43.0,,A. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),0,2
1,1,11:30.0,Personal foul by A. Johnson (drawn by D. Nowitzki),,0,2
2,1,11:22.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,0,2
3,1,11:21.0,,Defensive rebound by K. Lowry,0,2
4,1,11:13.0,,D. DeRozan misses 2-pt hook shot from 11 ft (block by D. Nowitzki),0,2
5,1,11:13.0,,Offensive rebound by Team,0,2
6,1,10:58.0,,T. Ross misses 3-pt jump shot from 24 ft,0,2
7,1,10:57.0,Defensive rebound by D. Nowitzki,,0,2
8,1,10:39.0,Turnover by M. Ellis (bad pass; steal by J. Valančiūnas),,0,2
9,1,10:31.0,,Turnover by T. Ross (bad pass),0,2
10,1,10:17.0,M. Ellis misses 2-pt jump shot from 15 ft,,0,2
11,1,10:16.0,,Defensive rebound by J. Valančiūnas,0,2
12,1,9:57.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by D. DeRozan),0,5
13,1,9:39.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,0,5
14,1,9:38.0,,Defensive rebound by J. Valančiūnas,0,5
15,1,9:30.0,,K. Lowry makes 3-pt jump shot from 27 ft,0,8
16,1,9:13.0,M. Ellis misses 2-pt layup from 2 ft,,0,8
17,1,9:12.0,,Defensive rebound by J. Valančiūnas,0,8
18,1,9:08.0,,T. Ross makes 2-pt layup from 1 ft (assist by K. Lowry),0,10
19,1,9:08.0,Dallas full timeout,,0,10
20,1,8:56.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by D. Harris),,2,10
21,1,8:34.0,,A. Johnson misses 2-pt hook shot from 4 ft,2,10
22,1,8:33.0,Defensive rebound by M. Ellis,,2,10
23,1,8:25.0,M. Ellis makes 2-pt jump shot from 20 ft,,4,10
24,1,8:05.0,,D. DeRozan misses 2-pt jump shot from 16 ft,4,10
25,1,8:04.0,Defensive rebound by D. Nowitzki,,4,10
26,1,7:52.0,T. Chandler misses 2-pt layup from 4 ft,,4,10
27,1,7:51.0,,Defensive rebound by D. DeRozan,4,10
28,1,7:38.0,,A. Johnson misses 2-pt jump shot from 3 ft (block by M. Ellis),4,10
29,1,7:37.0,Defensive rebound by C. Parsons,,4,10
30,1,7:26.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),,7,10
31,1,7:02.0,,A. Johnson makes 3-pt jump shot from 25 ft (assist by D. DeRozan),7,13
32,1,6:49.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,7,13
33,1,6:47.0,,Defensive rebound by J. Valančiūnas,7,13
34,1,6:41.0,,K. Lowry misses 3-pt jump shot from 29 ft,7,13
35,1,6:40.0,Defensive rebound by D. Harris,,7,13
36,1,6:28.0,C. Parsons makes 3-pt jump shot from 26 ft (assist by M. Ellis),,10,13
37,1,6:09.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft (block by T. Chandler),10,13
38,1,6:07.0,Defensive rebound by T. Chandler,,10,13
39,1,6:05.0,Turnover by T. Chandler (lost ball; steal by K. Lowry),,10,13
40,1,5:49.0,,K. Lowry misses 2-pt jump shot from 13 ft,10,13
41,1,5:48.0,Defensive rebound by T. Chandler,,10,13
42,1,5:37.0,Shooting foul by K. Lowry (drawn by T. Chandler),,10,13
43,1,5:37.0,T. Chandler makes free throw 1 of 2,,11,13
44,1,5:37.0,B. Wright enters the game for D. Nowitzki,,11,13
45,1,5:37.0,T. Chandler misses free throw 2 of 2,,11,13
46,1,5:37.0,,Defensive rebound by A. Johnson,11,13
47,1,5:18.0,,A. Johnson makes 2-pt hook shot from 4 ft,11,15
48,1,5:09.0,M. Ellis misses 2-pt jump shot from 20 ft,,11,15
49,1,5:07.0,,Defensive rebound by J. Valančiūnas,11,15
50,1,4:58.0,,A. Johnson misses 2-pt hook shot from 5 ft,11,15
51,1,4:58.0,Defensive rebound by Team,,11,15
52,1,4:37.0,Shooting foul by D. DeRozan (drawn by C. Parsons),,11,15
53,1,4:37.0,C. Parsons makes free throw 1 of 3,,12,15
54,1,4:37.0,C. Parsons misses free throw 2 of 3,,12,15
55,1,4:37.0,Offensive rebound by Team,,12,15
56,1,4:37.0,,P. Patterson enters the game for A. Johnson,12,15
57,1,4:37.0,C. Parsons makes free throw 3 of 3,,13,15
58,1,4:26.0,,Personal foul by C. Parsons (drawn by P. Patterson),13,15
59,1,4:26.0,J. Barea enters the game for D. Harris,,13,15
60,1,4:16.0,,D. DeRozan misses 2-pt jump shot from 16 ft,13,15
61,1,4:15.0,Defensive rebound by J. Barea,,13,15
62,1,4:03.0,C. Parsons makes 2-pt jump shot from 13 ft,,15,15
63,1,3:45.0,,T. Ross misses 2-pt jump shot from 5 ft,15,15
64,1,3:44.0,Defensive rebound by T. Chandler,,15,15
65,1,3:28.0,M. Ellis makes 2-pt jump shot from 18 ft (assist by J. Barea),,17,15
66,1,3:14.0,,L. Williams enters the game for T. Ross,17,15
67,1,3:03.0,Offensive charge foul by K. Lowry (drawn by M. Ellis),,17,15
68,1,3:03.0,,Turnover by K. Lowry (offensive foul),17,15
69,1,3:03.0,,Violation by Team (delay of game),17,15
70,1,2:56.0,Personal foul by K. Lowry (drawn by J. Barea),,17,15
71,1,2:56.0,,Toronto full timeout,17,15
72,1,2:56.0,,G. Vásquez enters the game for K. Lowry,17,15
73,1,2:56.0,D. Nowitzki enters the game for T. Chandler,,17,15
74,1,2:40.0,J. Barea makes 3-pt jump shot from 25 ft (assist by C. Parsons),,20,15
75,1,2:25.0,,L. Williams makes 2-pt jump shot from 16 ft (assist by P. Patterson),20,17
76,1,2:25.0,,Shooting foul by C. Parsons (drawn by L. Williams),20,17
77,1,2:25.0,J. Crowder enters the game for C. Parsons,,20,17
78,1,2:25.0,A. Aminu enters the game for M. Ellis,,20,17
79,1,2:25.0,,L. Williams makes free throw 1 of 1,20,18
80,1,2:14.0,J. Barea misses 2-pt jump shot from 18 ft,,20,18
81,1,2:13.0,,Defensive rebound by P. Patterson,20,18
82,1,1:59.0,,Shooting foul by J. Crowder (drawn by P. Patterson),20,18
83,1,1:59.0,,P. Patterson misses free throw 1 of 2,20,18
84,1,1:59.0,,Offensive rebound by Team,20,18
85,1,1:59.0,,P. Patterson misses free throw 2 of 2,20,18
