,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,E. Gordon misses 2-pt layup from 1 ft,0,0
1,1,11:42.0,Defensive rebound by W. Johnson,,0,0
2,1,11:23.0,W. Johnson misses 2-pt jump shot from 22 ft,,0,0
3,1,11:21.0,,Defensive rebound by E. Gordon,0,0
4,1,11:07.0,,Turnover by A. Davis (lost ball),0,0
5,1,10:50.0,E. Davis makes 2-pt layup at rim (assist by K. Bryant),,2,0
6,1,10:50.0,Shooting foul by Ö. Aşık (drawn by E. Davis),,2,0
7,1,10:50.0,E. Davis makes free throw 1 of 1,,3,0
8,1,10:38.0,,T. Evans makes 2-pt layup from 1 ft (assist by Ö. Aşık),3,2
9,1,10:27.0,Shooting foul by T. Evans (drawn by W. Johnson),,3,2
10,1,10:27.0,W. Johnson misses free throw 1 of 2,,3,2
11,1,10:27.0,Offensive rebound by Team,,3,2
12,1,10:27.0,W. Johnson makes free throw 2 of 2,,4,2
13,1,10:13.0,,A. Davis misses 2-pt jump shot from 19 ft,4,2
14,1,10:11.0,,Offensive rebound by T. Evans,4,2
15,1,10:07.0,,D. Cunningham misses 2-pt layup from 2 ft (block by K. Bryant),4,2
16,1,10:06.0,Defensive rebound by W. Johnson,,4,2
17,1,9:59.0,E. Davis misses 2-pt layup from 1 ft,,4,2
18,1,9:56.0,,Defensive rebound by A. Davis,4,2
19,1,9:47.0,,Shooting foul by E. Davis (drawn by A. Davis),4,2
20,1,9:47.0,,A. Davis makes free throw 1 of 2,4,3
21,1,9:47.0,,A. Davis makes free throw 2 of 2,4,4
22,1,9:34.0,Turnover by E. Davis (lost ball),,4,4
23,1,9:20.0,,A. Davis misses 2-pt dunk at rim,4,4
24,1,9:18.0,Defensive rebound by K. Bryant,,4,4
25,1,9:08.0,E. Davis misses 2-pt layup from 1 ft,,4,4
26,1,9:06.0,,Defensive rebound by Ö. Aşık,4,4
27,1,9:01.0,,T. Evans misses 2-pt layup from 1 ft,4,4
28,1,8:59.0,,Offensive rebound by T. Evans,4,4
29,1,8:57.0,,T. Evans makes 2-pt layup from 1 ft,4,6
30,1,8:36.0,J. Hill misses 2-pt jump shot from 21 ft,,4,6
31,1,8:36.0,,Defensive rebound by Team,4,6
32,1,8:23.0,,Personal foul by W. Johnson (drawn by E. Gordon),4,6
33,1,8:08.0,,A. Davis misses 2-pt jump shot from 16 ft,4,6
34,1,8:08.0,,Offensive rebound by Team,4,6
35,1,7:52.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by A. Davis),4,9
36,1,7:25.0,K. Bryant makes 2-pt jump shot from 20 ft,,6,9
37,1,6:59.0,,E. Gordon misses 3-pt jump shot from 25 ft,6,9
38,1,6:58.0,Defensive rebound by K. Bryant,,6,9
39,1,6:54.0,W. Johnson misses 2-pt layup at rim,,6,9
40,1,6:52.0,,Defensive rebound by D. Cunningham,6,9
41,1,6:40.0,,D. Cunningham misses 2-pt jump shot from 16 ft,6,9
42,1,6:39.0,Defensive rebound by J. Hill,,6,9
43,1,6:32.0,Shooting foul by D. Cunningham (drawn by J. Hill),,6,9
44,1,6:32.0,J. Hill makes free throw 1 of 2,,7,9
45,1,6:32.0,J. Hill misses free throw 2 of 2,,7,9
46,1,6:31.0,,Defensive rebound by Ö. Aşık,7,9
47,1,6:13.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by E. Gordon),7,11
48,1,5:51.0,K. Bryant misses 2-pt jump shot from 20 ft,,7,11
49,1,5:49.0,,Defensive rebound by E. Gordon,7,11
50,1,5:40.0,,E. Gordon misses 2-pt jump shot from 4 ft,7,11
51,1,5:39.0,Defensive rebound by K. Bryant,,7,11
52,1,5:39.0,,New Orleans full timeout,7,11
53,1,5:17.0,Turnover by Team (shot clock),,7,11
54,1,5:01.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),7,13
55,1,4:47.0,J. Hill makes 2-pt dunk at rim (assist by E. Davis),,9,13
56,1,4:27.0,,A. Davis misses 2-pt jump shot from 5 ft (block by E. Davis),9,13
57,1,4:27.0,Defensive rebound by Team,,9,13
58,1,4:27.0,C. Boozer enters the game for E. Davis,,9,13
59,1,4:27.0,,N. Wolters enters the game for T. Evans,9,13
60,1,4:27.0,,Q. Pondexter enters the game for D. Cunningham,9,13
61,1,4:15.0,Shooting foul by E. Gordon (drawn by W. Johnson),,9,13
62,1,4:15.0,W. Johnson makes free throw 1 of 2,,10,13
63,1,4:15.0,,R. Anderson enters the game for Ö. Aşık,10,13
64,1,4:15.0,W. Johnson makes free throw 2 of 2,,11,13
65,1,3:55.0,,N. Wolters makes 2-pt layup from 1 ft (assist by E. Gordon),11,15
66,1,3:40.0,Shooting foul by N. Wolters (drawn by R. Price),,11,15
67,1,3:40.0,R. Price makes free throw 1 of 2,,12,15
68,1,3:40.0,R. Price makes free throw 2 of 2,,13,15
69,1,3:34.0,,Personal foul by R. Price (drawn by N. Wolters),13,15
70,1,3:34.0,J. Lin enters the game for R. Price,,13,15
71,1,3:28.0,,E. Gordon makes 2-pt layup from 2 ft,13,17
72,1,3:13.0,K. Bryant misses 3-pt jump shot from 24 ft,,13,17
73,1,3:12.0,,Defensive rebound by N. Wolters,13,17
74,1,3:08.0,Loose ball foul by J. Hill (drawn by A. Davis),,13,17
75,1,2:58.0,,E. Gordon misses 2-pt jump shot from 4 ft,13,17
76,1,2:57.0,Defensive rebound by J. Hill,,13,17
77,1,2:46.0,Offensive foul by K. Bryant (drawn by N. Wolters),,13,17
78,1,2:46.0,Turnover by K. Bryant (offensive foul),,13,17
79,1,2:46.0,LA Lakers full timeout,,13,17
80,1,2:46.0,N. Young enters the game for W. Johnson,,13,17
81,1,2:28.0,,N. Wolters makes 2-pt layup from 2 ft (assist by E. Gordon),13,19
82,1,2:15.0,C. Boozer misses 2-pt jump shot from 7 ft,,13,19
83,1,2:13.0,Offensive rebound by J. Hill,,13,19
84,1,2:11.0,J. Hill makes 2-pt hook shot from 6 ft,,15,19
85,1,1:42.0,,Q. Pondexter misses 3-pt jump shot from 25 ft,15,19
86,1,1:41.0,,Offensive rebound by N. Wolters,15,19
87,1,1:40.0,,Turnover by N. Wolters (step out of bounds),15,19
88,1,1:40.0,W. Ellington enters the game for K. Bryant,,15,19
89,1,1:23.0,J. Lin misses 2-pt layup from 1 ft,,15,19
90,1,1:19.0,Offensive rebound by J. Hill,,15,19
91,1,1:16.0,Shooting foul by A. Davis (drawn by C. Boozer),,15,19
92,1,1:16.0,C. Boozer makes free throw 1 of 2,,16,19
93,1,1:16.0,C. Boozer makes free throw 2 of 2,,17,19
94,1,1:05.0,,N. Wolters misses 2-pt jump shot from 8 ft,17,19
95,1,1:04.0,Defensive rebound by J. Hill,,17,19
96,1,0:55.0,N. Young misses 2-pt jump shot from 20 ft,,17,19
97,1,0:54.0,,Defensive rebound by A. Davis,17,19
98,1,0:49.0,Loose ball foul by W. Ellington (drawn by A. Davis),,17,19
99,1,0:49.0,,A. Davis makes free throw 1 of 2,17,20
100,1,0:49.0,,T. Evans enters the game for E. Gordon,17,20
101,1,0:49.0,,A. Davis misses free throw 2 of 2,17,20
102,1,0:48.0,Defensive rebound by J. Hill,,17,20
103,1,0:34.0,J. Lin makes 3-pt jump shot from 24 ft,,20,20
104,1,0:25.0,,T. Evans makes 2-pt layup from 1 ft,20,22
105,1,0:06.0,Turnover by C. Boozer (traveling),,20,22
106,1,0:00.0,,Turnover by T. Evans (lost ball; steal by W. Ellington),20,22
107,2,11:48.0,R. Sacre misses 2-pt layup from 2 ft,,20,22
108,2,11:47.0,,Defensive rebound by R. Anderson,20,22
109,2,11:33.0,,R. Anderson misses 3-pt jump shot from 23 ft,20,22
110,2,11:32.0,Defensive rebound by R. Sacre,,20,22
111,2,11:19.0,W. Ellington makes 3-pt jump shot from 22 ft,,23,22
112,2,10:59.0,,Personal foul by R. Sacre (drawn by Q. Pondexter),23,22
113,2,10:53.0,,R. Anderson misses 3-pt jump shot from 25 ft,23,22
114,2,10:51.0,,Offensive rebound by Team,23,22
115,2,10:42.0,,T. Evans makes 2-pt layup from 2 ft,23,24
116,2,10:20.0,C. Boozer misses 2-pt jump shot from 9 ft,,23,24
117,2,10:19.0,,Defensive rebound by A. Ajinça,23,24
118,2,10:08.0,,Turnover by N. Wolters (lost ball; steal by J. Lin),23,24
119,2,10:05.0,Shooting foul by T. Evans (drawn by J. Lin),,23,24
120,2,10:05.0,J. Lin makes free throw 1 of 2,,24,24
121,2,10:05.0,J. Lin makes free throw 2 of 2,,25,24
122,2,9:57.0,,Turnover by N. Wolters (lost ball; steal by J. Lin),25,24
123,2,9:52.0,J. Lin makes 2-pt layup from 1 ft,,27,24
124,2,9:35.0,,N. Wolters misses 3-pt jump shot from 24 ft,27,24
125,2,9:34.0,,Offensive rebound by A. Ajinça,27,24
126,2,9:14.0,,A. Ajinça misses 2-pt jump shot from 9 ft,27,24
127,2,9:13.0,,Offensive rebound by R. Anderson,27,24
128,2,8:58.0,,T. Evans makes 3-pt jump shot from 25 ft,27,27
129,2,8:42.0,Personal foul by Q. Pondexter (drawn by J. Lin),,27,27
130,2,8:42.0,Official timeout,,27,27
131,2,8:36.0,N. Young misses 3-pt jump shot from 24 ft,,27,27
132,2,8:35.0,,Defensive rebound by A. Ajinça,27,27
133,2,8:18.0,,Turnover by R. Anderson (lost ball; steal by R. Sacre),27,27
134,2,8:14.0,W. Ellington makes 2-pt layup from 1 ft (assist by N. Young),,29,27
135,2,7:54.0,,Shooting foul by W. Ellington (drawn by Q. Pondexter),29,27
136,2,7:54.0,,Q. Pondexter makes 2-pt layup from 1 ft,29,29
137,2,7:54.0,,D. Cunningham enters the game for N. Wolters,29,29
138,2,7:54.0,,Q. Pondexter makes free throw 1 of 1,29,30
139,2,7:37.0,C. Boozer makes 2-pt jump shot from 5 ft (assist by W. Ellington),,31,30
140,2,7:20.0,,Shooting foul by C. Boozer (drawn by R. Anderson),31,30
141,2,7:20.0,,R. Anderson misses free throw 1 of 2,31,30
142,2,7:20.0,,Offensive rebound by Team,31,30
143,2,7:20.0,,R. Anderson makes free throw 2 of 2,31,31
144,2,6:57.0,N. Young makes 3-pt jump shot from 23 ft (assist by J. Lin),,34,31
145,2,6:36.0,E. Davis enters the game for C. Boozer,,34,31
146,2,6:30.0,,Q. Pondexter makes 2-pt jump shot from 14 ft (assist by R. Anderson),34,33
147,2,6:15.0,E. Davis makes 2-pt layup from 2 ft (assist by J. Lin),,36,33
148,2,5:59.0,,Q. Pondexter misses 3-pt jump shot from 25 ft,36,33
149,2,5:58.0,,Offensive rebound by A. Ajinça,36,33
150,2,5:43.0,,T. Evans misses 2-pt layup from 1 ft,36,33
151,2,5:43.0,,Offensive rebound by Team,36,33
152,2,5:43.0,,New Orleans full timeout,36,33
153,2,5:43.0,K. Bryant enters the game for W. Ellington,,36,33
154,2,5:43.0,,A. Davis enters the game for A. Ajinça,36,33
155,2,5:41.0,,Turnover by D. Cunningham (lost ball; steal by J. Lin),36,33
156,2,5:30.0,N. Young misses 3-pt jump shot from 25 ft,,36,33
157,2,5:29.0,,Defensive rebound by A. Davis,36,33
158,2,5:13.0,,R. Anderson misses 2-pt layup from 1 ft,36,33
159,2,5:13.0,Defensive rebound by N. Young,,36,33
160,2,5:13.0,,Technical foul by R. Anderson,36,33
161,2,5:13.0,K. Bryant makes technical free throw,,37,33
162,2,5:13.0,J. Hill enters the game for R. Sacre,,37,33
163,2,5:13.0,,Ö. Aşık enters the game for R. Anderson,37,33
164,2,5:13.0,,E. Gordon enters the game for Q. Pondexter,37,33
165,2,4:54.0,K. Bryant makes 2-pt jump shot from 6 ft,,39,33
166,2,4:49.0,,Turnover by Ö. Aşık (lost ball; steal by N. Young),39,33
167,2,4:49.0,N. Young makes 2-pt layup from 2 ft,,41,33
168,2,4:49.0,Shooting foul by Ö. Aşık (drawn by N. Young),,41,33
169,2,4:49.0,N. Young makes free throw 1 of 1,,42,33
170,2,4:37.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by J. Lin),42,33
171,2,4:37.0,,Offensive rebound by Team,42,33
172,2,4:37.0,W. Johnson enters the game for N. Young,,42,33
173,2,4:23.0,,T. Evans misses 3-pt jump shot from 25 ft,42,33
174,2,4:22.0,Defensive rebound by J. Hill,,42,33
175,2,4:12.0,E. Davis misses 2-pt layup from 1 ft (block by A. Davis),,42,33
176,2,4:10.0,,Defensive rebound by D. Cunningham,42,33
177,2,4:05.0,,T. Evans misses 2-pt layup from 1 ft,42,33
178,2,4:02.0,,Offensive rebound by A. Davis,42,33
179,2,3:56.0,,E. Gordon misses 3-pt jump shot from 24 ft,42,33
180,2,3:55.0,Defensive rebound by J. Hill,,42,33
181,2,3:44.0,Turnover by J. Lin (traveling),,42,33
182,2,3:34.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by E. Gordon),42,35
183,2,3:16.0,W. Johnson misses 2-pt jump shot from 20 ft,,42,35
184,2,3:15.0,,Defensive rebound by E. Gordon,42,35
185,2,3:12.0,,Shooting foul by K. Bryant (drawn by E. Gordon),42,35
186,2,3:12.0,,E. Gordon makes free throw 1 of 2,42,36
187,2,3:12.0,,N. Wolters enters the game for T. Evans,42,36
188,2,3:12.0,R. Price enters the game for J. Lin,,42,36
189,2,3:12.0,,E. Gordon makes free throw 2 of 2,42,37
190,2,2:59.0,W. Johnson misses 3-pt jump shot from 23 ft,,42,37
191,2,2:56.0,Offensive rebound by E. Davis,,42,37
192,2,2:48.0,K. Bryant misses 3-pt jump shot from 25 ft,,42,37
193,2,2:46.0,,Defensive rebound by Team,42,37
194,2,2:46.0,LA Lakers full timeout,,42,37
195,2,2:26.0,,Turnover by A. Davis (lost ball; steal by W. Johnson),42,37
196,2,2:20.0,Turnover by K. Bryant (bad pass),,42,37
197,2,2:09.0,,E. Gordon makes 2-pt layup from 1 ft,42,39
198,2,1:48.0,Offensive foul by J. Hill (drawn by A. Davis),,42,39
199,2,1:48.0,Turnover by J. Hill (offensive foul),,42,39
200,2,1:35.0,,D. Cunningham misses 2-pt jump shot from 18 ft,42,39
201,2,1:34.0,Defensive rebound by K. Bryant,,42,39
202,2,1:23.0,W. Johnson misses 2-pt jump shot from 16 ft,,42,39
203,2,1:22.0,Offensive rebound by J. Hill,,42,39
204,2,1:09.0,W. Johnson makes 2-pt jump shot from 14 ft,,44,39
205,2,0:45.0,,N. Wolters makes 2-pt jump shot from 19 ft,44,41
206,2,0:32.0,J. Hill misses 2-pt jump shot from 19 ft,,44,41
207,2,0:31.0,,Defensive rebound by Ö. Aşık,44,41
208,2,0:09.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by E. Gordon),44,43
209,2,0:00.0,E. Davis misses 2-pt jump shot from 8 ft,,44,43
210,2,0:00.0,Offensive rebound by Team,,44,43
211,3,11:44.0,J. Hill misses 2-pt jump shot from 3 ft,,44,43
212,3,11:42.0,Offensive rebound by E. Davis,,44,43
213,3,11:42.0,E. Davis misses 2-pt tip-in from 2 ft,,44,43
214,3,11:39.0,,Defensive rebound by E. Gordon,44,43
215,3,11:26.0,,E. Gordon makes 2-pt jump shot from 16 ft (assist by Ö. Aşık),44,45
216,3,11:13.0,Turnover by W. Johnson (lost ball),,44,45
217,3,10:58.0,,A. Davis misses 2-pt jump shot from 17 ft,44,45
218,3,10:57.0,Defensive rebound by E. Davis,,44,45
219,3,10:45.0,W. Johnson misses 3-pt jump shot from 22 ft,,44,45
220,3,10:43.0,,Defensive rebound by T. Evans,44,45
221,3,10:35.0,,T. Evans misses 2-pt layup from 1 ft,44,45
222,3,10:33.0,Defensive rebound by K. Bryant,,44,45
223,3,10:27.0,J. Hill makes 2-pt dunk at rim (assist by K. Bryant),,46,45
224,3,10:07.0,,A. Davis misses 2-pt jump shot from 17 ft,46,45
225,3,10:05.0,Defensive rebound by W. Johnson,,46,45
226,3,9:52.0,K. Bryant misses 2-pt jump shot from 14 ft,,46,45
227,3,9:51.0,,Defensive rebound by Ö. Aşık,46,45
228,3,9:36.0,,T. Evans misses 2-pt layup from 1 ft,46,45
229,3,9:34.0,Defensive rebound by J. Hill,,46,45
230,3,9:32.0,Turnover by J. Hill (lost ball; steal by A. Davis),,46,45
231,3,9:28.0,,Turnover by T. Evans (lost ball; steal by E. Davis),46,45
232,3,9:23.0,K. Bryant misses 3-pt jump shot from 24 ft,,46,45
233,3,9:21.0,,Defensive rebound by D. Cunningham,46,45
234,3,9:06.0,,Shooting foul by R. Price (drawn by D. Cunningham),46,45
235,3,9:06.0,,D. Cunningham makes free throw 1 of 2,46,46
236,3,9:06.0,,D. Cunningham misses free throw 2 of 2,46,46
237,3,9:04.0,Defensive rebound by E. Davis,,46,46
238,3,8:52.0,J. Hill makes 2-pt jump shot from 13 ft (assist by W. Johnson),,48,46
239,3,8:27.0,,A. Davis makes 2-pt jump shot from 5 ft,48,48
240,3,8:11.0,J. Hill misses 2-pt layup from 2 ft (block by A. Davis),,48,48
241,3,8:08.0,,Defensive rebound by A. Davis,48,48
242,3,8:01.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by T. Evans),48,50
