,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA LAKERS_ACTION,DALLAS_SCORE,LA LAKERS_SCORE
0,1,11:44.0,M. Ellis misses 2-pt jump shot from 14 ft,,0,0
1,1,11:42.0,,Defensive rebound by W. Ellington,0,0
2,1,11:24.0,,W. Johnson makes 2-pt jump shot from 20 ft (assist by J. Hill),0,2
3,1,11:06.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,0,2
4,1,11:04.0,,Defensive rebound by W. Johnson,0,2
5,1,10:48.0,,J. Hill makes 2-pt jump shot from 18 ft (assist by W. Johnson),0,4
6,1,10:34.0,Personal foul by T. Black (drawn by D. Nowitzki),,0,4
7,1,10:23.0,R. Rondo makes 2-pt jump shot from 20 ft (assist by D. Nowitzki),,2,4
8,1,10:08.0,,W. Ellington misses 2-pt jump shot from 5 ft,2,4
9,1,10:04.0,,Offensive rebound by J. Hill,2,4
10,1,10:04.0,,J. Hill makes 2-pt dunk at rim,2,6
11,1,9:55.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by R. Rondo),,5,6
12,1,9:39.0,,T. Black makes 2-pt dunk at rim (assist by J. Clarkson),5,8
13,1,9:25.0,C. Parsons makes 2-pt layup at rim,,7,8
14,1,9:25.0,Shooting foul by J. Hill (drawn by C. Parsons),,7,8
15,1,9:25.0,C. Parsons misses free throw 1 of 1,,7,8
16,1,9:23.0,,Defensive rebound by T. Black,7,8
17,1,9:09.0,,W. Ellington misses 2-pt jump shot from 16 ft,7,8
18,1,9:07.0,Defensive rebound by T. Chandler,,7,8
19,1,9:00.0,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),,9,8
20,1,8:36.0,,J. Hill misses 2-pt layup from 1 ft,9,8
21,1,8:35.0,,Offensive rebound by T. Black,9,8
22,1,8:29.0,,J. Hill makes 2-pt jump shot from 17 ft (assist by T. Black),9,10
23,1,8:04.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,9,10
24,1,8:02.0,,Defensive rebound by J. Clarkson,9,10
25,1,7:58.0,,Turnover by J. Clarkson (bad pass),9,10
26,1,7:50.0,M. Ellis misses 2-pt layup from 1 ft,,9,10
27,1,7:47.0,Offensive rebound by T. Chandler,,9,10
28,1,7:47.0,T. Chandler makes 2-pt dunk at rim,,11,10
29,1,7:27.0,,J. Clarkson makes 2-pt jump shot from 15 ft,11,12
30,1,7:12.0,Turnover by R. Rondo (lost ball; steal by J. Hill),,11,12
31,1,7:04.0,,W. Johnson misses 3-pt jump shot from 22 ft,11,12
32,1,7:03.0,,Offensive rebound by J. Hill,11,12
33,1,6:56.0,,W. Ellington misses 3-pt jump shot from 24 ft,11,12
34,1,6:55.0,Defensive rebound by D. Nowitzki,,11,12
35,1,6:43.0,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by R. Rondo),,13,12
36,1,6:18.0,,Personal foul by T. Chandler (drawn by T. Black),13,12
37,1,6:18.0,,J. Lin enters the game for W. Ellington,13,12
38,1,6:17.0,A. Stoudemire enters the game for D. Nowitzki,,13,12
39,1,6:09.0,,Turnover by J. Clarkson (bad pass),13,12
40,1,5:53.0,Turnover by R. Rondo (bad pass; steal by J. Lin),,13,12
41,1,5:48.0,,J. Lin misses 2-pt layup from 1 ft (block by M. Ellis),13,12
42,1,5:46.0,Defensive rebound by R. Rondo,,13,12
43,1,5:42.0,R. Rondo misses 2-pt layup from 1 ft (block by T. Black),,13,12
44,1,5:41.0,,Defensive rebound by J. Hill,13,12
45,1,5:33.0,,Personal foul by M. Ellis (drawn by J. Clarkson),13,12
46,1,5:33.0,,LA Lakers full timeout,13,12
47,1,5:33.0,,C. Boozer enters the game for T. Black,13,12
48,1,5:33.0,R. Jefferson enters the game for C. Parsons,,13,12
49,1,5:23.0,,C. Boozer misses 2-pt jump shot from 12 ft,13,12
50,1,5:21.0,Defensive rebound by M. Ellis,,13,12
51,1,5:17.0,Shooting foul by J. Lin (drawn by M. Ellis),,13,12
52,1,5:17.0,M. Ellis misses free throw 1 of 2,,13,12
53,1,5:17.0,Offensive rebound by Team,,13,12
54,1,5:17.0,M. Ellis makes free throw 2 of 2,,14,12
55,1,4:59.0,,W. Johnson makes 2-pt jump shot from 20 ft (assist by J. Hill),14,14
56,1,4:48.0,Shooting foul by J. Clarkson (drawn by A. Stoudemire),,14,14
57,1,4:48.0,A. Stoudemire misses free throw 1 of 2,,14,14
58,1,4:48.0,Offensive rebound by Team,,14,14
59,1,4:48.0,A. Stoudemire makes free throw 2 of 2,,15,14
60,1,4:30.0,,J. Clarkson makes 2-pt layup from 2 ft,15,16
61,1,4:23.0,,E. Davis enters the game for J. Hill,15,16
62,1,4:23.0,,R. Kelly enters the game for W. Johnson,15,16
63,1,4:11.0,A. Stoudemire misses 2-pt jump shot from 3 ft (block by E. Davis),,15,16
64,1,4:09.0,,Defensive rebound by J. Clarkson,15,16
65,1,4:08.0,,Personal foul by M. Ellis (drawn by J. Clarkson),15,16
66,1,4:08.0,J. Barea enters the game for M. Ellis,,15,16
67,1,3:54.0,,E. Davis makes 2-pt dunk at rim (assist by J. Lin),15,18
68,1,3:30.0,R. Rondo misses 3-pt jump shot from 22 ft,,15,18
69,1,3:29.0,,Defensive rebound by J. Lin,15,18
70,1,3:14.0,,C. Boozer misses 2-pt jump shot from 17 ft,15,18
71,1,3:13.0,Defensive rebound by J. Barea,,15,18
72,1,3:05.0,Personal foul by C. Boozer (drawn by A. Stoudemire),,15,18
73,1,3:05.0,Dallas full timeout,,15,18
74,1,3:05.0,D. Nowitzki enters the game for T. Chandler,,15,18
75,1,3:05.0,A. Stoudemire makes free throw 1 of 2,,16,18
76,1,3:05.0,A. Stoudemire makes free throw 2 of 2,,17,18
77,1,2:49.0,,C. Boozer makes 2-pt jump shot from 13 ft (assist by J. Clarkson),17,20
78,1,2:24.0,R. Jefferson makes 2-pt jump shot from 19 ft (assist by A. Stoudemire),,19,20
79,1,2:04.0,,J. Lin misses 2-pt jump shot from 12 ft,19,20
80,1,2:03.0,Defensive rebound by D. Nowitzki,,19,20
81,1,1:57.0,J. Barea makes 2-pt layup from 1 ft,,21,20
82,1,1:35.0,,C. Boozer misses 2-pt jump shot from 17 ft,21,20
83,1,1:34.0,Defensive rebound by J. Barea,,21,20
84,1,1:28.0,J. Barea makes 2-pt layup from 2 ft,,23,20
85,1,1:15.0,,J. Clarkson misses 2-pt layup from 2 ft,23,20
86,1,1:13.0,,Offensive rebound by J. Clarkson,23,20
87,1,1:13.0,,J. Clarkson misses 2-pt tip-in at rim,23,20
88,1,1:08.0,,Offensive rebound by E. Davis,23,20
89,1,1:08.0,,E. Davis misses 2-pt layup from 1 ft (block by A. Stoudemire),23,20
90,1,1:02.0,Defensive rebound by A. Stoudemire,,23,20
91,1,0:59.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,23,20
92,1,0:57.0,,Defensive rebound by J. Lin,23,20
93,1,0:53.0,,Turnover by C. Boozer (lost ball),23,20
94,1,0:53.0,R. Felton enters the game for R. Rondo,,23,20
95,1,0:33.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by R. Felton),,25,20
96,1,0:15.0,,C. Boozer makes 2-pt dunk at rim (assist by E. Davis),25,22
97,1,0:05.0,J. Barea misses 2-pt jump shot from 6 ft,,25,22
98,1,0:04.0,,Defensive rebound by J. Clarkson,25,22
99,1,0:01.0,,J. Lin makes 2-pt layup at rim (assist by J. Clarkson),25,24
100,2,11:41.0,,W. Ellington misses 3-pt jump shot from 23 ft,25,24
101,2,11:39.0,Defensive rebound by D. Nowitzki,,25,24
102,2,11:15.0,A. Stoudemire makes 2-pt hook shot from 5 ft,,27,24
103,2,10:54.0,,R. Kelly misses 2-pt layup from 2 ft,27,24
104,2,10:52.0,Defensive rebound by A. Stoudemire,,27,24
105,2,10:46.0,Personal foul by J. Lin (drawn by C. Parsons),,27,24
106,2,10:42.0,Personal foul by E. Davis (drawn by D. Nowitzki),,27,24
107,2,10:29.0,C. Parsons misses 2-pt jump shot from 18 ft (block by R. Kelly),,27,24
