,QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
0,1,11:42.0,,T. Hardaway misses 3-pt jump shot from 23 ft,0,0
1,1,11:40.0,Defensive rebound by D. Howard,,0,0
2,1,11:27.0,Turnover by D. Motiejūnas (bad pass; steal by C. Aldrich),,0,0
3,1,11:13.0,,J. Smith misses 2-pt jump shot from 3 ft,0,0
4,1,11:11.0,,Offensive rebound by C. Aldrich,0,0
5,1,11:11.0,,C. Aldrich makes 2-pt tip-in at rim,0,2
6,1,10:49.0,D. Motiejūnas misses 3-pt jump shot from 24 ft,,0,2
7,1,10:47.0,,Defensive rebound by Team,0,2
8,1,10:30.0,,J. Smith misses 2-pt jump shot from 17 ft,0,2
9,1,10:28.0,Defensive rebound by D. Howard,,0,2
10,1,10:21.0,Shooting foul by T. Hardaway (drawn by J. Harden),,0,2
11,1,10:21.0,J. Harden makes free throw 1 of 2,,1,2
12,1,10:21.0,J. Harden makes free throw 2 of 2,,2,2
13,1,10:03.0,,P. Prigioni makes 3-pt jump shot from 23 ft (assist by J. Smith),2,5
14,1,9:46.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,5,5
15,1,9:25.0,,C. Aldrich makes 2-pt hook shot from 4 ft (assist by P. Prigioni),5,7
16,1,9:05.0,D. Howard makes 2-pt dunk at rim (assist by D. Motiejūnas),,7,7
17,1,8:43.0,,T. Hardaway misses 3-pt jump shot from 23 ft,7,7
18,1,8:41.0,,Offensive rebound by C. Aldrich,7,7
19,1,8:40.0,,C. Aldrich misses 2-pt hook shot from 3 ft,7,7
20,1,8:39.0,Defensive rebound by J. Harden,,7,7
21,1,8:29.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),,10,7
22,1,8:11.0,,T. Hardaway misses 2-pt jump shot from 3 ft (block by D. Howard),10,7
23,1,8:10.0,Defensive rebound by Team,,10,7
24,1,7:51.0,Turnover by D. Motiejūnas (bad pass; steal by P. Prigioni),,10,7
25,1,7:41.0,,J. Calderón misses 3-pt jump shot from 25 ft,10,7
26,1,7:38.0,,Offensive rebound by J. Smith,10,7
27,1,7:22.0,,T. Hardaway makes 2-pt jump shot from 18 ft (assist by P. Prigioni),10,9
28,1,7:04.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,13,9
29,1,6:40.0,,J. Calderón misses 2-pt jump shot from 18 ft,13,9
30,1,6:38.0,Defensive rebound by P. Beverley,,13,9
31,1,6:35.0,Shooting foul by J. Smith (drawn by T. Ariza),,13,9
32,1,6:35.0,T. Ariza makes free throw 1 of 2,,14,9
33,1,6:35.0,,Q. Acy enters the game for J. Smith,14,9
34,1,6:35.0,T. Ariza makes free throw 2 of 2,,15,9
35,1,6:24.0,,Turnover by J. Calderón (bad pass; steal by J. Harden),15,9
36,1,6:22.0,Personal foul by P. Prigioni (drawn by J. Harden),,15,9
37,1,6:15.0,P. Beverley makes 2-pt jump shot from 6 ft,,17,9
38,1,6:09.0,,New York full timeout,17,9
39,1,6:00.0,,P. Prigioni makes 3-pt jump shot from 24 ft (assist by Q. Acy),17,12
40,1,5:35.0,J. Harden misses 3-pt jump shot from 27 ft,,17,12
41,1,5:33.0,,Defensive rebound by Q. Acy,17,12
42,1,5:25.0,,P. Prigioni misses 2-pt layup from 2 ft,17,12
43,1,5:23.0,Defensive rebound by D. Howard,,17,12
44,1,5:20.0,Shooting foul by Q. Acy (drawn by J. Harden),,17,12
45,1,5:20.0,,Technical foul by P. Prigioni,17,12
46,1,5:20.0,J. Harden makes technical free throw,,18,12
47,1,5:20.0,J. Smith enters the game for D. Howard,,18,12
48,1,5:20.0,,S. Larkin enters the game for P. Prigioni,18,12
49,1,5:20.0,J. Harden makes free throw 1 of 2,,19,12
50,1,5:20.0,J. Harden makes free throw 2 of 2,,20,12
51,1,4:58.0,,J. Calderón misses 3-pt jump shot from 24 ft,20,12
52,1,4:56.0,Defensive rebound by T. Ariza,,20,12
53,1,4:53.0,Turnover by T. Ariza (bad pass),,20,12
54,1,4:37.0,,Q. Acy misses 2-pt jump shot from 19 ft,20,12
55,1,4:36.0,Defensive rebound by D. Motiejūnas,,20,12
56,1,4:31.0,J. Smith misses 2-pt hook shot from 2 ft,,20,12
57,1,4:29.0,,Defensive rebound by T. Hardaway,20,12
58,1,4:14.0,,Personal foul by D. Motiejūnas (drawn by C. Aldrich),20,12
59,1,4:14.0,C. Brewer enters the game for T. Ariza,,20,12
60,1,4:14.0,J. Terry enters the game for P. Beverley,,20,12
61,1,4:14.0,,T. Wear enters the game for C. Aldrich,20,12
62,1,4:08.0,,S. Larkin misses 2-pt jump shot from 14 ft,20,12
63,1,4:06.0,Defensive rebound by J. Smith,,20,12
64,1,3:54.0,J. Harden makes 2-pt layup from 2 ft,,22,12
65,1,3:42.0,,T. Wear makes 3-pt jump shot from 23 ft (assist by J. Calderón),22,15
66,1,3:19.0,D. Motiejūnas makes 2-pt hook shot from 4 ft,,24,15
67,1,3:05.0,,T. Hardaway misses 3-pt jump shot from 25 ft,24,15
68,1,3:03.0,Defensive rebound by C. Brewer,,24,15
69,1,3:02.0,Turnover by C. Brewer (palming),,24,15
70,1,2:50.0,,Personal foul by J. Smith (drawn by Q. Acy),24,15
71,1,2:50.0,Houston full timeout,,24,15
72,1,2:50.0,,C. Early enters the game for T. Hardaway,24,15
73,1,2:36.0,,S. Larkin makes 2-pt jump shot from 21 ft (assist by T. Wear),24,17
74,1,2:22.0,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),,27,17
75,1,2:08.0,,L. Galloway enters the game for J. Calderón,27,17
