,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
0,1,11:35.0,,J. Sampson makes 3-pt jump shot from 22 ft (assist by R. Covington),0,3
1,1,11:13.0,W. Johnson misses 3-pt jump shot from 25 ft,,0,3
2,1,11:12.0,,Defensive rebound by I. Smith,0,3
3,1,11:02.0,,Shooting foul by T. Black (drawn by F. Aldemir),0,3
4,1,11:02.0,,F. Aldemir misses free throw 1 of 2,0,3
5,1,11:02.0,,Offensive rebound by Team,0,3
6,1,11:02.0,,F. Aldemir makes free throw 2 of 2,0,4
7,1,10:50.0,J. Clarkson makes 2-pt layup from 1 ft (assist by T. Black),,2,4
8,1,10:31.0,,R. Covington misses 3-pt jump shot from 24 ft,2,4
9,1,10:30.0,Defensive rebound by R. Kelly,,2,4
10,1,10:20.0,Shooting foul by F. Aldemir (drawn by W. Johnson),,2,4
11,1,10:20.0,W. Johnson misses free throw 1 of 2,,2,4
12,1,10:20.0,Offensive rebound by Team,,2,4
13,1,10:20.0,W. Johnson misses free throw 2 of 2,,2,4
14,1,10:19.0,,Defensive rebound by F. Aldemir,2,4
15,1,10:06.0,,J. Sampson makes 3-pt jump shot from 25 ft (assist by N. Noel),2,7
16,1,9:50.0,W. Ellington makes 3-pt jump shot from 25 ft,,5,7
17,1,9:40.0,,I. Smith makes 2-pt jump shot from 9 ft,5,9
18,1,9:16.0,T. Black misses 2-pt layup from 1 ft,,5,9
19,1,9:14.0,Offensive rebound by T. Black,,5,9
20,1,9:12.0,T. Black makes 2-pt dunk at rim,,7,9
21,1,9:09.0,,Philadelphia full timeout,7,9
22,1,8:58.0,,N. Noel misses 2-pt jump shot from 14 ft,7,9
23,1,8:57.0,Defensive rebound by T. Black,,7,9
24,1,8:41.0,J. Clarkson makes 2-pt jump shot from 18 ft (assist by R. Kelly),,9,9
25,1,8:22.0,,F. Aldemir makes 2-pt jump shot from 19 ft (assist by R. Covington),9,11
