,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHARLOTTE_ACTION,PORTLAND_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,R. Lopez makes 2-pt layup from 1 ft (assist by N. Batum),,2,0
1,1,11:26.0,,G. Henderson misses 2-pt jump shot from 19 ft,2,0
2,1,11:24.0,Defensive rebound by D. Lillard,,2,0
3,1,11:13.0,R. Lopez misses 2-pt jump shot from 9 ft,,2,0
4,1,11:12.0,,Defensive rebound by A. Jefferson,2,0
5,1,11:02.0,,A. Jefferson misses 2-pt layup from 1 ft,2,0
6,1,11:01.0,Defensive rebound by R. Lopez,,2,0
7,1,10:57.0,Shooting foul by G. Henderson (drawn by N. Batum),,2,0
8,1,10:57.0,N. Batum makes free throw 1 of 2,,3,0
9,1,10:57.0,N. Batum makes free throw 2 of 2,,4,0
10,1,10:44.0,,A. Jefferson misses 2-pt layup from 1 ft (block by R. Lopez),4,0
11,1,10:42.0,Defensive rebound by N. Batum,,4,0
12,1,10:32.0,W. Matthews makes 2-pt jump shot from 16 ft,,6,0
13,1,10:16.0,,L. Stephenson misses 2-pt jump shot from 20 ft,6,0
14,1,10:15.0,Defensive rebound by N. Batum,,6,0
15,1,10:07.0,D. Lillard misses 3-pt jump shot from 26 ft,,6,0
16,1,10:06.0,,Defensive rebound by L. Stephenson,6,0
17,1,9:52.0,,K. Walker misses 2-pt layup from 2 ft (block by R. Lopez),6,0
18,1,9:50.0,Defensive rebound by D. Lillard,,6,0
19,1,9:46.0,D. Lillard makes 2-pt layup from 1 ft,,8,0
20,1,9:46.0,Shooting foul by L. Stephenson (drawn by D. Lillard),,8,0
21,1,9:46.0,D. Lillard misses free throw 1 of 1,,8,0
22,1,9:45.0,,Defensive rebound by A. Jefferson,8,0
23,1,9:34.0,,K. Walker makes 2-pt jump shot from 19 ft,8,2
24,1,9:09.0,R. Lopez misses 2-pt layup from 1 ft,,8,2
25,1,9:07.0,Offensive rebound by R. Lopez,,8,2
26,1,9:07.0,R. Lopez misses 2-pt tip-in at rim,,8,2
27,1,9:06.0,,Defensive rebound by M. Williams,8,2
28,1,8:59.0,,K. Walker makes 2-pt layup from 2 ft (assist by M. Williams),8,4
29,1,8:49.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Lillard),,11,4
30,1,8:37.0,,K. Walker misses 3-pt jump shot from 23 ft,11,4
31,1,8:33.0,Defensive rebound by Team,,11,4
32,1,8:23.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Lillard),,13,4
