,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:42.0,T. Lawson misses 2-pt jump shot from 8 ft (block by G. Dieng),,0,0
1,1,11:39.0,,Defensive rebound by T. Young,0,0
2,1,11:26.0,,T. Young makes 2-pt jump shot from 4 ft (assist by M. Williams),0,2
3,1,11:11.0,K. Faried misses 2-pt jump shot from 3 ft (block by G. Dieng),,0,2
4,1,11:09.0,,Defensive rebound by A. Wiggins,0,2
5,1,11:02.0,,G. Dieng makes 2-pt layup from 2 ft (assist by A. Wiggins),0,4
6,1,11:02.0,,Shooting foul by T. Mozgov (drawn by G. Dieng),0,4
7,1,11:02.0,,G. Dieng makes free throw 1 of 1,0,5
8,1,10:45.0,Personal foul by M. Williams (drawn by K. Faried),,0,5
9,1,10:41.0,Turnover by K. Faried (bad pass; steal by G. Dieng),,0,5
10,1,10:34.0,,Turnover by M. Williams (bad pass; steal by T. Lawson),0,5
11,1,10:27.0,K. Faried misses 2-pt layup from 1 ft,,0,5
12,1,10:26.0,,Defensive rebound by G. Dieng,0,5
13,1,10:15.0,,M. Williams makes 2-pt jump shot from 17 ft,0,7
14,1,10:00.0,W. Chandler misses 2-pt layup from 3 ft,,0,7
15,1,9:59.0,Offensive rebound by K. Faried,,0,7
16,1,9:59.0,K. Faried makes 2-pt tip-in from 1 ft,,2,7
17,1,9:39.0,,S. Muhammad makes 2-pt jump shot from 19 ft (assist by M. Williams),2,9
18,1,9:23.0,A. Afflalo misses 2-pt jump shot from 20 ft,,2,9
19,1,9:23.0,Offensive rebound by Team,,2,9
20,1,9:23.0,,Loose ball foul by G. Dieng (drawn by K. Faried),2,9
21,1,9:18.0,A. Afflalo makes 2-pt jump shot from 19 ft (assist by T. Lawson),,4,9
22,1,9:04.0,,Personal foul by T. Mozgov (drawn by G. Dieng),4,9
23,1,9:04.0,J. Nurkić enters the game for T. Mozgov,,4,9
24,1,8:55.0,,A. Wiggins misses 2-pt jump shot from 7 ft,4,9
25,1,8:53.0,Defensive rebound by W. Chandler,,4,9
26,1,8:45.0,J. Nurkić makes 2-pt dunk at rim (assist by T. Lawson),,6,9
27,1,8:22.0,,A. Wiggins misses 2-pt jump shot from 4 ft,6,9
28,1,8:20.0,Defensive rebound by K. Faried,,6,9
29,1,8:11.0,Offensive foul by A. Afflalo (drawn by A. Wiggins),,6,9
30,1,8:11.0,Turnover by A. Afflalo (offensive foul),,6,9
31,1,7:58.0,,S. Muhammad makes 2-pt jump shot from 18 ft (assist by M. Williams),6,11
32,1,7:39.0,T. Lawson makes 2-pt jump shot from 18 ft,,8,11
33,1,7:26.0,,Turnover by M. Williams (bad pass),8,11
34,1,7:14.0,Turnover by T. Lawson (lost ball; steal by S. Muhammad),,8,11
35,1,7:10.0,,T. Young makes 2-pt dunk at rim (assist by S. Muhammad),8,13
36,1,6:54.0,J. Nurkić makes 2-pt jump shot from 3 ft,,10,13
37,1,6:54.0,,Violation by G. Dieng (def goaltending),10,13
38,1,6:39.0,,Turnover by M. Williams (bad pass; steal by J. Nurkić),10,13
