,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
0,1,11:35.0,P. Pierce misses 3-pt jump shot from 24 ft,,0,0
1,1,11:34.0,,Defensive rebound by R. Gobert,0,0
2,1,11:18.0,,Personal foul by N. Hilário (drawn by R. Gobert),0,0
3,1,11:05.0,,R. Hood misses 2-pt jump shot from 10 ft,0,0
4,1,11:04.0,Defensive rebound by M. Gortat,,0,0
5,1,10:58.0,Turnover by N. Hilário (bad pass),,0,0
6,1,10:48.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),0,2
7,1,10:35.0,N. Hilário makes 2-pt dunk at rim (assist by P. Pierce),,2,2
8,1,10:18.0,,R. Hood misses 3-pt jump shot from 25 ft,2,2
9,1,10:17.0,Defensive rebound by J. Wall,,2,2
10,1,10:14.0,Shooting foul by R. Hood (drawn by M. Gortat),,2,2
11,1,10:14.0,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),,4,2
12,1,10:14.0,M. Gortat misses free throw 1 of 1,,4,2
13,1,10:13.0,,Defensive rebound by R. Gobert,4,2
14,1,9:51.0,,D. Exum misses 3-pt jump shot from 23 ft,4,2
15,1,9:50.0,,Offensive rebound by D. Favors,4,2
16,1,9:42.0,,D. Favors misses 2-pt layup from 1 ft,4,2
17,1,9:41.0,Defensive rebound by M. Gortat,,4,2
18,1,9:31.0,J. Wall misses 2-pt jump shot from 12 ft,,4,2
19,1,9:28.0,,Defensive rebound by R. Gobert,4,2
20,1,9:09.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Hood),4,5
21,1,8:57.0,Def 3 sec tech foul by D. Exum,,4,5
22,1,8:57.0,B. Beal makes technical free throw,,5,5
23,1,8:51.0,Turnover by B. Beal (bad pass),,5,5
24,1,8:30.0,,G. Hayward misses 3-pt jump shot from 24 ft,5,5
25,1,8:29.0,Defensive rebound by J. Wall,,5,5
26,1,8:17.0,Offensive foul by N. Hilário (drawn by D. Favors),,5,5
27,1,8:17.0,Turnover by N. Hilário (offensive foul),,5,5
28,1,8:17.0,D. Gooden enters the game for N. Hilário,,5,5
29,1,8:00.0,,R. Hood makes 2-pt jump shot from 6 ft,5,7
30,1,7:48.0,D. Gooden makes 2-pt jump shot from 18 ft (assist by J. Wall),,7,7
31,1,7:36.0,,Personal foul by D. Gooden (drawn by G. Hayward),7,7
32,1,7:22.0,,D. Exum misses 2-pt jump shot from 8 ft,7,7
33,1,7:21.0,,Offensive rebound by R. Gobert,7,7
34,1,7:21.0,,R. Gobert makes 2-pt layup from 1 ft,7,9
35,1,6:59.0,P. Pierce misses 2-pt jump shot from 16 ft,,7,9
36,1,6:58.0,,Defensive rebound by D. Favors,7,9
37,1,6:43.0,,Shooting foul by P. Pierce (drawn by G. Hayward),7,9
38,1,6:43.0,,G. Hayward makes free throw 1 of 2,7,10
39,1,6:43.0,,G. Hayward makes free throw 2 of 2,7,11
40,1,6:28.0,P. Pierce misses 2-pt jump shot from 11 ft,,7,11
41,1,6:27.0,,Defensive rebound by R. Gobert,7,11
42,1,6:18.0,,D. Exum misses 3-pt jump shot from 23 ft,7,11
43,1,6:16.0,,Offensive rebound by R. Hood,7,11
44,1,6:04.0,,G. Hayward misses 3-pt jump shot from 24 ft,7,11
45,1,6:02.0,,Offensive rebound by R. Gobert,7,11
46,1,5:59.0,,G. Hayward makes 2-pt layup from 2 ft (assist by R. Gobert),7,13
47,1,5:50.0,Washington full timeout,,7,13
48,1,5:40.0,B. Beal makes 2-pt jump shot from 17 ft (assist by P. Pierce),,9,13
49,1,5:20.0,,D. Favors makes 2-pt jump shot from 16 ft (assist by G. Hayward),9,15
50,1,5:08.0,P. Pierce makes 2-pt layup from 2 ft,,11,15
51,1,4:48.0,,D. Favors makes 2-pt dunk at rim (assist by R. Hood),11,17
52,1,4:35.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by J. Wall),,14,17
53,1,4:13.0,,R. Hood misses 3-pt jump shot from 24 ft,14,17
54,1,4:12.0,Defensive rebound by D. Gooden,,14,17
55,1,4:04.0,D. Gooden makes 3-pt jump shot from 24 ft (assist by J. Wall),,17,17
56,1,3:40.0,,D. Favors misses 2-pt jump shot from 4 ft,17,17
57,1,3:38.0,Defensive rebound by D. Gooden,,17,17
58,1,3:36.0,Shooting foul by D. Favors (drawn by J. Wall),,17,17
59,1,3:36.0,J. Wall misses free throw 1 of 2,,17,17
60,1,3:36.0,Offensive rebound by Team,,17,17
61,1,3:36.0,R. Butler enters the game for B. Beal,,17,17
62,1,3:36.0,,T. Booker enters the game for D. Favors,17,17
63,1,3:36.0,,E. Millsap enters the game for R. Hood,17,17
64,1,3:36.0,J. Wall makes free throw 2 of 2,,18,17
65,1,3:22.0,,G. Hayward misses 2-pt jump shot from 18 ft,18,17
66,1,3:21.0,Defensive rebound by M. Gortat,,18,17
67,1,3:15.0,Turnover by J. Wall (bad pass; steal by G. Hayward),,18,17
68,1,3:13.0,,Shooting foul by P. Pierce (drawn by G. Hayward),18,17
69,1,3:13.0,R. Sessions enters the game for P. Pierce,,18,17
70,1,3:13.0,,T. Burke enters the game for D. Exum,18,17
71,1,3:13.0,,G. Hayward makes free throw 1 of 2,18,18
72,1,3:13.0,,G. Hayward misses free throw 2 of 2,18,18
73,1,3:11.0,Defensive rebound by D. Gooden,,18,18
74,1,2:49.0,D. Gooden makes 2-pt jump shot from 19 ft,,20,18
75,1,2:32.0,,Personal foul by J. Wall (drawn by T. Burke),20,18
76,1,2:32.0,,Utah full timeout,20,18
77,1,2:32.0,,T. Burke misses free throw 1 of 2,20,18
78,1,2:32.0,,Offensive rebound by Team,20,18
79,1,2:32.0,,T. Burke makes free throw 2 of 2,20,19
80,1,2:17.0,D. Gooden misses 2-pt jump shot from 22 ft,,20,19
81,1,2:16.0,,Defensive rebound by T. Booker,20,19
82,1,1:57.0,,Turnover by T. Burke (lost ball; steal by M. Gortat),20,19
83,1,1:46.0,D. Gooden misses 2-pt jump shot from 17 ft,,20,19
84,1,1:46.0,,Defensive rebound by Team,20,19
85,1,1:46.0,,J. Ingles enters the game for G. Hayward,20,19
86,1,1:33.0,,T. Booker makes 2-pt jump shot from 11 ft (assist by T. Burke),20,21
87,1,1:19.0,Turnover by J. Wall (bad pass; steal by E. Millsap),,20,21
88,1,1:06.0,,T. Booker misses 2-pt jump shot from 9 ft,20,21
89,1,1:05.0,Defensive rebound by J. Wall,,20,21
90,1,1:01.0,R. Butler makes 2-pt dunk at rim (assist by J. Wall),,22,21
91,1,0:41.0,,J. Ingles misses 2-pt jump shot from 22 ft,22,21
92,1,0:38.0,Defensive rebound by R. Sessions,,22,21
93,1,0:35.0,Shooting foul by T. Burke (drawn by R. Sessions),,22,21
94,1,0:35.0,R. Sessions makes free throw 1 of 2,,23,21
95,1,0:35.0,,D. Favors enters the game for R. Gobert,23,21
96,1,0:35.0,R. Sessions makes free throw 2 of 2,,24,21
97,1,0:17.0,,E. Millsap misses 3-pt jump shot from 24 ft,24,21
98,1,0:16.0,Defensive rebound by D. Gooden,,24,21
99,1,0:02.0,J. Wall makes 2-pt jump shot from 18 ft,,26,21
100,2,11:39.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),26,23
101,2,11:22.0,Turnover by R. Sessions (bad pass; steal by T. Burke),,26,23
102,2,11:16.0,,J. Ingles makes 2-pt layup from 1 ft (assist by T. Burke),26,25
103,2,11:02.0,Turnover by K. Séraphin (lost ball; steal by J. Ingles),,26,25
104,2,10:39.0,,R. Hood misses 2-pt jump shot from 8 ft,26,25
105,2,10:39.0,Defensive rebound by Team,,26,25
106,2,10:21.0,R. Sessions makes 2-pt jump shot from 13 ft,,28,25
107,2,10:02.0,,T. Burke misses 3-pt jump shot from 25 ft,28,25
108,2,10:01.0,,Offensive rebound by D. Favors,28,25
109,2,9:49.0,,T. Burke makes 2-pt jump shot from 14 ft,28,27
110,2,9:28.0,R. Butler misses 2-pt jump shot from 15 ft,,28,27
111,2,9:27.0,,Defensive rebound by T. Booker,28,27
112,2,9:03.0,,J. Ingles misses 2-pt jump shot from 3 ft (block by N. Hilário),28,27
113,2,9:01.0,Defensive rebound by N. Hilário,,28,27
114,2,8:58.0,K. Séraphin misses 2-pt hook shot from 7 ft,,28,27
115,2,8:52.0,,Defensive rebound by T. Booker,28,27
116,2,8:34.0,,D. Favors misses 2-pt jump shot from 16 ft,28,27
117,2,8:33.0,Defensive rebound by R. Butler,,28,27
118,2,8:19.0,Personal foul by R. Hood (drawn by B. Beal),,28,27
119,2,8:19.0,Official timeout,,28,27
120,2,8:19.0,,R. Gobert enters the game for T. Booker,28,27
121,2,8:19.0,,E. Millsap enters the game for R. Hood,28,27
122,2,8:10.0,Turnover by N. Hilário (bad pass),,28,27
123,2,8:04.0,,T. Burke makes 2-pt jump shot from 21 ft,28,29
124,2,7:45.0,Turnover by N. Hilário (lost ball; steal by J. Ingles),,28,29
125,2,7:24.0,,J. Ingles makes 2-pt layup from 1 ft,28,31
126,2,7:06.0,Turnover by R. Sessions (bad pass; steal by E. Millsap),,28,31
127,2,6:51.0,,Turnover by R. Gobert (lost ball; steal by R. Butler),28,31
128,2,6:45.0,B. Beal makes 2-pt layup from 1 ft,,30,31
129,2,6:19.0,,E. Millsap misses 2-pt jump shot from 5 ft (block by K. Séraphin),30,31
130,2,6:17.0,Defensive rebound by R. Butler,,30,31
131,2,6:04.0,K. Séraphin makes 2-pt dunk at rim,,32,31
132,2,5:57.0,,Utah full timeout,32,31
133,2,5:57.0,,D. Exum enters the game for T. Burke,32,31
134,2,5:57.0,,G. Hayward enters the game for E. Millsap,32,31
135,2,5:44.0,,D. Favors misses 2-pt jump shot from 16 ft,32,31
136,2,5:42.0,Defensive rebound by R. Butler,,32,31
137,2,5:36.0,B. Beal makes 2-pt jump shot from 18 ft (assist by R. Butler),,34,31
138,2,5:25.0,,Shooting foul by K. Séraphin (drawn by R. Gobert),34,31
139,2,5:25.0,,R. Gobert makes free throw 1 of 2,34,32
140,2,5:25.0,,J. Cooley enters the game for D. Favors,34,32
141,2,5:25.0,M. Gortat enters the game for K. Séraphin,,34,32
142,2,5:25.0,J. Wall enters the game for R. Sessions,,34,32
143,2,5:25.0,,R. Gobert misses free throw 2 of 2,34,32
144,2,5:23.0,Defensive rebound by R. Butler,,34,32
145,2,5:04.0,R. Butler misses 2-pt jump shot from 21 ft,,34,32
146,2,5:03.0,Offensive rebound by Team,,34,32
147,2,5:03.0,P. Pierce enters the game for R. Butler,,34,32
148,2,4:59.0,Offensive foul by M. Gortat (drawn by G. Hayward),,34,32
149,2,4:59.0,Turnover by M. Gortat (offensive foul),,34,32
150,2,4:48.0,Offensive charge foul by G. Hayward (drawn by M. Gortat),,34,32
151,2,4:48.0,,Turnover by G. Hayward (offensive foul),34,32
152,2,4:35.0,M. Gortat misses 2-pt jump shot from 16 ft,,34,32
153,2,4:33.0,Offensive rebound by P. Pierce,,34,32
154,2,4:31.0,P. Pierce makes 2-pt layup from 2 ft,,36,32
155,2,4:16.0,,J. Ingles misses 3-pt jump shot from 22 ft,36,32
156,2,4:12.0,,Offensive rebound by R. Gobert,36,32
157,2,4:12.0,,Shooting foul by M. Gortat (drawn by R. Gobert),36,32
158,2,4:12.0,,R. Gobert misses free throw 1 of 2,36,32
159,2,4:12.0,,Offensive rebound by Team,36,32
160,2,4:12.0,,T. Booker enters the game for J. Cooley,36,32
161,2,4:12.0,,R. Gobert makes free throw 2 of 2,36,33
162,2,3:53.0,Shooting foul by T. Booker (drawn by N. Hilário),,36,33
163,2,3:53.0,N. Hilário misses free throw 1 of 2,,36,33
164,2,3:53.0,Offensive rebound by Team,,36,33
165,2,3:53.0,N. Hilário misses free throw 2 of 2,,36,33
166,2,3:50.0,Offensive rebound by M. Gortat,,36,33
167,2,3:31.0,N. Hilário misses 2-pt jump shot from 4 ft (block by R. Gobert),,36,33
168,2,3:29.0,,Defensive rebound by D. Exum,36,33
169,2,3:25.0,,G. Hayward misses 2-pt layup from 2 ft,36,33
170,2,3:24.0,Defensive rebound by M. Gortat,,36,33
171,2,3:14.0,B. Beal misses 3-pt jump shot from 22 ft,,36,33
172,2,3:13.0,Offensive rebound by N. Hilário,,36,33
173,2,3:00.0,Turnover by M. Gortat (lost ball),,36,33
174,2,2:38.0,,J. Ingles misses 3-pt jump shot from 26 ft,36,33
175,2,2:36.0,,Offensive rebound by R. Gobert,36,33
176,2,2:34.0,,R. Gobert makes 2-pt dunk at rim,36,35
177,2,2:25.0,Washington full timeout,,36,35
178,2,2:25.0,,D. Favors enters the game for T. Booker,36,35
179,2,2:07.0,Turnover by Team (shot clock),,36,35
