,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:35.0,,Z. LaVine makes 2-pt jump shot from 17 ft (assist by A. Wiggins),0,2
1,1,11:16.0,D. Lillard misses 2-pt jump shot from 19 ft,,0,2
2,1,11:15.0,,Defensive rebound by C. Brewer,0,2
3,1,11:05.0,,A. Wiggins misses 2-pt jump shot from 18 ft,0,2
4,1,11:04.0,Defensive rebound by L. Aldridge,,0,2
5,1,10:52.0,Turnover by L. Aldridge (bad pass; steal by T. Young),,0,2
6,1,10:46.0,,T. Young misses 2-pt layup from 1 ft,0,2
7,1,10:44.0,,Offensive rebound by G. Dieng,0,2
8,1,10:38.0,,A. Wiggins misses 2-pt jump shot from 19 ft,0,2
9,1,10:37.0,Defensive rebound by L. Aldridge,,0,2
10,1,10:18.0,W. Matthews misses 3-pt jump shot from 24 ft,,0,2
11,1,10:17.0,,Defensive rebound by C. Brewer,0,2
12,1,10:09.0,,T. Young misses 3-pt jump shot from 25 ft,0,2
13,1,10:08.0,Defensive rebound by D. Lillard,,0,2
14,1,9:58.0,R. Lopez makes 2-pt jump shot from 6 ft (assist by D. Lillard),,2,2
15,1,9:33.0,,Z. LaVine misses 2-pt jump shot from 13 ft,2,2
16,1,9:33.0,Defensive rebound by L. Aldridge,,2,2
17,1,9:18.0,R. Lopez misses 2-pt hook shot from 5 ft,,2,2
18,1,9:17.0,,Defensive rebound by Z. LaVine,2,2
19,1,9:11.0,,Offensive foul by G. Dieng (drawn by R. Lopez),2,2
20,1,9:11.0,,Turnover by G. Dieng (offensive foul),2,2
21,1,8:50.0,W. Matthews makes 2-pt jump shot from 16 ft (assist by R. Lopez),,4,2
22,1,8:29.0,,T. Young makes 2-pt jump shot from 7 ft (assist by C. Brewer),4,4
23,1,8:29.0,,Shooting foul by R. Lopez (drawn by T. Young),4,4
24,1,8:29.0,,T. Young makes free throw 1 of 1,4,5
25,1,8:11.0,N. Batum makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,7,5
26,1,7:54.0,,Personal foul by N. Batum (drawn by C. Brewer),7,5
27,1,7:50.0,,G. Dieng makes 2-pt jump shot from 16 ft (assist by C. Brewer),7,7
28,1,7:24.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by N. Batum),,10,7
29,1,7:10.0,,C. Brewer misses 2-pt layup at rim,10,7
30,1,7:09.0,,Offensive rebound by C. Brewer,10,7
31,1,7:01.0,,Turnover by A. Wiggins (lost ball; steal by W. Matthews),10,7
32,1,6:41.0,Turnover by W. Matthews (lost ball),,10,7
33,1,6:41.0,Loose ball foul by W. Matthews (drawn by G. Dieng),,10,7
