,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:50.0,R. Westbrook misses 2-pt layup from 2 ft,,0,0
1,1,11:47.0,Offensive rebound by N. Collison,,0,0
2,1,11:47.0,N. Collison misses 2-pt tip-in at rim,,0,0
3,1,11:46.0,,Defensive rebound by D. Lillard,0,0
4,1,11:41.0,,D. Lillard makes 2-pt layup from 1 ft,0,2
5,1,11:27.0,S. Ibaka misses 2-pt jump shot from 20 ft,,0,2
6,1,11:26.0,,Defensive rebound by W. Matthews,0,2
7,1,11:15.0,,R. Lopez makes 2-pt hook shot at rim (assist by D. Lillard),0,4
8,1,10:57.0,A. Roberson misses 3-pt jump shot from 26 ft,,0,4
9,1,10:55.0,Offensive rebound by R. Westbrook,,0,4
10,1,10:48.0,K. Singler misses 3-pt jump shot from 25 ft,,0,4
11,1,10:47.0,,Defensive rebound by L. Aldridge,0,4
12,1,10:28.0,,L. Aldridge misses 2-pt jump shot from 21 ft,0,4
13,1,10:27.0,Defensive rebound by R. Westbrook,,0,4
14,1,10:20.0,R. Westbrook makes 2-pt jump shot from 17 ft,,2,4
15,1,10:05.0,,Shooting foul by N. Collison (drawn by L. Aldridge),2,4
16,1,10:05.0,,L. Aldridge makes free throw 1 of 2,2,5
17,1,10:05.0,,L. Aldridge makes free throw 2 of 2,2,6
18,1,9:54.0,A. Roberson makes 3-pt jump shot from 23 ft (assist by K. Singler),,5,6
19,1,9:37.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by W. Matthews),5,9
20,1,9:26.0,K. Singler misses 2-pt jump shot from 14 ft,,5,9
21,1,9:25.0,,Defensive rebound by W. Matthews,5,9
22,1,9:15.0,,D. Lillard misses 3-pt jump shot from 25 ft,5,9
23,1,9:14.0,Defensive rebound by K. Singler,,5,9
24,1,9:07.0,R. Westbrook misses 2-pt jump shot from 18 ft,,5,9
25,1,9:05.0,,Defensive rebound by R. Lopez,5,9
26,1,8:56.0,,R. Lopez makes 2-pt jump shot from 6 ft (assist by D. Lillard),5,11
27,1,8:39.0,R. Westbrook makes 2-pt dunk at rim (assist by N. Collison),,7,11
28,1,8:11.0,,L. Aldridge makes 2-pt jump shot from 4 ft,7,13
29,1,8:00.0,S. Ibaka makes 2-pt hook shot from 4 ft,,9,13
30,1,7:51.0,,Turnover by N. Batum (step out of bounds),9,13
31,1,7:41.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,11,13
32,1,7:21.0,,L. Aldridge makes 2-pt jump shot from 13 ft,11,15
33,1,7:05.0,N. Collison makes 2-pt layup from 2 ft (assist by R. Westbrook),,13,15
34,1,6:51.0,,L. Aldridge misses 2-pt jump shot from 17 ft,13,15
35,1,6:49.0,Defensive rebound by A. Roberson,,13,15
36,1,6:45.0,,Offensive charge foul by R. Westbrook (drawn by D. Lillard),13,15
37,1,6:45.0,Turnover by R. Westbrook (offensive foul),,13,15
38,1,6:35.0,,D. Lillard makes 2-pt layup at rim,13,17
39,1,6:14.0,Turnover by Team (back court),,13,17
40,1,6:14.0,,Portland full timeout,13,17
41,1,6:05.0,,Turnover by N. Batum (bad pass),13,17
42,1,5:57.0,Shooting foul by D. Lillard (drawn by R. Westbrook),,13,17
43,1,5:57.0,R. Westbrook makes free throw 1 of 2,,14,17
44,1,5:57.0,,A. Afflalo enters the game for W. Matthews,14,17
45,1,5:57.0,R. Westbrook makes free throw 2 of 2,,15,17
46,1,5:45.0,,L. Aldridge misses 2-pt jump shot from 21 ft,15,17
47,1,5:44.0,Defensive rebound by N. Collison,,15,17
48,1,5:33.0,N. Collison misses 2-pt jump shot from 18 ft,,15,17
49,1,5:32.0,,Defensive rebound by L. Aldridge,15,17
50,1,5:25.0,,D. Lillard makes 2-pt jump shot from 5 ft,15,19
51,1,5:10.0,R. Westbrook makes 2-pt layup from 1 ft,,17,19
52,1,4:44.0,,L. Aldridge misses 2-pt layup at rim,17,19
53,1,4:43.0,,Offensive rebound by L. Aldridge,17,19
54,1,4:42.0,,Personal foul by K. Singler (drawn by L. Aldridge),17,19
55,1,4:42.0,D. Waiters enters the game for A. Roberson,,17,19
56,1,4:42.0,M. McGary enters the game for N. Collison,,17,19
57,1,4:42.0,A. Morrow enters the game for K. Singler,,17,19
58,1,4:36.0,,N. Batum misses 3-pt jump shot from 25 ft,17,19
59,1,4:35.0,Defensive rebound by S. Ibaka,,17,19
60,1,4:23.0,D. Waiters misses 3-pt jump shot from 25 ft,,17,19
61,1,4:22.0,,Defensive rebound by L. Aldridge,17,19
62,1,4:01.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by D. Lillard),17,21
63,1,3:43.0,R. Westbrook makes 2-pt jump shot from 12 ft,,19,21
64,1,3:26.0,,A. Afflalo misses 3-pt jump shot from 23 ft,19,21
65,1,3:25.0,Defensive rebound by M. McGary,,19,21
66,1,3:17.0,A. Morrow makes 2-pt layup from 1 ft (assist by R. Westbrook),,21,21
67,1,2:53.0,,L. Aldridge misses 2-pt jump shot from 3 ft,21,21
68,1,2:53.0,,Offensive rebound by L. Aldridge,21,21
69,1,2:52.0,,Shooting foul by M. McGary (drawn by L. Aldridge),21,21
70,1,2:52.0,Oklahoma City full timeout,,21,21
71,1,2:52.0,,S. Blake enters the game for D. Lillard,21,21
72,1,2:52.0,,C. Kaman enters the game for R. Lopez,21,21
73,1,2:52.0,,L. Aldridge makes free throw 1 of 2,21,22
74,1,2:52.0,,L. Aldridge makes free throw 2 of 2,21,23
75,1,2:40.0,R. Westbrook makes 2-pt layup from 1 ft,,23,23
76,1,2:24.0,,C. Kaman misses 2-pt jump shot from 18 ft,23,23
77,1,2:23.0,Defensive rebound by D. Waiters,,23,23
78,1,2:11.0,M. McGary misses 2-pt jump shot from 14 ft,,23,23
79,1,2:10.0,,Defensive rebound by L. Aldridge,23,23
80,1,1:52.0,,S. Blake makes 3-pt jump shot from 23 ft (assist by A. Afflalo),23,26
81,1,1:27.0,D. Waiters misses 2-pt jump shot from 11 ft,,23,26
82,1,1:26.0,Offensive rebound by M. McGary,,23,26
83,1,1:13.0,R. Westbrook misses 2-pt jump shot from 13 ft,,23,26
84,1,1:12.0,,Defensive rebound by N. Batum,23,26
85,1,1:06.0,,L. Aldridge makes 2-pt dunk at rim (assist by N. Batum),23,28
86,1,0:51.0,Turnover by R. Westbrook (bad pass; steal by L. Aldridge),,23,28
87,1,0:44.0,,N. Batum misses 3-pt jump shot from 24 ft,23,28
88,1,0:42.0,Defensive rebound by Team,,23,28
89,1,0:42.0,D. Augustin enters the game for R. Westbrook,,23,28
90,1,0:42.0,,W. Matthews enters the game for N. Batum,23,28
91,1,0:26.0,D. Augustin makes 2-pt jump shot from 9 ft,,25,28
92,1,0:08.0,,Personal take foul by D. Augustin (drawn by S. Blake),25,28
93,1,0:08.0,A. Roberson enters the game for A. Morrow,,25,28
94,1,0:03.0,,L. Aldridge misses 3-pt jump shot from 23 ft,25,28
95,1,0:01.0,,Offensive rebound by C. Kaman,25,28
96,1,0:01.0,,C. Kaman misses 2-pt tip-in at rim,25,28
97,1,0:00.0,,Offensive rebound by W. Matthews,25,28
98,1,0:00.0,,W. Matthews misses 2-pt layup at rim,25,28
99,1,0:00.0,Defensive rebound by Team,,25,28
100,2,11:45.0,,C. Kaman makes 2-pt hook shot from 2 ft,25,30
101,2,11:18.0,S. Ibaka misses 2-pt hook shot from 5 ft,,25,30
102,2,11:16.0,,Defensive rebound by C. Kaman,25,30
103,2,11:00.0,,M. Leonard misses 2-pt jump shot from 17 ft,25,30
104,2,10:59.0,Defensive rebound by M. McGary,,25,30
105,2,10:45.0,A. Morrow makes 3-pt jump shot from 26 ft (assist by D. Waiters),,28,30
106,2,10:31.0,,Personal foul by D. Waiters (drawn by W. Matthews),28,30
107,2,10:31.0,K. Singler enters the game for S. Ibaka,,28,30
108,2,10:25.0,,W. Matthews misses 3-pt jump shot from 25 ft,28,30
109,2,10:24.0,Defensive rebound by A. Morrow,,28,30
110,2,10:10.0,D. Waiters misses 2-pt jump shot from 6 ft,,28,30
111,2,10:09.0,,Defensive rebound by W. Matthews,28,30
112,2,10:02.0,,A. Afflalo makes 2-pt jump shot from 8 ft (assist by W. Matthews),28,32
113,2,9:48.0,Personal block foul by A. Afflalo (drawn by D. Waiters),,28,32
114,2,9:39.0,Turnover by K. Singler (lost ball; steal by W. Matthews),,28,32
115,2,9:27.0,,M. Leonard misses 2-pt layup from 2 ft (block by K. Singler),28,32
116,2,9:26.0,Defensive rebound by M. McGary,,28,32
117,2,9:21.0,Shooting foul by M. Leonard (drawn by A. Morrow),,28,32
118,2,9:21.0,A. Morrow makes free throw 1 of 3,,29,32
119,2,9:21.0,A. Morrow makes free throw 2 of 3,,30,32
120,2,9:21.0,A. Morrow makes free throw 3 of 3,,31,32
121,2,9:06.0,,Offensive foul by A. Afflalo (drawn by D. Waiters),31,32
122,2,9:06.0,,Turnover by A. Afflalo (offensive foul),31,32
123,2,8:51.0,K. Singler makes 3-pt jump shot from 25 ft (assist by A. Morrow),,34,32
124,2,8:41.0,,W. Matthews misses 3-pt jump shot from 25 ft,34,32
125,2,8:40.0,Defensive rebound by M. McGary,,34,32
