,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
0,1,11:32.0,D. Green misses 3-pt jump shot from 25 ft,,0,0
1,1,11:31.0,,Defensive rebound by J. Butler,0,0
2,1,11:16.0,,Personal foul by H. Barnes (drawn by J. Noah),0,0
3,1,11:03.0,,P. Gasol misses 2-pt jump shot from 19 ft,0,0
4,1,11:02.0,Defensive rebound by S. Curry,,0,0
5,1,10:50.0,S. Curry misses 3-pt jump shot from 24 ft,,0,0
6,1,10:49.0,Offensive rebound by A. Bogut,,0,0
7,1,10:49.0,A. Bogut misses 2-pt tip-in at rim,,0,0
8,1,10:48.0,,Defensive rebound by M. Dunleavy,0,0
9,1,10:39.0,,Shooting foul by S. Curry (drawn by D. Rose),0,0
10,1,10:39.0,,D. Rose makes free throw 1 of 2,0,1
11,1,10:39.0,,D. Rose makes free throw 2 of 2,0,2
12,1,10:22.0,A. Bogut misses 2-pt hook shot from 7 ft (block by P. Gasol),,0,2
13,1,10:21.0,,Defensive rebound by Team,0,2
14,1,9:57.0,,D. Rose misses 3-pt jump shot from 24 ft,0,2
15,1,9:57.0,,Offensive rebound by Team,0,2
16,1,9:57.0,,Turnover by Team (shot clock),0,2
17,1,9:35.0,K. Thompson misses 2-pt jump shot from 9 ft,,0,2
18,1,9:34.0,Offensive rebound by A. Bogut,,0,2
19,1,9:29.0,K. Thompson misses 3-pt jump shot from 23 ft,,0,2
20,1,9:28.0,,Defensive rebound by D. Rose,0,2
21,1,9:17.0,,M. Dunleavy misses 2-pt jump shot from 19 ft,0,2
22,1,9:16.0,Defensive rebound by A. Bogut,,0,2
23,1,9:09.0,K. Thompson misses 3-pt jump shot from 24 ft,,0,2
24,1,9:08.0,,Defensive rebound by J. Noah,0,2
25,1,9:03.0,,Shooting foul by K. Thompson (drawn by D. Rose),0,2
26,1,9:03.0,,D. Rose makes free throw 1 of 2,0,3
27,1,9:03.0,,D. Rose makes free throw 2 of 2,0,4
28,1,8:47.0,D. Green makes 3-pt jump shot from 24 ft (assist by K. Thompson),,3,4
29,1,8:30.0,,M. Dunleavy misses 2-pt jump shot from 15 ft (block by H. Barnes),3,4
30,1,8:25.0,,Offensive rebound by D. Rose,3,4
31,1,8:22.0,,Turnover by M. Dunleavy (bad pass; steal by D. Green),3,4
32,1,8:16.0,K. Thompson makes 2-pt jump shot from 19 ft,,5,4
33,1,7:58.0,,P. Gasol makes 2-pt dunk at rim (assist by D. Rose),5,6
34,1,7:39.0,S. Curry makes 2-pt jump shot from 20 ft (assist by A. Bogut),,7,6
35,1,7:27.0,,Turnover by J. Butler (bad pass; steal by H. Barnes),7,6
36,1,7:21.0,D. Green makes 3-pt jump shot from 25 ft (assist by H. Barnes),,10,6
37,1,7:02.0,,P. Gasol misses 2-pt jump shot from 11 ft,10,6
38,1,7:01.0,Defensive rebound by D. Green,,10,6
39,1,6:58.0,Shooting foul by D. Rose (drawn by S. Curry),,10,6
40,1,6:58.0,S. Curry makes free throw 1 of 3,,11,6
41,1,6:58.0,S. Curry makes free throw 2 of 3,,12,6
42,1,6:58.0,S. Curry makes free throw 3 of 3,,13,6
43,1,6:45.0,,Turnover by D. Rose (bad pass; steal by A. Bogut),13,6
44,1,6:40.0,A. Bogut makes 2-pt layup from 2 ft,,15,6
45,1,6:40.0,Shooting foul by M. Dunleavy (drawn by A. Bogut),,15,6
46,1,6:40.0,A. Bogut misses free throw 1 of 1,,15,6
47,1,6:39.0,,Defensive rebound by P. Gasol,15,6
48,1,6:27.0,,P. Gasol misses 2-pt jump shot from 20 ft,15,6
49,1,6:26.0,Defensive rebound by S. Curry,,15,6
50,1,6:20.0,Turnover by A. Bogut (bad pass),,15,6
51,1,6:06.0,,M. Dunleavy makes 2-pt jump shot from 15 ft (assist by D. Rose),15,8
52,1,5:58.0,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),,18,8
53,1,5:42.0,,Turnover by P. Gasol (lost ball; steal by A. Bogut),18,8
54,1,5:38.0,D. Green makes 2-pt dunk at rim (assist by S. Curry),,20,8
55,1,5:29.0,,Chicago full timeout,20,8
56,1,5:29.0,A. Iguodala enters the game for H. Barnes,,20,8
57,1,5:17.0,,J. Butler makes 2-pt jump shot from 15 ft (assist by J. Noah),20,10
58,1,5:03.0,K. Thompson misses 2-pt layup from 1 ft,,20,10
59,1,5:02.0,Offensive rebound by A. Bogut,,20,10
60,1,5:02.0,A. Bogut makes 2-pt dunk at rim,,22,10
61,1,4:44.0,,D. Rose misses 2-pt layup from 1 ft,22,10
62,1,4:43.0,Defensive rebound by A. Bogut,,22,10
63,1,4:36.0,S. Curry misses 2-pt jump shot from 20 ft,,22,10
64,1,4:34.0,,Defensive rebound by D. Rose,22,10
65,1,4:28.0,,D. Rose makes 2-pt jump shot from 18 ft,22,12
66,1,4:11.0,A. Iguodala misses 2-pt jump shot from 19 ft,,22,12
67,1,4:10.0,,Defensive rebound by P. Gasol,22,12
68,1,3:58.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by P. Gasol),22,15
69,1,3:37.0,K. Thompson makes 2-pt layup from 2 ft,,24,15
70,1,3:22.0,,Turnover by J. Noah (bad pass; steal by D. Green),24,15
71,1,3:05.0,A. Iguodala misses 2-pt layup from 1 ft,,24,15
72,1,3:04.0,Offensive rebound by A. Bogut,,24,15
73,1,3:04.0,A. Bogut misses 2-pt tip-in from 1 ft,,24,15
74,1,3:03.0,,Defensive rebound by P. Gasol,24,15
75,1,2:58.0,,M. Dunleavy misses 3-pt jump shot from 24 ft (block by D. Green),24,15
76,1,2:56.0,Defensive rebound by A. Bogut,,24,15
77,1,2:54.0,Turnover by A. Bogut (bad pass),,24,15
78,1,2:54.0,Golden State full timeout,,24,15
79,1,2:54.0,,K. Hinrich enters the game for D. Rose,24,15
80,1,2:54.0,,T. Gibson enters the game for J. Noah,24,15
81,1,2:54.0,L. Barbosa enters the game for A. Bogut,,24,15
82,1,2:54.0,M. Speights enters the game for K. Thompson,,24,15
83,1,2:31.0,,T. Gibson misses 2-pt layup from 2 ft,24,15
84,1,2:30.0,,Offensive rebound by P. Gasol,24,15
85,1,2:29.0,,P. Gasol makes 2-pt layup from 2 ft,24,17
86,1,2:14.0,S. Curry misses 2-pt jump shot from 9 ft,,24,17
87,1,2:12.0,,Defensive rebound by P. Gasol,24,17
88,1,2:03.0,,P. Gasol makes 2-pt jump shot from 6 ft (assist by K. Hinrich),24,19
89,1,1:38.0,L. Barbosa misses 3-pt jump shot from 23 ft,,24,19
90,1,1:36.0,,Defensive rebound by K. Hinrich,24,19
91,1,1:27.0,,T. Gibson misses 2-pt layup from 2 ft (block by D. Green),24,19
92,1,1:26.0,,Offensive rebound by T. Gibson,24,19
93,1,1:25.0,,Turnover by T. Gibson (bad pass; steal by A. Iguodala),24,19
94,1,1:20.0,A. Iguodala makes 2-pt layup from 2 ft,,26,19
95,1,1:00.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by M. Dunleavy),26,21
96,1,0:42.0,M. Speights makes 2-pt jump shot from 15 ft (assist by D. Green),,28,21
97,1,0:32.0,,K. Hinrich misses 2-pt jump shot from 23 ft,28,21
98,1,0:30.0,Defensive rebound by D. Green,,28,21
99,1,0:22.0,D. Green misses 3-pt jump shot from 23 ft,,28,21
100,1,0:21.0,,Defensive rebound by P. Gasol,28,21
101,1,0:04.0,,Shooting foul by A. Iguodala (drawn by J. Butler),28,21
102,1,0:04.0,,J. Butler makes free throw 1 of 2,28,22
103,1,0:04.0,,J. Butler misses free throw 2 of 2,28,22
104,1,0:01.0,,Offensive rebound by P. Gasol,28,22
105,1,0:01.0,,P. Gasol misses 2-pt tip-in from 1 ft,28,22
106,1,0:00.0,Defensive rebound by D. Green,,28,22
107,2,11:42.0,,J. Butler makes 2-pt jump shot from 12 ft (assist by N. Mirotić),28,24
108,2,11:23.0,M. Speights misses 2-pt jump shot from 17 ft,,28,24
109,2,11:22.0,,Defensive rebound by N. Mirotić,28,24
110,2,11:14.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Brooks),28,26
111,2,11:05.0,S. Livingston misses 2-pt layup from 2 ft (block by T. Gibson),,28,26
112,2,11:03.0,,Defensive rebound by N. Mirotić,28,26
113,2,10:58.0,,A. Brooks makes 3-pt jump shot from 26 ft (assist by N. Mirotić),28,29
114,2,10:39.0,Turnover by M. Speights (bad pass; steal by K. Hinrich),,28,29
115,2,10:38.0,,Clear path foul by S. Livingston,28,29
116,2,10:38.0,,K. Hinrich makes clear path free throw 1 of 2,28,30
117,2,10:38.0,,K. Hinrich makes clear path free throw 2 of 2,28,31
118,2,10:28.0,,A. Brooks misses 2-pt layup at rim,28,31
119,2,10:27.0,,Offensive rebound by Team,28,31
120,2,10:19.0,,J. Butler misses 2-pt jump shot from 15 ft,28,31
121,2,10:17.0,,Offensive rebound by T. Gibson,28,31
122,2,10:17.0,,T. Gibson makes 2-pt tip-in from 1 ft,28,33
123,2,10:12.0,Technical foul by Team,,28,33
124,2,10:12.0,,J. Butler misses technical free throw,28,33
125,2,10:12.0,Offensive rebound by Team,,28,33
126,2,10:06.0,Shooting foul by N. Mirotić (drawn by H. Barnes),,28,33
127,2,10:06.0,H. Barnes misses free throw 1 of 2,,28,33
128,2,10:06.0,Offensive rebound by Team,,28,33
129,2,10:06.0,K. Thompson enters the game for L. Barbosa,,28,33
130,2,10:06.0,,T. Snell enters the game for J. Butler,28,33
131,2,10:06.0,H. Barnes makes free throw 2 of 2,,29,33
132,2,9:48.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Brooks),29,35
133,2,9:37.0,Personal foul by T. Gibson (drawn by K. Thompson),,29,35
134,2,9:27.0,K. Thompson misses 2-pt jump shot from 21 ft,,29,35
135,2,9:26.0,,Defensive rebound by K. Hinrich,29,35
136,2,9:11.0,,A. Brooks misses 2-pt jump shot from 8 ft,29,35
137,2,9:09.0,,Offensive rebound by A. Brooks,29,35
138,2,9:03.0,Offensive charge foul by N. Mirotić (drawn by M. Speights),,29,35
139,2,9:03.0,,Turnover by N. Mirotić (offensive foul),29,35
140,2,8:42.0,M. Speights misses 2-pt jump shot from 7 ft,,29,35
141,2,8:41.0,,Defensive rebound by T. Gibson,29,35
142,2,8:33.0,,Turnover by T. Gibson (bad pass; steal by A. Iguodala),29,35
143,2,8:27.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,32,35
144,2,8:05.0,,Shooting foul by H. Barnes (drawn by K. Hinrich),32,35
145,2,8:05.0,,Chicago full timeout,32,35
