,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:45.0,,L. Aldridge misses 2-pt jump shot from 19 ft,0,0
1,1,11:44.0,,Offensive rebound by R. Lopez,0,0
2,1,11:40.0,,A. Afflalo makes 2-pt jump shot from 9 ft (assist by R. Lopez),0,2
3,1,11:21.0,K. Martin misses 2-pt jump shot from 14 ft,,0,2
4,1,11:20.0,,Defensive rebound by A. Afflalo,0,2
5,1,11:12.0,,Shooting foul by K. Martin (drawn by A. Afflalo),0,2
6,1,11:12.0,,A. Afflalo makes free throw 1 of 2,0,3
7,1,11:12.0,,A. Afflalo makes free throw 2 of 2,0,4
8,1,10:59.0,A. Wiggins misses 2-pt jump shot from 16 ft,,0,4
9,1,10:58.0,Offensive rebound by Team,,0,4
10,1,10:52.0,Personal foul by A. Afflalo (drawn by K. Martin),,0,4
11,1,10:46.0,Turnover by A. Payne (traveling),,0,4
12,1,10:32.0,,Turnover by R. Lopez (3 sec),0,4
13,1,10:19.0,Shooting foul by D. Lillard (drawn by A. Wiggins),,0,4
14,1,10:19.0,A. Wiggins misses free throw 1 of 2,,0,4
15,1,10:19.0,Offensive rebound by Team,,0,4
16,1,10:19.0,A. Wiggins makes free throw 2 of 2,,1,4
17,1,10:00.0,,L. Aldridge misses 3-pt jump shot from 23 ft,1,4
18,1,9:59.0,Defensive rebound by A. Wiggins,,1,4
19,1,9:51.0,Z. LaVine misses 2-pt jump shot from 13 ft,,1,4
20,1,9:50.0,,Defensive rebound by N. Batum,1,4
21,1,9:29.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by R. Lopez),1,7
22,1,9:13.0,K. Martin makes 2-pt jump shot from 7 ft (assist by Z. LaVine),,3,7
23,1,8:59.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Lillard),3,9
24,1,8:45.0,K. Martin misses 2-pt jump shot from 21 ft,,3,9
25,1,8:44.0,,Defensive rebound by L. Aldridge,3,9
26,1,8:36.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by D. Lillard),3,12
27,1,8:36.0,Minnesota full timeout,,3,12
28,1,8:24.0,A. Wiggins misses 2-pt jump shot from 4 ft,,3,12
29,1,8:23.0,,Defensive rebound by R. Lopez,3,12
30,1,8:16.0,,D. Lillard misses 3-pt jump shot from 25 ft,3,12
31,1,8:14.0,Defensive rebound by A. Wiggins,,3,12
32,1,7:59.0,J. Hamilton misses 2-pt layup from 1 ft,,3,12
33,1,7:58.0,,Defensive rebound by L. Aldridge,3,12
34,1,7:49.0,,Turnover by N. Batum (bad pass; steal by Z. LaVine),3,12
35,1,7:45.0,Z. LaVine makes 2-pt layup from 1 ft,,5,12
36,1,7:25.0,,N. Batum misses 3-pt jump shot from 24 ft,5,12
37,1,7:24.0,Defensive rebound by Z. LaVine,,5,12
38,1,7:10.0,A. Wiggins makes 2-pt jump shot from 11 ft (assist by A. Payne),,7,12
39,1,6:54.0,,Turnover by N. Batum (bad pass; steal by J. Hamilton),7,12
40,1,6:49.0,A. Wiggins makes 2-pt dunk at rim (assist by Z. LaVine),,9,12
41,1,6:29.0,,N. Batum makes 2-pt jump shot from 11 ft,9,14
42,1,6:20.0,A. Payne makes 2-pt hook shot from 5 ft (assist by K. Martin),,11,14
43,1,6:03.0,,Personal foul by A. Payne (drawn by L. Aldridge),11,14
44,1,6:03.0,,C. Kaman enters the game for R. Lopez,11,14
45,1,6:03.0,,C. McCollum enters the game for A. Afflalo,11,14
46,1,5:51.0,,L. Aldridge makes 2-pt jump shot from 17 ft,11,16
47,1,5:29.0,J. Hamilton makes 2-pt layup from 2 ft (assist by K. Martin),,13,16
48,1,5:13.0,,C. McCollum misses 3-pt jump shot from 23 ft,13,16
49,1,5:12.0,,Offensive rebound by C. Kaman,13,16
50,1,5:06.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by N. Batum),13,19
51,1,4:50.0,A. Payne misses 2-pt jump shot from 18 ft,,13,19
52,1,4:47.0,,Defensive rebound by C. Kaman,13,19
53,1,4:38.0,,C. Kaman makes 2-pt jump shot from 18 ft (assist by D. Lillard),13,21
54,1,4:22.0,K. Martin misses 2-pt jump shot from 18 ft,,13,21
55,1,4:21.0,,Defensive rebound by L. Aldridge,13,21
56,1,4:15.0,,L. Aldridge misses 2-pt layup at rim (block by A. Payne),13,21
57,1,4:13.0,Defensive rebound by J. Hamilton,,13,21
58,1,4:04.0,A. Payne misses 2-pt layup from 1 ft,,13,21
59,1,4:03.0,,Defensive rebound by L. Aldridge,13,21
60,1,3:57.0,,L. Aldridge makes 2-pt layup at rim (assist by D. Lillard),13,23
61,1,3:32.0,A. Wiggins makes 2-pt jump shot from 12 ft,,15,23
62,1,3:32.0,Shooting foul by N. Batum (drawn by A. Wiggins),,15,23
63,1,3:32.0,C. Budinger enters the game for A. Payne,,15,23
64,1,3:32.0,A. Wiggins makes free throw 1 of 1,,16,23
65,1,3:13.0,,C. McCollum misses 2-pt jump shot from 18 ft,16,23
66,1,3:11.0,Defensive rebound by K. Martin,,16,23
67,1,3:07.0,Turnover by K. Martin (bad pass; steal by C. McCollum),,16,23
68,1,3:01.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by N. Batum),16,25
69,1,2:40.0,Z. LaVine misses 3-pt jump shot from 25 ft,,16,25
