,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:42.0,T. Mozgov misses 2-pt hook shot from 5 ft,,0,0
1,1,11:41.0,,Defensive rebound by E. Turner,0,0
2,1,11:34.0,,T. Zeller makes 2-pt jump shot from 15 ft (assist by E. Turner),0,2
3,1,11:10.0,M. Dellavedova misses 2-pt jump shot from 8 ft,,0,2
4,1,11:08.0,Offensive rebound by T. Thompson,,0,2
5,1,10:55.0,M. Dellavedova misses 2-pt jump shot from 13 ft,,0,2
6,1,10:54.0,Offensive rebound by M. Dellavedova,,0,2
7,1,10:44.0,S. Marion misses 3-pt jump shot from 24 ft,,0,2
8,1,10:42.0,,Defensive rebound by T. Zeller,0,2
9,1,10:34.0,,A. Bradley makes 3-pt jump shot from 27 ft,0,5
10,1,10:22.0,I. Shumpert misses 2-pt jump shot from 11 ft,,0,5
11,1,10:20.0,,Defensive rebound by T. Zeller,0,5
12,1,10:09.0,,A. Bradley misses 2-pt jump shot from 20 ft,0,5
13,1,10:08.0,Defensive rebound by T. Mozgov,,0,5
14,1,9:56.0,S. Marion misses 3-pt jump shot from 23 ft,,0,5
15,1,9:56.0,,Defensive rebound by T. Zeller,0,5
16,1,9:32.0,,B. Bass misses 2-pt jump shot from 5 ft (block by T. Mozgov),0,5
17,1,9:29.0,Defensive rebound by I. Shumpert,,0,5
18,1,9:19.0,T. Mozgov misses 2-pt layup from 1 ft,,0,5
19,1,9:18.0,,Defensive rebound by T. Zeller,0,5
20,1,9:07.0,,A. Bradley makes 2-pt jump shot from 15 ft,0,7
21,1,8:50.0,Turnover by T. Thompson (lost ball; steal by M. Smart),,0,7
22,1,8:45.0,,E. Turner misses 2-pt layup at rim,0,7
23,1,8:44.0,Defensive rebound by S. Marion,,0,7
24,1,8:35.0,T. Mozgov misses 2-pt jump shot from 9 ft,,0,7
25,1,8:34.0,Offensive rebound by S. Marion,,0,7
26,1,8:32.0,Turnover by S. Marion (bad pass; steal by E. Turner),,0,7
27,1,8:26.0,,T. Zeller makes 2-pt dunk at rim (assist by M. Smart),0,9
28,1,8:25.0,Cleveland full timeout,,0,9
29,1,8:04.0,T. Mozgov makes 2-pt jump shot from 12 ft (assist by M. Dellavedova),,2,9
30,1,7:41.0,,E. Turner misses 2-pt jump shot from 15 ft,2,9
31,1,7:40.0,Defensive rebound by S. Marion,,2,9
32,1,7:31.0,T. Thompson makes 2-pt layup at rim (assist by T. Mozgov),,4,9
33,1,7:31.0,Shooting foul by T. Zeller (drawn by T. Thompson),,4,9
34,1,7:31.0,T. Thompson makes free throw 1 of 1,,5,9
35,1,7:22.0,,B. Bass misses 2-pt jump shot from 18 ft,5,9
36,1,7:21.0,Defensive rebound by T. Mozgov,,5,9
37,1,7:12.0,Personal foul by E. Turner (drawn by T. Mozgov),,5,9
38,1,6:55.0,T. Thompson makes 2-pt hook shot from 2 ft (assist by M. Dellavedova),,7,9
39,1,6:43.0,,M. Smart misses 3-pt jump shot from 26 ft,7,9
40,1,6:42.0,Defensive rebound by T. Mozgov,,7,9
41,1,6:30.0,I. Shumpert misses 2-pt layup from 2 ft,,7,9
42,1,6:29.0,Offensive rebound by T. Mozgov,,7,9
43,1,6:25.0,I. Shumpert misses 3-pt jump shot from 27 ft,,7,9
44,1,6:24.0,,Defensive rebound by E. Turner,7,9
45,1,6:16.0,Violation by I. Shumpert (kicked ball),,7,9
46,1,6:11.0,,A. Bradley misses 3-pt jump shot from 27 ft,7,9
47,1,6:10.0,Defensive rebound by S. Marion,,7,9
48,1,6:01.0,J. Harris enters the game for I. Shumpert,,7,9
49,1,6:01.0,,I. Thomas enters the game for M. Smart,7,9
50,1,6:01.0,,J. Crowder enters the game for B. Bass,7,9
51,1,5:58.0,J. Harris makes 2-pt jump shot from 15 ft (assist by M. Dellavedova),,9,9
52,1,5:44.0,,T. Zeller makes 2-pt layup at rim (assist by J. Crowder),9,11
53,1,5:24.0,T. Thompson misses 2-pt hook shot from 6 ft,,9,11
54,1,5:23.0,,Defensive rebound by J. Crowder,9,11
55,1,5:18.0,,T. Zeller misses 2-pt jump shot from 4 ft (block by J. Harris),9,11
56,1,5:17.0,Defensive rebound by Team,,9,11
57,1,5:00.0,T. Mozgov misses 2-pt layup from 2 ft,,9,11
58,1,4:59.0,,Defensive rebound by E. Turner,9,11
59,1,4:49.0,,E. Turner makes 2-pt jump shot from 6 ft,9,13
60,1,4:35.0,M. Dellavedova makes 2-pt jump shot from 17 ft,,11,13
61,1,4:18.0,,I. Thomas misses 2-pt jump shot from 16 ft,11,13
62,1,4:17.0,Defensive rebound by J. Harris,,11,13
63,1,4:00.0,T. Mozgov misses 2-pt jump shot from 20 ft,,11,13
64,1,3:58.0,Offensive rebound by S. Marion,,11,13
65,1,3:54.0,J. Harris misses 2-pt layup from 3 ft,,11,13
66,1,3:54.0,Offensive rebound by Team,,11,13
67,1,3:54.0,,Loose ball foul by J. Crowder (drawn by T. Thompson),11,13
68,1,3:54.0,J. Jones enters the game for T. Mozgov,,11,13
69,1,3:54.0,M. Miller enters the game for S. Marion,,11,13
70,1,3:54.0,,J. Sullinger enters the game for T. Zeller,11,13
71,1,3:45.0,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),,13,13
72,1,3:33.0,,J. Crowder misses 2-pt layup from 1 ft,13,13
73,1,3:32.0,Defensive rebound by T. Thompson,,13,13
74,1,3:07.0,J. Harris makes 2-pt layup at rim (assist by M. Miller),,15,13
75,1,2:57.0,,J. Crowder misses 2-pt jump shot from 3 ft (block by T. Thompson),15,13
76,1,2:54.0,Defensive rebound by M. Miller,,15,13
77,1,2:48.0,J. Jones makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,18,13
78,1,2:48.0,,Boston full timeout,18,13
79,1,2:48.0,I. Shumpert enters the game for M. Dellavedova,,18,13
80,1,2:41.0,Violation by I. Shumpert (kicked ball),,18,13
81,1,2:34.0,,I. Thomas makes 2-pt layup from 1 ft (assist by J. Sullinger),18,15
82,1,2:34.0,,Shooting foul by J. Harris (drawn by I. Thomas),18,15
83,1,2:34.0,,I. Thomas makes free throw 1 of 1,18,16
84,1,2:19.0,Turnover by I. Shumpert (lost ball; steal by J. Crowder),,18,16
85,1,2:19.0,,Personal foul by I. Shumpert (drawn by J. Crowder),18,16
86,1,2:19.0,K. Perkins enters the game for T. Thompson,,18,16
87,1,2:06.0,,I. Thomas misses 3-pt jump shot from 25 ft,18,16
88,1,2:05.0,Defensive rebound by K. Perkins,,18,16
89,1,1:54.0,Turnover by K. Perkins (traveling),,18,16
90,1,1:54.0,,J. Jerebko enters the game for A. Bradley,18,16
91,1,1:42.0,,I. Thomas makes 2-pt jump shot from 18 ft (assist by J. Jerebko),18,18
92,1,1:31.0,I. Shumpert makes 2-pt jump shot from 17 ft,,20,18
93,1,1:26.0,,J. Jerebko misses 2-pt jump shot from 5 ft (block by M. Miller),20,18
94,1,1:26.0,,Offensive rebound by Team,20,18
95,1,1:14.0,,J. Sullinger misses 2-pt layup from 2 ft (block by J. Jones),20,18
96,1,1:12.0,Defensive rebound by I. Shumpert,,20,18
97,1,1:03.0,J. Jones misses 3-pt jump shot from 22 ft,,20,18
98,1,1:01.0,,Defensive rebound by E. Turner,20,18
99,1,0:57.0,,I. Thomas misses 2-pt layup from 1 ft,20,18
100,1,0:57.0,,Offensive rebound by Team,20,18
101,1,0:57.0,Loose ball foul by J. Harris (drawn by E. Turner),,20,18
102,1,0:52.0,,Turnover by I. Thomas (traveling),20,18
103,1,0:52.0,S. Marion enters the game for J. Harris,,20,18
104,1,0:34.0,J. Jones makes 2-pt jump shot from 18 ft (assist by K. Perkins),,22,18
105,1,0:25.0,,J. Sullinger makes 2-pt jump shot from 21 ft (assist by E. Turner),22,20
106,1,0:05.0,Turnover by I. Shumpert (lost ball; steal by I. Thomas),,22,20
107,1,0:03.0,,Personal foul by M. Miller (drawn by I. Thomas),22,20
108,1,0:03.0,,I. Thomas makes free throw 1 of 2,22,21
109,1,0:03.0,,T. Zeller enters the game for J. Sullinger,22,21
110,1,0:03.0,,I. Thomas misses free throw 2 of 2,22,21
111,1,0:02.0,Defensive rebound by J. Jones,,22,21
112,1,0:00.0,M. Miller misses 3-pt jump shot from 39 ft,,22,21
113,1,0:00.0,Offensive rebound by Team,,22,21
114,2,11:43.0,,Shooting foul by I. Shumpert (drawn by J. Jerebko),22,21
115,2,11:43.0,,J. Jerebko misses free throw 1 of 2,22,21
116,2,11:43.0,,Offensive rebound by Team,22,21
117,2,11:43.0,,K. Olynyk enters the game for J. Sullinger,22,21
