,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
0,1,11:46.0,D. West makes 2-pt jump shot from 19 ft (assist by C. Watson),,2,0
1,1,11:33.0,,Turnover by A. Johnson (bad pass; steal by C. Miles),2,0
2,1,11:30.0,Shooting foul by A. Johnson (drawn by C. Miles),,2,0
3,1,11:30.0,C. Miles makes free throw 1 of 2,,3,0
4,1,11:30.0,C. Miles makes free throw 2 of 2,,4,0
5,1,11:14.0,,Turnover by T. Ross (traveling),4,0
6,1,11:00.0,R. Hibbert misses 2-pt hook shot from 3 ft,,4,0
7,1,10:59.0,,Defensive rebound by J. Valančiūnas,4,0
8,1,10:52.0,,K. Lowry misses 2-pt jump shot from 22 ft,4,0
9,1,10:51.0,Defensive rebound by R. Stuckey,,4,0
10,1,10:44.0,C. Miles misses 3-pt jump shot from 25 ft,,4,0
11,1,10:43.0,,Defensive rebound by T. Ross,4,0
12,1,10:19.0,,J. Valančiūnas misses 2-pt jump shot from 3 ft,4,0
13,1,10:18.0,,Offensive rebound by J. Valančiūnas,4,0
14,1,10:16.0,,J. Valančiūnas makes 2-pt layup from 2 ft,4,2
15,1,9:54.0,C. Watson misses 2-pt jump shot from 15 ft,,4,2
16,1,9:53.0,,Defensive rebound by J. Valančiūnas,4,2
17,1,9:41.0,,Personal foul by C. Watson (drawn by J. Valančiūnas),4,2
18,1,9:31.0,,T. Ross misses 3-pt jump shot from 26 ft,4,2
19,1,9:30.0,Defensive rebound by R. Stuckey,,4,2
20,1,9:24.0,Personal foul by J. Valančiūnas (drawn by R. Hibbert),,4,2
21,1,9:12.0,C. Miles misses 2-pt jump shot from 16 ft,,4,2
22,1,9:11.0,,Defensive rebound by J. Valančiūnas,4,2
23,1,8:53.0,,L. Fields misses 2-pt jump shot from 7 ft,4,2
24,1,8:52.0,,Offensive rebound by L. Fields,4,2
25,1,8:49.0,,L. Fields makes 2-pt tip-in from 1 ft,4,4
26,1,8:39.0,Personal foul by K. Lowry (drawn by C. Watson),,4,4
27,1,8:30.0,R. Hibbert misses 2-pt jump shot from 20 ft,,4,4
28,1,8:29.0,,Defensive rebound by T. Ross,4,4
29,1,8:21.0,,T. Ross makes 2-pt jump shot from 11 ft,4,6
30,1,7:57.0,D. West misses 2-pt jump shot from 18 ft,,4,6
31,1,7:55.0,,Defensive rebound by T. Ross,4,6
32,1,7:47.0,,L. Fields makes 2-pt hook shot from 6 ft (assist by T. Ross),4,8
33,1,7:27.0,Turnover by C. Watson (bad pass),,4,8
34,1,7:21.0,,Personal foul by R. Stuckey (drawn by K. Lowry),4,8
35,1,7:13.0,,Shooting foul by R. Stuckey (drawn by L. Fields),4,8
36,1,7:13.0,,L. Fields makes free throw 1 of 2,4,9
37,1,7:13.0,S. Hill enters the game for R. Stuckey,,4,9
38,1,7:13.0,,L. Fields makes free throw 2 of 2,4,10
39,1,6:58.0,D. West misses 2-pt jump shot from 10 ft,,4,10
40,1,6:57.0,,Defensive rebound by T. Ross,4,10
41,1,6:47.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft (block by R. Hibbert),4,10
42,1,6:46.0,,Offensive rebound by J. Valančiūnas,4,10
43,1,6:45.0,,Shooting foul by C. Miles (drawn by J. Valančiūnas),4,10
44,1,6:45.0,,J. Valančiūnas makes free throw 1 of 2,4,11
45,1,6:45.0,,J. Valančiūnas makes free throw 2 of 2,4,12
46,1,6:42.0,Indiana full timeout,,4,12
47,1,6:35.0,C. Miles misses 2-pt jump shot from 19 ft,,4,12
48,1,6:34.0,Offensive rebound by D. West,,4,12
49,1,6:25.0,C. Watson makes 3-pt jump shot from 25 ft (assist by D. West),,7,12
50,1,6:05.0,,T. Ross misses 3-pt jump shot from 24 ft,7,12
51,1,6:04.0,Defensive rebound by C. Watson,,7,12
52,1,5:59.0,C. Watson makes 2-pt layup from 2 ft,,9,12
53,1,5:40.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by L. Fields),9,15
54,1,5:16.0,C. Miles makes 3-pt jump shot from 23 ft (assist by D. West),,12,15
55,1,5:02.0,,Shooting foul by S. Hill (drawn by T. Ross),12,15
56,1,5:02.0,,T. Ross makes free throw 1 of 2,12,16
57,1,5:02.0,,T. Ross makes free throw 2 of 2,12,17
58,1,4:52.0,C. Watson misses 2-pt jump shot from 7 ft,,12,17
59,1,4:48.0,,Defensive rebound by T. Ross,12,17
60,1,4:42.0,,T. Ross misses 3-pt jump shot from 25 ft,12,17
61,1,4:41.0,,Offensive rebound by Team,12,17
62,1,4:41.0,Loose ball foul by D. West (drawn by J. Valančiūnas),,12,17
63,1,4:41.0,,J. Valančiūnas makes free throw 1 of 2,12,18
64,1,4:41.0,,J. Valančiūnas makes free throw 2 of 2,12,19
65,1,4:26.0,C. Miles misses 3-pt jump shot from 26 ft,,12,19
66,1,4:25.0,Offensive rebound by C. Watson,,12,19
67,1,4:20.0,Personal foul by A. Johnson (drawn by S. Hill),,12,19
68,1,4:20.0,,P. Patterson enters the game for A. Johnson,12,19
69,1,4:17.0,Offensive foul by R. Hibbert (drawn by K. Lowry),,12,19
70,1,4:17.0,Turnover by R. Hibbert (offensive foul),,12,19
71,1,4:07.0,,K. Lowry makes 2-pt jump shot from 17 ft,12,21
72,1,3:44.0,C. Watson misses 2-pt jump shot from 20 ft,,12,21
73,1,3:43.0,,Defensive rebound by T. Ross,12,21
74,1,3:32.0,,L. Fields misses 2-pt layup from 3 ft (block by S. Hill),12,21
75,1,3:32.0,,Offensive rebound by Team,12,21
76,1,3:32.0,L. Allen enters the game for R. Hibbert,,12,21
77,1,3:22.0,Offensive charge foul by T. Ross (drawn by C. Miles),,12,21
78,1,3:22.0,,Turnover by T. Ross (offensive foul),12,21
79,1,3:22.0,,L. Williams enters the game for L. Fields,12,21
80,1,3:22.0,,G. Vásquez enters the game for K. Lowry,12,21
81,1,3:13.0,C. Watson makes 2-pt jump shot from 5 ft,,14,21
82,1,2:52.0,,P. Patterson makes 2-pt jump shot from 5 ft (assist by L. Williams),14,23
83,1,2:39.0,D. West makes 2-pt jump shot from 21 ft (assist by C. Watson),,16,23
84,1,2:25.0,,Toronto full timeout,16,23
85,1,2:25.0,,T. Hansbrough enters the game for J. Valančiūnas,16,23
86,1,2:15.0,,Turnover by T. Ross (lost ball; steal by C. Miles),16,23
