,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:46.0,A. Afflalo misses 2-pt jump shot from 16 ft,,0,0
1,1,11:46.0,,Defensive rebound by N. Batum,0,0
2,1,11:33.0,,W. Matthews makes 2-pt jump shot from 11 ft,0,2
3,1,11:09.0,T. Lawson misses 2-pt jump shot from 17 ft,,0,2
4,1,11:09.0,,Defensive rebound by D. Lillard,0,2
5,1,11:03.0,,W. Matthews misses 3-pt jump shot from 22 ft,0,2
6,1,11:02.0,Defensive rebound by W. Chandler,,0,2
7,1,10:47.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by T. Lawson),,3,2
8,1,10:22.0,,L. Aldridge misses 2-pt jump shot from 16 ft,3,2
9,1,10:21.0,,Offensive rebound by Team,3,2
10,1,10:21.0,Loose ball foul by T. Mozgov (drawn by R. Lopez),,3,2
11,1,10:11.0,,R. Lopez makes 2-pt hook shot from 7 ft,3,4
12,1,9:58.0,K. Faried misses 2-pt jump shot from 18 ft,,3,4
13,1,9:57.0,,Defensive rebound by L. Aldridge,3,4
14,1,9:34.0,,L. Aldridge misses 2-pt jump shot from 18 ft,3,4
15,1,9:34.0,Defensive rebound by T. Lawson,,3,4
16,1,9:24.0,K. Faried makes 2-pt layup from 2 ft (assist by W. Chandler),,5,4
17,1,9:07.0,,N. Batum makes 2-pt layup at rim (assist by L. Aldridge),5,6
18,1,8:54.0,T. Lawson misses 2-pt layup at rim,,5,6
19,1,8:52.0,,Defensive rebound by L. Aldridge,5,6
20,1,8:48.0,,W. Matthews misses 2-pt layup from 1 ft (block by K. Faried),5,6
21,1,8:45.0,Defensive rebound by A. Afflalo,,5,6
22,1,8:42.0,A. Afflalo makes 2-pt layup at rim,,7,6
23,1,8:25.0,,Def 3 sec tech foul by A. Afflalo,7,6
24,1,8:25.0,,D. Lillard makes technical free throw,7,7
25,1,8:16.0,,N. Batum makes 2-pt jump shot from 20 ft (assist by R. Lopez),7,9
26,1,8:02.0,W. Chandler misses 3-pt jump shot from 23 ft,,7,9
27,1,8:01.0,,Defensive rebound by W. Matthews,7,9
28,1,7:51.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by L. Aldridge),7,12
29,1,7:35.0,T. Mozgov misses 2-pt jump shot from 8 ft,,7,12
30,1,7:34.0,,Defensive rebound by N. Batum,7,12
31,1,7:22.0,,W. Matthews makes 2-pt jump shot from 6 ft,7,14
32,1,7:10.0,K. Faried makes 2-pt layup from 2 ft (assist by T. Lawson),,9,14
33,1,7:10.0,Shooting foul by R. Lopez (drawn by K. Faried),,9,14
34,1,7:10.0,K. Faried makes free throw 1 of 1,,10,14
35,1,7:02.0,,Personal foul by K. Faried (drawn by D. Lillard),10,14
36,1,6:58.0,,Offensive foul by N. Batum (drawn by W. Chandler),10,14
37,1,6:58.0,,Turnover by N. Batum (offensive foul),10,14
38,1,6:42.0,T. Mozgov misses 2-pt layup from 2 ft (block by R. Lopez),,10,14
39,1,6:40.0,Offensive rebound by K. Faried,,10,14
40,1,6:40.0,K. Faried makes 2-pt layup from 1 ft,,12,14
41,1,6:22.0,,Personal foul by K. Faried (drawn by L. Aldridge),12,14
42,1,6:22.0,J. Hickson enters the game for K. Faried,,12,14
43,1,6:15.0,,R. Lopez misses 2-pt layup from 3 ft (block by T. Mozgov),12,14
44,1,6:13.0,Defensive rebound by J. Hickson,,12,14
45,1,6:05.0,J. Hickson makes 2-pt layup from 2 ft (assist by T. Lawson),,14,14
46,1,5:56.0,,Portland full timeout,14,14
47,1,5:39.0,,W. Matthews misses 3-pt jump shot from 25 ft,14,14
48,1,5:37.0,,Offensive rebound by Team,14,14
49,1,5:37.0,,C. Kaman enters the game for R. Lopez,14,14
50,1,5:30.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),14,16
51,1,5:16.0,A. Afflalo makes 2-pt layup from 1 ft (assist by J. Hickson),,16,16
52,1,5:02.0,,L. Aldridge misses 2-pt jump shot from 19 ft,16,16
53,1,5:01.0,Defensive rebound by T. Lawson,,16,16
54,1,4:54.0,W. Chandler misses 2-pt jump shot from 19 ft,,16,16
55,1,4:52.0,Offensive rebound by J. Hickson,,16,16
56,1,4:51.0,J. Hickson misses 2-pt layup from 2 ft (block by C. Kaman),,16,16
57,1,4:49.0,Offensive rebound by T. Mozgov,,16,16
58,1,4:49.0,T. Mozgov misses 2-pt tip-in from 1 ft,,16,16
59,1,4:49.0,,Defensive rebound by D. Lillard,16,16
60,1,4:37.0,,C. Kaman misses 2-pt jump shot from 3 ft,16,16
61,1,4:35.0,,Offensive rebound by L. Aldridge,16,16
62,1,4:33.0,,L. Aldridge misses 2-pt layup from 3 ft (block by T. Mozgov),16,16
63,1,4:31.0,,Offensive rebound by C. Kaman,16,16
64,1,4:29.0,,C. Kaman misses 2-pt hook shot from 1 ft,16,16
65,1,4:28.0,,Offensive rebound by D. Lillard,16,16
66,1,4:24.0,,W. Matthews misses 3-pt jump shot from 24 ft,16,16
67,1,4:23.0,,Offensive rebound by N. Batum,16,16
68,1,4:18.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),16,19
69,1,4:05.0,T. Lawson makes 2-pt layup from 2 ft,,18,19
70,1,3:56.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by L. Aldridge),18,22
71,1,3:42.0,Turnover by T. Mozgov (lost ball; steal by D. Lillard),,18,22
72,1,3:37.0,,L. Aldridge makes 2-pt dunk at rim (assist by N. Batum),18,24
73,1,3:36.0,Denver full timeout,,18,24
74,1,3:36.0,,S. Blake enters the game for D. Lillard,18,24
75,1,3:36.0,,C. McCollum enters the game for W. Matthews,18,24
76,1,3:36.0,D. Gallinari enters the game for W. Chandler,,18,24
77,1,3:36.0,J. McGee enters the game for T. Mozgov,,18,24
78,1,3:36.0,R. Foye enters the game for A. Afflalo,,18,24
79,1,3:29.0,Shooting foul by L. Aldridge (drawn by J. Hickson),,18,24
80,1,3:29.0,J. Hickson misses free throw 1 of 2,,18,24
81,1,3:29.0,Offensive rebound by Team,,18,24
82,1,3:29.0,J. Hickson makes free throw 2 of 2,,19,24
83,1,3:08.0,,C. McCollum misses 2-pt jump shot from 22 ft,19,24
84,1,3:07.0,Defensive rebound by D. Gallinari,,19,24
85,1,2:47.0,J. Hickson misses 2-pt jump shot from 3 ft (block by C. Kaman),,19,24
86,1,2:46.0,Offensive rebound by J. McGee,,19,24
87,1,2:46.0,J. McGee makes 2-pt tip-in at rim,,21,24
88,1,2:33.0,,N. Batum misses 3-pt jump shot from 24 ft,21,24
89,1,2:32.0,Defensive rebound by J. McGee,,21,24
90,1,2:27.0,Offensive foul by J. Hickson (drawn by L. Aldridge),,21,24
91,1,2:27.0,Turnover by J. Hickson (offensive foul),,21,24
92,1,2:10.0,,L. Aldridge makes 2-pt hook shot from 3 ft,21,26
93,1,2:02.0,T. Lawson makes 2-pt layup from 1 ft,,23,26
94,1,1:58.0,,Turnover by L. Aldridge (bad pass; steal by T. Lawson),23,26
95,1,1:56.0,T. Lawson makes 2-pt layup from 1 ft,,25,26
96,1,1:41.0,,L. Aldridge misses 2-pt layup from 2 ft,25,26
97,1,1:39.0,,Offensive rebound by L. Aldridge,25,26
98,1,1:35.0,,C. McCollum misses 3-pt jump shot from 24 ft,25,26
99,1,1:34.0,,Offensive rebound by N. Batum,25,26
100,1,1:34.0,,Personal foul by J. Hickson (drawn by N. Batum),25,26
101,1,1:29.0,,C. Kaman makes 2-pt jump shot from 17 ft (assist by S. Blake),25,28
102,1,1:13.0,R. Foye misses 3-pt jump shot from 24 ft,,25,28
103,1,1:12.0,,Defensive rebound by C. Kaman,25,28
104,1,1:00.0,,C. Kaman makes 2-pt layup from 1 ft,25,30
105,1,1:00.0,,Shooting foul by J. Hickson (drawn by C. Kaman),25,30
106,1,1:00.0,,W. Barton enters the game for N. Batum,25,30
107,1,1:00.0,T. Mozgov enters the game for J. Hickson,,25,30
108,1,1:00.0,,C. Kaman makes free throw 1 of 1,25,31
109,1,0:51.0,T. Lawson misses 2-pt jump shot from 3 ft (block by C. Kaman),,25,31
110,1,0:50.0,,Defensive rebound by C. Kaman,25,31
111,1,0:50.0,,Personal foul by T. Lawson (drawn by C. Kaman),25,31
112,1,0:50.0,,C. Kaman makes free throw 1 of 2,25,32
113,1,0:50.0,,C. Kaman makes free throw 2 of 2,25,33
114,1,0:36.0,Shooting foul by W. Barton (drawn by D. Gallinari),,25,33
115,1,0:36.0,D. Gallinari makes free throw 1 of 2,,26,33
116,1,0:36.0,D. Gallinari makes free throw 2 of 2,,27,33
117,1,0:16.0,,S. Blake makes 3-pt jump shot from 23 ft (assist by C. McCollum),27,36
118,1,0:00.0,T. Lawson misses 2-pt jump shot from 12 ft,,27,36
119,1,0:00.0,Offensive rebound by Team,,27,36
120,2,11:44.0,,C. Kaman misses 2-pt layup from 2 ft,27,36
121,2,11:43.0,Defensive rebound by T. Mozgov,,27,36
122,2,11:25.0,Shooting foul by W. Barton (drawn by D. Gallinari),,27,36
123,2,11:25.0,D. Gallinari makes free throw 1 of 2,,28,36
124,2,11:25.0,D. Gallinari makes free throw 2 of 2,,29,36
125,2,11:12.0,,W. Barton misses 2-pt hook shot from 5 ft,29,36
126,2,11:12.0,Defensive rebound by T. Mozgov,,29,36
127,2,10:58.0,N. Robinson misses 2-pt jump shot from 7 ft,,29,36
128,2,10:57.0,,Defensive rebound by C. Kaman,29,36
129,2,10:49.0,,D. Lillard misses 2-pt jump shot from 18 ft,29,36
130,2,10:48.0,Defensive rebound by D. Gallinari,,29,36
131,2,10:39.0,J. McGee misses 2-pt hook shot from 10 ft,,29,36
132,2,10:39.0,,Defensive rebound by T. Robinson,29,36
133,2,10:27.0,,T. Robinson misses 2-pt jump shot from 6 ft,29,36
