,QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,B. Beal misses 2-pt jump shot from 5 ft,0,0
1,1,11:42.0,Defensive rebound by D. Lillard,,0,0
2,1,11:38.0,A. Afflalo makes 2-pt layup at rim (assist by D. Lillard),,2,0
3,1,11:17.0,,N. Hilário makes 2-pt jump shot from 14 ft (assist by B. Beal),2,2
4,1,10:55.0,R. Lopez misses 2-pt jump shot from 9 ft,,2,2
5,1,10:54.0,,Defensive rebound by J. Wall,2,2
6,1,10:34.0,,N. Hilário misses 2-pt layup from 2 ft,2,2
7,1,10:33.0,,Offensive rebound by N. Hilário,2,2
8,1,10:28.0,,N. Hilário makes 2-pt hook shot from 3 ft,2,4
9,1,10:09.0,A. Afflalo misses 3-pt jump shot from 23 ft,,2,4
10,1,10:09.0,Offensive rebound by L. Aldridge,,2,4
11,1,10:03.0,Turnover by L. Aldridge (bad pass; steal by B. Beal),,2,4
12,1,9:58.0,,J. Wall misses 2-pt layup from 2 ft,2,4
13,1,9:55.0,Defensive rebound by A. Afflalo,,2,4
14,1,9:39.0,Turnover by R. Lopez (bad pass),,2,4
15,1,9:18.0,,Turnover by N. Hilário (bad pass),2,4
16,1,9:10.0,A. Afflalo misses 2-pt jump shot from 19 ft,,2,4
17,1,9:09.0,Offensive rebound by A. Afflalo,,2,4
18,1,9:03.0,L. Aldridge misses 3-pt jump shot from 26 ft,,2,4
19,1,9:02.0,,Defensive rebound by M. Gortat,2,4
20,1,8:49.0,,J. Wall makes 2-pt jump shot from 15 ft,2,6
21,1,8:28.0,N. Batum makes 2-pt jump shot from 21 ft (assist by D. Lillard),,4,6
22,1,8:17.0,,N. Hilário misses 2-pt layup from 1 ft,4,6
23,1,8:16.0,Defensive rebound by N. Batum,,4,6
24,1,8:05.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Lillard),,6,6
25,1,7:51.0,,M. Gortat misses 2-pt layup from 1 ft (block by L. Aldridge),6,6
26,1,7:50.0,Defensive rebound by D. Lillard,,6,6
27,1,7:46.0,N. Batum misses 2-pt layup at rim,,6,6
28,1,7:44.0,,Defensive rebound by P. Pierce,6,6
29,1,7:39.0,,J. Wall makes 2-pt jump shot from 16 ft (assist by B. Beal),6,8
30,1,7:24.0,Shooting foul by N. Hilário (drawn by N. Batum),,6,8
31,1,7:24.0,N. Batum makes free throw 1 of 2,,7,8
32,1,7:24.0,N. Batum makes free throw 2 of 2,,8,8
33,1,7:11.0,,M. Gortat makes 2-pt jump shot from 15 ft (assist by B. Beal),8,10
34,1,6:55.0,Personal foul by M. Gortat (drawn by L. Aldridge),,8,10
35,1,6:50.0,N. Batum misses 2-pt jump shot from 15 ft,,8,10
36,1,6:50.0,,Defensive rebound by N. Hilário,8,10
37,1,6:45.0,,J. Wall makes 2-pt layup at rim,8,12
38,1,6:45.0,,Shooting foul by A. Afflalo (drawn by J. Wall),8,12
39,1,6:45.0,,J. Wall misses free throw 1 of 1,8,12
40,1,6:44.0,Defensive rebound by N. Batum,,8,12
41,1,6:33.0,L. Aldridge misses 2-pt jump shot from 8 ft,,8,12
42,1,6:32.0,,Defensive rebound by M. Gortat,8,12
43,1,6:30.0,,Turnover by M. Gortat (bad pass),8,12
