,QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,K. Lowry misses 2-pt layup from 1 ft,,0,0
1,1,11:45.0,Offensive rebound by J. Valančiūnas,,0,0
2,1,11:45.0,J. Valančiūnas makes 2-pt tip-in from 1 ft,,2,0
3,1,11:26.0,,Turnover by R. Westbrook (bad pass; steal by T. Ross),2,0
4,1,11:17.0,T. Ross misses 2-pt jump shot from 14 ft,,2,0
5,1,11:16.0,,Defensive rebound by S. Ibaka,2,0
6,1,11:02.0,,E. Freedom makes 2-pt layup from 1 ft,2,2
7,1,10:41.0,T. Ross misses 3-pt jump shot from 25 ft,,2,2
8,1,10:40.0,,Defensive rebound by A. Roberson,2,2
9,1,10:34.0,,R. Westbrook misses 2-pt layup at rim,2,2
10,1,10:33.0,,Offensive rebound by E. Freedom,2,2
11,1,10:33.0,,E. Freedom makes 2-pt layup from 2 ft,2,4
12,1,10:24.0,Personal foul by A. Roberson (drawn by K. Lowry),,2,4
13,1,10:08.0,D. DeRozan misses 2-pt jump shot from 5 ft,,2,4
14,1,10:06.0,Offensive rebound by J. Valančiūnas,,2,4
15,1,10:05.0,J. Valančiūnas misses 2-pt hook shot from 3 ft (block by S. Ibaka),,2,4
16,1,10:03.0,,Defensive rebound by R. Westbrook,2,4
17,1,9:59.0,,R. Westbrook makes 2-pt layup from 1 ft,2,6
18,1,9:40.0,K. Lowry misses 2-pt jump shot from 20 ft,,2,6
19,1,9:39.0,Offensive rebound by T. Ross,,2,6
20,1,9:35.0,K. Lowry misses 3-pt jump shot from 25 ft,,2,6
21,1,9:35.0,,Defensive rebound by Team,2,6
22,1,9:17.0,,S. Ibaka misses 3-pt jump shot from 24 ft,2,6
23,1,9:17.0,Defensive rebound by K. Lowry,,2,6
24,1,9:05.0,T. Ross makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,5,6
25,1,8:52.0,,Turnover by R. Westbrook (bad pass; steal by T. Ross),5,6
26,1,8:33.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,5,6
27,1,8:32.0,,Defensive rebound by S. Ibaka,5,6
28,1,8:20.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by R. Westbrook),5,8
29,1,8:00.0,J. Valančiūnas makes 2-pt layup at rim (assist by K. Lowry),,7,8
30,1,7:49.0,,R. Westbrook misses 2-pt jump shot from 10 ft,7,8
31,1,7:48.0,,Offensive rebound by Team,7,8
32,1,7:39.0,,E. Freedom makes 2-pt jump shot from 14 ft (assist by R. Westbrook),7,10
33,1,7:14.0,Turnover by J. Valančiūnas (lost ball),,7,10
34,1,6:53.0,,E. Freedom makes 2-pt dunk at rim (assist by R. Westbrook),7,12
35,1,6:38.0,T. Ross makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,10,12
36,1,6:17.0,Violation by J. Valančiūnas (kicked ball),,10,12
37,1,6:12.0,,A. Roberson makes 2-pt layup from 1 ft (assist by E. Freedom),10,14
38,1,5:52.0,K. Lowry misses 2-pt jump shot from 13 ft,,10,14
39,1,5:51.0,,Defensive rebound by S. Ibaka,10,14
40,1,5:45.0,,R. Westbrook misses 2-pt jump shot from 15 ft,10,14
41,1,5:44.0,Defensive rebound by D. DeRozan,,10,14
42,1,5:31.0,D. DeRozan makes 2-pt jump shot from 13 ft,,12,14
43,1,5:13.0,,S. Ibaka misses 2-pt hook shot from 7 ft,12,14
44,1,5:12.0,,Offensive rebound by E. Freedom,12,14
45,1,5:09.0,,E. Freedom makes 2-pt layup from 2 ft,12,16
46,1,4:56.0,D. DeRozan makes 2-pt jump shot from 22 ft (assist by T. Ross),,14,16
47,1,4:39.0,,Turnover by S. Ibaka (offensive foul),14,16
48,1,4:39.0,,Offensive foul by S. Ibaka (drawn by K. Lowry),14,16
49,1,4:39.0,,Oklahoma City full timeout,14,16
50,1,4:39.0,,A. Morrow enters the game for A. Roberson,14,16
51,1,4:20.0,D. DeRozan misses 2-pt jump shot from 16 ft,,14,16
52,1,4:19.0,,Defensive rebound by E. Freedom,14,16
53,1,4:13.0,,R. Westbrook misses 2-pt jump shot from 17 ft,14,16
54,1,4:11.0,Defensive rebound by T. Ross,,14,16
55,1,3:57.0,T. Ross makes 3-pt jump shot from 22 ft (assist by K. Lowry),,17,16
56,1,3:42.0,,E. Freedom makes 2-pt hook shot from 4 ft (assist by R. Westbrook),17,18
57,1,3:42.0,,Shooting foul by J. Valančiūnas (drawn by E. Freedom),17,18
58,1,3:42.0,,D. Waiters enters the game for K. Singler,17,18
59,1,3:42.0,L. Williams enters the game for T. Ross,,17,18
60,1,3:42.0,P. Patterson enters the game for A. Johnson,,17,18
61,1,3:42.0,,E. Freedom makes free throw 1 of 1,17,19
62,1,3:27.0,J. Valančiūnas misses 2-pt jump shot from 5 ft (block by E. Freedom),,17,19
63,1,3:26.0,,Defensive rebound by E. Freedom,17,19
64,1,3:20.0,,A. Morrow misses 3-pt jump shot from 24 ft,17,19
65,1,3:19.0,,Offensive rebound by R. Westbrook,17,19
66,1,3:05.0,,S. Ibaka makes 2-pt layup at rim (assist by R. Westbrook),17,21
67,1,2:57.0,L. Williams misses 2-pt layup from 2 ft,,17,21
68,1,2:57.0,,Defensive rebound by E. Freedom,17,21
69,1,2:50.0,,Turnover by R. Westbrook (lost ball; steal by L. Williams),17,21
70,1,2:47.0,K. Lowry makes 2-pt layup at rim (assist by L. Williams),,19,21
71,1,2:29.0,,A. Morrow makes 2-pt jump shot from 14 ft (assist by R. Westbrook),19,23
72,1,2:29.0,,Shooting foul by D. DeRozan (drawn by A. Morrow),19,23
73,1,2:29.0,Toronto full timeout,,19,23
74,1,2:29.0,,N. Collison enters the game for S. Ibaka,19,23
75,1,2:29.0,G. Vásquez enters the game for J. Valančiūnas,,19,23
76,1,2:29.0,J. Johnson enters the game for K. Lowry,,19,23
77,1,2:29.0,,D. Augustin enters the game for E. Freedom,19,23
78,1,2:29.0,,A. Morrow makes free throw 1 of 1,19,24
79,1,2:18.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,22,24
80,1,1:59.0,,R. Westbrook makes 2-pt layup from 1 ft,22,26
81,1,1:42.0,G. Vásquez misses 2-pt jump shot from 11 ft,,22,26
82,1,1:41.0,Offensive rebound by G. Vásquez,,22,26
83,1,1:29.0,D. DeRozan misses 3-pt jump shot from 23 ft,,22,26
84,1,1:29.0,Offensive rebound by J. Johnson,,22,26
85,1,1:23.0,D. DeRozan makes 2-pt layup from 1 ft (assist by G. Vásquez),,24,26
86,1,1:08.0,,D. Waiters makes 2-pt layup from 1 ft,24,28
87,1,0:55.0,J. Johnson misses 2-pt jump shot from 4 ft (block by A. Morrow),,24,28
88,1,0:54.0,Offensive rebound by Team,,24,28
89,1,0:54.0,,S. Adams enters the game for R. Westbrook,24,28
90,1,0:50.0,J. Johnson misses 2-pt layup from 1 ft (block by S. Adams),,24,28
91,1,0:48.0,,Defensive rebound by D. Waiters,24,28
92,1,0:34.0,,D. Waiters misses 2-pt layup from 2 ft (block by P. Patterson),24,28
93,1,0:34.0,,Offensive rebound by Team,24,28
94,1,0:25.0,,A. Morrow makes 3-pt jump shot from 25 ft (assist by D. Augustin),24,31
95,1,0:02.0,L. Williams makes 2-pt jump shot from 17 ft,,26,31
96,1,0:00.0,,A. Morrow misses 2-pt jump shot from 22 ft,26,31
97,1,0:00.0,Defensive rebound by Team,,26,31
98,2,11:48.0,,Shooting foul by L. Williams (drawn by D. Waiters),26,31
99,2,11:48.0,,D. Waiters makes free throw 1 of 2,26,32
100,2,11:48.0,,D. Waiters makes free throw 2 of 2,26,33
101,2,11:33.0,G. Vásquez makes 3-pt jump shot from 24 ft (assist by P. Patterson),,29,33
102,2,11:22.0,,Offensive foul by A. Morrow (drawn by G. Vásquez),29,33
103,2,11:22.0,,Turnover by A. Morrow (offensive foul),29,33
104,2,11:07.0,P. Patterson misses 3-pt jump shot from 24 ft,,29,33
