,QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,A. Wiggins misses 2-pt jump shot from 15 ft,0,0
1,1,11:47.0,,Offensive rebound by A. Payne,0,0
2,1,11:37.0,,J. Hamilton makes 2-pt hook shot from 6 ft (assist by A. Wiggins),0,2
3,1,11:16.0,Shooting foul by L. Brown (drawn by D. DeRozan),,0,2
4,1,11:16.0,D. DeRozan misses free throw 1 of 2,,0,2
5,1,11:16.0,Offensive rebound by Team,,0,2
6,1,11:16.0,D. DeRozan makes free throw 2 of 2,,1,2
7,1,11:01.0,,Shooting foul by J. Valančiūnas (drawn by A. Wiggins),1,2
8,1,11:01.0,,A. Wiggins makes free throw 1 of 2,1,3
9,1,11:01.0,,A. Wiggins makes free throw 2 of 2,1,4
10,1,10:38.0,D. DeRozan misses 2-pt jump shot from 12 ft,,1,4
11,1,10:37.0,,Defensive rebound by Z. LaVine,1,4
12,1,10:27.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by L. Brown),1,7
13,1,10:13.0,A. Johnson makes 3-pt jump shot from 25 ft (assist by G. Vásquez),,4,7
14,1,9:56.0,,J. Hamilton misses 2-pt jump shot from 16 ft,4,7
15,1,9:55.0,Defensive rebound by A. Johnson,,4,7
16,1,9:41.0,T. Ross misses 3-pt jump shot from 24 ft,,4,7
17,1,9:40.0,,Defensive rebound by A. Payne,4,7
18,1,9:22.0,,A. Payne misses 2-pt jump shot from 15 ft,4,7
19,1,9:21.0,Defensive rebound by T. Ross,,4,7
20,1,9:09.0,J. Valančiūnas makes 2-pt dunk at rim (assist by A. Johnson),,6,7
21,1,8:54.0,,Z. LaVine misses 3-pt jump shot from 25 ft,6,7
22,1,8:53.0,Defensive rebound by D. DeRozan,,6,7
23,1,8:44.0,Turnover by D. DeRozan (bad pass; steal by J. Hamilton),,6,7
24,1,8:38.0,,A. Wiggins makes 2-pt dunk at rim (assist by L. Brown),6,9
25,1,8:18.0,D. DeRozan makes 2-pt layup from 1 ft (assist by A. Johnson),,8,9
26,1,8:02.0,,L. Brown makes 3-pt jump shot from 24 ft (assist by A. Wiggins),8,12
27,1,7:42.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,10,12
28,1,7:18.0,,Z. LaVine makes 2-pt jump shot from 19 ft,10,14
29,1,6:52.0,A. Johnson misses 3-pt jump shot from 24 ft,,10,14
30,1,6:51.0,,Defensive rebound by Z. LaVine,10,14
31,1,6:47.0,Offensive charge foul by Z. LaVine (drawn by A. Johnson),,10,14
32,1,6:47.0,,Turnover by Z. LaVine (offensive foul),10,14
33,1,6:45.0,Toronto full timeout,,10,14
34,1,6:45.0,Toronto full timeout,,10,14
35,1,6:31.0,Shooting foul by Z. LaVine (drawn by J. Valančiūnas),,10,14
36,1,6:31.0,J. Valančiūnas makes free throw 1 of 2,,11,14
37,1,6:31.0,,C. Budinger enters the game for Z. LaVine,11,14
38,1,6:31.0,J. Valančiūnas misses free throw 2 of 2,,11,14
39,1,6:29.0,,Defensive rebound by A. Wiggins,11,14
40,1,6:15.0,,A. Wiggins misses 2-pt jump shot from 14 ft,11,14
41,1,6:13.0,,Offensive rebound by A. Payne,11,14
42,1,6:12.0,,A. Payne makes 2-pt jump shot from 4 ft,11,16
43,1,5:58.0,A. Johnson misses 2-pt jump shot from 4 ft,,11,16
44,1,5:57.0,Offensive rebound by Team,,11,16
45,1,5:57.0,T. Hansbrough enters the game for J. Valančiūnas,,11,16
46,1,5:51.0,G. Vásquez makes 3-pt jump shot from 25 ft (assist by A. Johnson),,14,16
47,1,5:30.0,,J. Hamilton makes 2-pt dunk at rim (assist by A. Wiggins),14,18
48,1,5:08.0,T. Ross makes 3-pt jump shot from 22 ft (assist by D. DeRozan),,17,18
49,1,4:52.0,,J. Hamilton makes 2-pt jump shot from 6 ft (assist by L. Brown),17,20
50,1,4:35.0,A. Johnson makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,20,20
51,1,4:19.0,,J. Hamilton makes 2-pt layup from 2 ft (assist by A. Payne),20,22
52,1,4:19.0,,Shooting foul by A. Johnson (drawn by J. Hamilton),20,22
53,1,4:19.0,P. Patterson enters the game for A. Johnson,,20,22
54,1,4:19.0,,J. Hamilton misses free throw 1 of 1,20,22
55,1,4:18.0,Defensive rebound by T. Hansbrough,,20,22
