,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:45.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by N. Batum),,2,0
1,1,11:31.0,,R. Rubio misses 3-pt jump shot from 25 ft,2,0
2,1,11:28.0,,Offensive rebound by N. Peković,2,0
3,1,11:20.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by R. Rubio),2,3
4,1,10:55.0,A. Afflalo misses 2-pt jump shot from 5 ft (block by N. Peković),,2,3
5,1,10:54.0,Offensive rebound by Team,,2,3
6,1,10:50.0,D. Lillard misses 3-pt jump shot from 25 ft,,2,3
7,1,10:49.0,,Defensive rebound by A. Wiggins,2,3
8,1,10:40.0,,A. Wiggins misses 2-pt jump shot from 19 ft,2,3
9,1,10:39.0,Defensive rebound by D. Lillard,,2,3
10,1,10:27.0,N. Batum makes 3-pt jump shot from 22 ft (assist by D. Lillard),,5,3
11,1,10:11.0,,K. Martin misses 2-pt jump shot from 17 ft,5,3
12,1,10:10.0,Defensive rebound by L. Aldridge,,5,3
13,1,9:56.0,D. Lillard misses 3-pt jump shot from 24 ft,,5,3
14,1,9:55.0,,Defensive rebound by K. Martin,5,3
15,1,9:41.0,,K. Garnett makes 2-pt jump shot from 16 ft (assist by R. Rubio),5,5
16,1,9:26.0,N. Batum makes 3-pt jump shot from 23 ft (assist by A. Afflalo),,8,5
17,1,9:12.0,,R. Rubio misses 2-pt jump shot from 1 ft (block by R. Lopez),8,5
18,1,9:10.0,,Offensive rebound by N. Peković,8,5
19,1,9:09.0,,N. Peković makes 2-pt layup from 1 ft,8,7
20,1,8:52.0,L. Aldridge misses 2-pt jump shot from 18 ft,,8,7
21,1,8:51.0,,Defensive rebound by R. Rubio,8,7
22,1,8:41.0,,N. Peković misses 2-pt hook shot from 4 ft,8,7
23,1,8:40.0,Defensive rebound by L. Aldridge,,8,7
24,1,8:16.0,L. Aldridge makes 2-pt jump shot from 8 ft,,10,7
25,1,8:02.0,,K. Martin misses 2-pt jump shot from 10 ft,10,7
26,1,8:01.0,,Offensive rebound by N. Peković,10,7
27,1,7:54.0,,R. Rubio misses 2-pt jump shot from 19 ft,10,7
28,1,7:53.0,,Offensive rebound by N. Peković,10,7
29,1,7:52.0,,N. Peković makes 2-pt layup at rim,10,9
30,1,7:40.0,Offensive foul by A. Afflalo (drawn by K. Martin),,10,9
31,1,7:40.0,Turnover by A. Afflalo (offensive foul),,10,9
32,1,7:26.0,,A. Wiggins misses 2-pt jump shot from 4 ft,10,9
33,1,7:25.0,,Offensive rebound by N. Peković,10,9
34,1,7:24.0,,N. Peković misses 2-pt layup from 1 ft,10,9
35,1,7:22.0,Defensive rebound by R. Lopez,,10,9
36,1,7:15.0,A. Afflalo makes 2-pt jump shot from 14 ft,,12,9
37,1,7:06.0,,K. Martin misses 2-pt jump shot from 20 ft,12,9
38,1,7:04.0,Defensive rebound by N. Batum,,12,9
39,1,6:55.0,Shooting foul by R. Rubio (drawn by D. Lillard),,12,9
40,1,6:55.0,D. Lillard makes free throw 1 of 2,,13,9
41,1,6:55.0,,Minnesota full timeout,13,9
42,1,6:55.0,D. Lillard makes free throw 2 of 2,,14,9
43,1,6:42.0,,Personal foul by R. Lopez (drawn by N. Peković),14,9
44,1,6:36.0,,A. Wiggins misses 2-pt layup from 2 ft (block by R. Lopez),14,9
45,1,6:34.0,Defensive rebound by N. Batum,,14,9
46,1,6:24.0,R. Lopez misses 2-pt hook shot from 9 ft,,14,9
