,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,M. Carter-Williams makes 2-pt jump shot from 9 ft,0,2
1,1,11:25.0,C. Lee misses 2-pt jump shot from 9 ft,,0,2
2,1,11:23.0,,Defensive rebound by N. Noel,0,2
3,1,11:18.0,,Offensive foul by M. Carter-Williams (drawn by M. Conley),0,2
4,1,11:18.0,,Turnover by M. Carter-Williams (offensive foul),0,2
5,1,11:05.0,M. Conley misses 3-pt jump shot from 25 ft,,0,2
6,1,11:03.0,,Defensive rebound by N. Noel,0,2
7,1,10:55.0,,M. Carter-Williams makes 2-pt jump shot from 11 ft,0,4
8,1,10:31.0,M. Gasol makes 2-pt jump shot from 4 ft (assist by C. Lee),,2,4
9,1,10:26.0,,R. Covington misses 2-pt jump shot from 10 ft (block by T. Allen),2,4
10,1,10:24.0,,Offensive rebound by M. Carter-Williams,2,4
11,1,10:20.0,,N. Noel misses 2-pt layup from 1 ft,2,4
12,1,10:19.0,Defensive rebound by Z. Randolph,,2,4
13,1,10:11.0,M. Conley makes 2-pt jump shot from 14 ft,,4,4
14,1,9:45.0,,L. Mbah a Moute misses 3-pt jump shot from 26 ft,4,4
15,1,9:44.0,Defensive rebound by Z. Randolph,,4,4
16,1,9:32.0,M. Gasol makes 2-pt jump shot from 8 ft (assist by C. Lee),,6,4
17,1,9:32.0,Shooting foul by N. Noel (drawn by M. Gasol),,6,4
18,1,9:32.0,M. Gasol makes free throw 1 of 1,,7,4
19,1,9:08.0,,Turnover by Team (shot clock),7,4
20,1,8:56.0,C. Lee makes 2-pt jump shot from 8 ft,,9,4
21,1,8:56.0,,Philadelphia full timeout,9,4
22,1,8:37.0,,H. Thompson makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),9,7
23,1,8:16.0,M. Gasol misses 2-pt jump shot from 19 ft,,9,7
24,1,8:15.0,,Defensive rebound by M. Carter-Williams,9,7
25,1,8:05.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,9,7
26,1,8:04.0,Defensive rebound by Team,,9,7
27,1,7:57.0,Turnover by M. Conley (bad pass; steal by N. Noel),,9,7
28,1,7:54.0,,Turnover by N. Noel (lost ball),9,7
