,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BROOKLYN_ACTION,CHICAGO_SCORE,BROOKLYN_SCORE
0,1,11:37.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. Rose),,2,0
1,1,11:19.0,,M. Brown misses 2-pt jump shot from 19 ft,2,0
2,1,11:18.0,,Offensive rebound by B. Lopez,2,0
3,1,11:17.0,,Shooting foul by P. Gasol (drawn by B. Lopez),2,0
4,1,11:17.0,,B. Lopez makes free throw 1 of 2,2,1
5,1,11:17.0,,B. Lopez makes free throw 2 of 2,2,2
6,1,11:05.0,P. Gasol misses 2-pt jump shot from 18 ft,,2,2
7,1,11:04.0,,Defensive rebound by D. Williams,2,2
8,1,10:41.0,,T. Young misses 2-pt jump shot from 13 ft,2,2
9,1,10:40.0,Defensive rebound by P. Gasol,,2,2
10,1,10:35.0,D. Rose makes 2-pt layup from 2 ft,,4,2
11,1,10:23.0,,B. Lopez misses 2-pt jump shot from 16 ft,4,2
12,1,10:22.0,Defensive rebound by M. Dunleavy,,4,2
13,1,10:15.0,D. Rose misses 2-pt jump shot from 22 ft,,4,2
14,1,10:14.0,,Defensive rebound by M. Brown,4,2
15,1,10:06.0,,M. Brown makes 2-pt layup from 1 ft,4,4
16,1,9:57.0,Personal foul by J. Johnson (drawn by T. Gibson),,4,4
17,1,9:51.0,Turnover by D. Rose (bad pass; steal by T. Young),,4,4
18,1,9:48.0,,Shooting foul by M. Dunleavy (drawn by M. Brown),4,4
19,1,9:48.0,,M. Brown makes free throw 1 of 2,4,5
20,1,9:48.0,,M. Brown makes free throw 2 of 2,4,6
21,1,9:35.0,D. Rose misses 2-pt layup from 1 ft,,4,6
22,1,9:34.0,,Defensive rebound by T. Young,4,6
23,1,9:23.0,,D. Williams misses 2-pt jump shot from 7 ft,4,6
24,1,9:22.0,Defensive rebound by D. Rose,,4,6
25,1,9:00.0,T. Gibson misses 2-pt jump shot from 16 ft,,4,6
26,1,8:58.0,,Defensive rebound by B. Lopez,4,6
27,1,8:49.0,,M. Brown misses 3-pt jump shot from 25 ft,4,6
28,1,8:48.0,Defensive rebound by J. Butler,,4,6
29,1,8:29.0,T. Gibson makes 2-pt layup from 2 ft,,6,6
30,1,8:10.0,,B. Lopez makes 2-pt jump shot from 16 ft,6,8
31,1,7:59.0,P. Gasol misses 2-pt hook shot from 5 ft,,6,8
32,1,7:58.0,,Defensive rebound by D. Williams,6,8
33,1,7:47.0,,M. Brown misses 2-pt layup from 1 ft (block by P. Gasol),6,8
34,1,7:46.0,Defensive rebound by J. Butler,,6,8
35,1,7:30.0,P. Gasol misses 2-pt jump shot from 13 ft,,6,8
36,1,7:29.0,,Defensive rebound by T. Young,6,8
37,1,7:18.0,,T. Young makes 2-pt layup from 1 ft,6,10
38,1,6:59.0,J. Butler misses 3-pt jump shot from 24 ft,,6,10
39,1,6:58.0,,Defensive rebound by M. Brown,6,10
40,1,6:48.0,,M. Brown makes 2-pt hook shot from 5 ft,6,12
41,1,6:25.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,6,12
42,1,6:24.0,,Defensive rebound by T. Young,6,12
43,1,6:15.0,,D. Williams misses 2-pt jump shot from 4 ft,6,12
44,1,6:14.0,Defensive rebound by P. Gasol,,6,12
45,1,6:09.0,D. Rose misses 2-pt layup from 1 ft,,6,12
46,1,6:08.0,Offensive rebound by M. Dunleavy,,6,12
47,1,6:06.0,M. Dunleavy misses 2-pt layup from 1 ft,,6,12
48,1,6:04.0,Offensive rebound by M. Dunleavy,,6,12
49,1,5:54.0,P. Gasol makes 2-pt layup from 1 ft,,8,12
50,1,5:35.0,,M. Brown misses 2-pt jump shot from 12 ft,8,12
51,1,5:34.0,Defensive rebound by J. Butler,,8,12
52,1,5:26.0,Def 3 sec tech foul by B. Lopez,,8,12
53,1,5:26.0,,Brooklyn full timeout,8,12
54,1,5:26.0,J. Butler misses technical free throw,,8,12
55,1,5:26.0,Offensive rebound by Team,,8,12
56,1,5:15.0,P. Gasol misses 2-pt jump shot from 6 ft (block by B. Lopez),,8,12
57,1,5:14.0,,Defensive rebound by B. Lopez,8,12
58,1,4:59.0,,Turnover by J. Johnson (bad pass; steal by M. Dunleavy),8,12
59,1,4:53.0,J. Butler makes 2-pt layup from 1 ft (assist by D. Rose),,10,12
60,1,4:38.0,,B. Lopez misses 2-pt jump shot from 20 ft,10,12
61,1,4:37.0,Defensive rebound by T. Gibson,,10,12
62,1,4:19.0,J. Butler makes 3-pt jump shot from 23 ft,,13,12
63,1,4:06.0,,D. Williams misses 2-pt jump shot from 14 ft,13,12
64,1,4:05.0,Defensive rebound by J. Butler,,13,12
65,1,3:53.0,P. Gasol misses 2-pt layup from 2 ft,,13,12
66,1,3:52.0,Offensive rebound by P. Gasol,,13,12
67,1,3:50.0,Personal foul by T. Young (drawn by P. Gasol),,13,12
68,1,3:50.0,,B. Bogdanović enters the game for M. Brown,13,12
69,1,3:50.0,N. Mirotić enters the game for T. Gibson,,13,12
70,1,3:50.0,A. Brooks enters the game for D. Rose,,13,12
71,1,3:44.0,P. Gasol misses 2-pt jump shot from 18 ft,,13,12
72,1,3:43.0,,Defensive rebound by B. Lopez,13,12
73,1,3:20.0,,J. Johnson makes 2-pt jump shot from 5 ft,13,14
74,1,2:56.0,A. Brooks makes 3-pt jump shot from 23 ft (assist by M. Dunleavy),,16,14
75,1,2:35.0,,J. Johnson misses 3-pt jump shot from 25 ft,16,14
76,1,2:34.0,,Offensive rebound by T. Young,16,14
77,1,2:32.0,,T. Young misses 2-pt layup from 2 ft,16,14
78,1,2:31.0,Defensive rebound by P. Gasol,,16,14
79,1,2:17.0,N. Mirotić makes 2-pt layup from 2 ft (assist by J. Butler),,18,14
