,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
0,1,11:46.0,Turnover by K. Leonard (lost ball),,0,0
1,1,11:36.0,,Turnover by T. Burke (bad pass; steal by K. Leonard),0,0
2,1,11:30.0,M. Bonner makes 2-pt jump shot from 10 ft (assist by K. Leonard),,2,0
3,1,11:09.0,,E. Freedom makes 2-pt jump shot from 18 ft (assist by G. Hayward),2,2
4,1,10:55.0,C. Joseph misses 2-pt jump shot from 10 ft,,2,2
5,1,10:49.0,,Defensive rebound by A. Burks,2,2
6,1,10:40.0,,D. Favors misses 2-pt jump shot from 15 ft,2,2
7,1,10:38.0,Defensive rebound by T. Duncan,,2,2
8,1,10:30.0,D. Green makes 3-pt jump shot from 25 ft (assist by T. Duncan),,5,2
9,1,10:04.0,,T. Burke misses 2-pt jump shot from 16 ft (block by C. Joseph),5,2
10,1,10:02.0,Defensive rebound by M. Bonner,,5,2
11,1,9:54.0,M. Bonner misses 2-pt jump shot from 6 ft,,5,2
12,1,9:52.0,,Defensive rebound by E. Freedom,5,2
13,1,9:38.0,,A. Burks misses 2-pt jump shot from 10 ft,5,2
14,1,9:36.0,Defensive rebound by D. Green,,5,2
15,1,9:31.0,Turnover by T. Duncan (traveling),,5,2
16,1,9:18.0,,T. Burke makes 2-pt jump shot from 18 ft,5,4
17,1,8:55.0,K. Leonard misses 2-pt jump shot from 18 ft,,5,4
18,1,8:54.0,,Defensive rebound by D. Favors,5,4
19,1,8:38.0,,A. Burks misses 3-pt jump shot from 24 ft,5,4
20,1,8:36.0,Defensive rebound by T. Duncan,,5,4
21,1,8:29.0,Personal foul by G. Hayward (drawn by K. Leonard),,5,4
22,1,8:17.0,K. Leonard misses 2-pt jump shot from 5 ft,,5,4
23,1,8:16.0,,Defensive rebound by A. Burks,5,4
24,1,8:04.0,,E. Freedom makes 2-pt jump shot from 8 ft,5,6
25,1,7:43.0,C. Joseph misses 2-pt layup from 2 ft,,5,6
26,1,7:42.0,Offensive rebound by T. Duncan,,5,6
27,1,7:42.0,T. Duncan makes 2-pt tip-in from 2 ft,,7,6
28,1,7:30.0,,Turnover by G. Hayward (traveling),7,6
