,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DETROIT_ACTION,ORLANDO_SCORE,DETROIT_SCORE
0,1,11:43.0,Turnover by N. Vučević (bad pass; steal by K. Caldwell-Pope),,0,0
1,1,11:33.0,,G. Monroe makes 2-pt layup from 1 ft (assist by B. Jennings),0,2
2,1,11:25.0,N. Vučević misses 3-pt jump shot from 28 ft,,0,2
3,1,11:23.0,,Defensive rebound by A. Drummond,0,2
4,1,11:08.0,,Turnover by K. Singler (lost ball; steal by E. Payton),0,2
5,1,11:02.0,E. Payton makes 2-pt layup at rim,,2,2
6,1,10:50.0,,K. Singler makes 3-pt jump shot from 26 ft (assist by B. Jennings),2,5
7,1,10:32.0,E. Payton misses 2-pt jump shot from 4 ft,,2,5
8,1,10:31.0,,Defensive rebound by A. Drummond,2,5
9,1,10:31.0,,Turnover by A. Drummond (lost ball; steal by E. Payton),2,5
10,1,10:31.0,Personal foul by A. Drummond (drawn by E. Payton),,2,5
11,1,10:26.0,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo),,2,5
12,1,10:26.0,V. Oladipo makes free throw 1 of 2,,3,5
13,1,10:26.0,V. Oladipo makes free throw 2 of 2,,4,5
14,1,10:13.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by B. Jennings),4,7
15,1,10:02.0,E. Payton makes 2-pt layup at rim (assist by V. Oladipo),,6,7
16,1,9:45.0,,K. Caldwell-Pope makes 2-pt jump shot from 9 ft (assist by B. Jennings),6,9
17,1,9:37.0,N. Vučević misses 2-pt jump shot from 10 ft,,6,9
18,1,9:36.0,,Defensive rebound by G. Monroe,6,9
19,1,9:26.0,,B. Jennings misses 3-pt jump shot from 23 ft,6,9
20,1,9:25.0,Defensive rebound by V. Oladipo,,6,9
21,1,9:10.0,Turnover by N. Vučević (lost ball; steal by A. Drummond),,6,9
22,1,9:03.0,,G. Monroe makes 2-pt layup at rim (assist by B. Jennings),6,11
23,1,8:47.0,V. Oladipo misses 2-pt layup at rim,,6,11
24,1,8:46.0,,Defensive rebound by A. Drummond,6,11
25,1,8:36.0,,Personal foul by C. Frye (drawn by G. Monroe),6,11
26,1,8:25.0,,K. Singler makes 3-pt jump shot from 25 ft (assist by G. Monroe),6,14
27,1,8:11.0,V. Oladipo makes 2-pt jump shot from 15 ft,,8,14
28,1,7:50.0,,A. Drummond misses 2-pt hook shot from 7 ft,8,14
29,1,7:49.0,,Offensive rebound by G. Monroe,8,14
30,1,7:43.0,,G. Monroe makes 2-pt layup at rim (assist by A. Drummond),8,16
31,1,7:31.0,N. Vučević misses 2-pt hook shot from 6 ft,,8,16
32,1,7:29.0,,Defensive rebound by A. Drummond,8,16
33,1,7:23.0,,Turnover by G. Monroe (lost ball),8,16
34,1,7:09.0,Turnover by D. Marble (traveling),,8,16
35,1,7:09.0,,C. Butler enters the game for K. Singler,8,16
36,1,6:57.0,,G. Monroe makes 2-pt dunk at rim (assist by B. Jennings),8,18
37,1,6:40.0,E. Payton makes 2-pt jump shot from 6 ft,,10,18
38,1,6:25.0,,B. Jennings makes 3-pt jump shot from 25 ft,10,21
39,1,6:17.0,Personal foul by C. Butler (drawn by D. Marble),,10,21
40,1,6:17.0,B. Gordon enters the game for D. Marble,,10,21
41,1,6:04.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by B. Gordon),,12,21
42,1,5:39.0,,B. Jennings misses 2-pt jump shot from 7 ft,12,21
43,1,5:38.0,,Offensive rebound by A. Drummond,12,21
44,1,5:38.0,,Shooting foul by N. Vučević (drawn by A. Drummond),12,21
45,1,5:38.0,,Detroit full timeout,12,21
46,1,5:38.0,A. Gordon enters the game for V. Oladipo,,12,21
47,1,5:38.0,,A. Drummond misses free throw 1 of 2,12,21
48,1,5:38.0,,Offensive rebound by Team,12,21
49,1,5:38.0,,A. Drummond makes free throw 2 of 2,12,22
50,1,5:27.0,B. Gordon misses 2-pt jump shot from 19 ft,,12,22
51,1,5:26.0,,Defensive rebound by A. Drummond,12,22
52,1,5:18.0,,B. Jennings makes 2-pt layup at rim,12,24
53,1,5:08.0,N. Vučević misses 2-pt jump shot from 20 ft,,12,24
54,1,5:07.0,,Defensive rebound by G. Monroe,12,24
55,1,4:56.0,,B. Jennings makes 2-pt layup at rim (assist by G. Monroe),12,26
56,1,4:42.0,B. Gordon misses 2-pt jump shot from 18 ft,,12,26
57,1,4:41.0,Offensive rebound by A. Gordon,,12,26
58,1,4:39.0,A. Gordon makes 2-pt tip-in at rim,,14,26
59,1,4:22.0,,B. Jennings makes 2-pt layup at rim,14,28
60,1,4:08.0,E. Payton misses 2-pt jump shot from 3 ft (block by A. Drummond),,14,28
61,1,4:06.0,Offensive rebound by E. Payton,,14,28
62,1,4:02.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by E. Payton),,16,28
63,1,3:46.0,,B. Jennings misses 3-pt jump shot from 27 ft,16,28
64,1,3:45.0,Defensive rebound by C. Frye,,16,28
65,1,3:36.0,N. Vučević makes 2-pt layup from 1 ft (assist by B. Gordon),,18,28
66,1,3:19.0,,G. Monroe misses 2-pt hook shot from 3 ft,18,28
67,1,3:18.0,Defensive rebound by A. Gordon,,18,28
68,1,3:10.0,Turnover by B. Gordon (bad pass; steal by K. Caldwell-Pope),,18,28
69,1,3:07.0,,G. Monroe makes 2-pt layup at rim (assist by B. Jennings),18,30
70,1,3:02.0,Orlando full timeout,,18,30
71,1,3:02.0,T. Harris enters the game for C. Frye,,18,30
72,1,3:02.0,L. Ridnour enters the game for E. Payton,,18,30
73,1,3:02.0,,J. Meeks enters the game for A. Drummond,18,30
74,1,3:02.0,,A. Tolliver enters the game for K. Caldwell-Pope,18,30
