,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:43.0,,D. West misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,Defensive rebound by V. Oladipo,,0,0
2,1,11:24.0,T. Harris misses 2-pt layup from 1 ft (block by R. Hibbert),,0,0
3,1,11:23.0,Offensive rebound by D. Dedmon,,0,0
4,1,11:21.0,D. Dedmon makes 2-pt layup from 1 ft,,2,0
5,1,11:03.0,,R. Hibbert makes 2-pt hook shot from 4 ft (assist by D. Rudež),2,2
6,1,10:49.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by V. Oladipo),,4,2
7,1,10:33.0,,D. West makes 2-pt jump shot from 16 ft (assist by R. Hibbert),4,4
8,1,10:15.0,D. Dedmon makes 2-pt layup at rim (assist by E. Payton),,6,4
9,1,9:54.0,,G. Hill misses 3-pt jump shot from 27 ft,6,4
10,1,9:53.0,Defensive rebound by N. Vučević,,6,4
11,1,9:45.0,V. Oladipo makes 2-pt jump shot from 16 ft,,8,4
12,1,9:24.0,,G. Hill misses 2-pt jump shot from 11 ft (block by D. Dedmon),8,4
13,1,9:22.0,,Offensive rebound by R. Hibbert,8,4
14,1,9:22.0,,Personal foul by D. Dedmon (drawn by R. Hibbert),8,4
15,1,9:12.0,,S. Hill makes 2-pt dunk at rim (assist by G. Hill),8,6
16,1,8:56.0,E. Payton misses 2-pt layup at rim,,8,6
17,1,8:55.0,Offensive rebound by D. Dedmon,,8,6
18,1,8:55.0,D. Dedmon makes 2-pt tip-in at rim,,10,6
19,1,8:47.0,,D. Rudež makes 3-pt jump shot from 23 ft (assist by S. Hill),10,9
20,1,8:33.0,Turnover by V. Oladipo (bad pass; steal by D. West),,10,9
21,1,8:19.0,,D. West misses 2-pt jump shot from 18 ft,10,9
22,1,8:17.0,Defensive rebound by D. Dedmon,,10,9
23,1,8:08.0,V. Oladipo misses 2-pt layup from 2 ft,,10,9
24,1,8:07.0,Offensive rebound by Team,,10,9
25,1,8:00.0,V. Oladipo makes 2-pt jump shot from 11 ft (assist by E. Payton),,12,9
26,1,7:42.0,,S. Hill misses 3-pt jump shot from 24 ft,12,9
27,1,7:41.0,Defensive rebound by D. Dedmon,,12,9
28,1,7:32.0,Turnover by E. Payton (bad pass; steal by G. Hill),,12,9
29,1,7:22.0,,Turnover by S. Hill (bad pass; steal by V. Oladipo),12,9
30,1,7:15.0,T. Harris makes 2-pt jump shot from 10 ft,,14,9
31,1,6:52.0,,D. Rudež misses 3-pt jump shot from 23 ft,14,9
32,1,6:51.0,Defensive rebound by N. Vučević,,14,9
33,1,6:44.0,Personal foul by G. Hill (drawn by N. Vučević),,14,9
34,1,6:32.0,N. Vučević misses 2-pt jump shot from 9 ft,,14,9
35,1,6:31.0,,Defensive rebound by D. West,14,9
36,1,6:19.0,,Turnover by D. Rudež (step out of bounds),14,9
37,1,6:07.0,T. Harris makes 2-pt jump shot from 8 ft,,16,9
38,1,6:07.0,,Indiana full timeout,16,9
39,1,6:07.0,,R. Stuckey enters the game for D. Rudež,16,9
40,1,5:55.0,,Personal foul by D. Dedmon (drawn by D. West),16,9
41,1,5:55.0,C. Frye enters the game for D. Dedmon,,16,9
42,1,5:41.0,,R. Stuckey makes 3-pt jump shot from 25 ft,16,12
43,1,5:18.0,V. Oladipo misses 2-pt layup from 1 ft (block by R. Stuckey),,16,12
44,1,5:18.0,Offensive rebound by Team,,16,12
45,1,5:18.0,,I. Mahinmi enters the game for R. Hibbert,16,12
46,1,5:13.0,N. Vučević misses 2-pt jump shot from 3 ft,,16,12
47,1,5:12.0,Offensive rebound by T. Harris,,16,12
48,1,5:12.0,Shooting foul by S. Hill (drawn by T. Harris),,16,12
49,1,5:12.0,T. Harris makes free throw 1 of 2,,17,12
50,1,5:12.0,T. Harris makes free throw 2 of 2,,18,12
51,1,4:50.0,,R. Stuckey makes 2-pt jump shot from 17 ft,18,14
52,1,4:39.0,C. Frye makes 3-pt jump shot from 26 ft,,21,14
53,1,4:27.0,Violation by V. Oladipo (kicked ball),,21,14
54,1,4:21.0,,Shooting foul by C. Frye (drawn by G. Hill),21,14
55,1,4:21.0,,G. Hill makes free throw 1 of 2,21,15
56,1,4:21.0,,G. Hill misses free throw 2 of 2,21,15
57,1,4:21.0,Defensive rebound by T. Harris,,21,15
58,1,4:06.0,V. Oladipo misses 2-pt jump shot from 6 ft,,21,15
59,1,4:05.0,,Defensive rebound by I. Mahinmi,21,15
60,1,3:53.0,,R. Stuckey makes 3-pt jump shot from 27 ft (assist by G. Hill),21,18
61,1,3:36.0,Turnover by T. Harris (bad pass),,21,18
62,1,3:21.0,,G. Hill misses 3-pt jump shot from 24 ft,21,18
63,1,3:20.0,Defensive rebound by T. Harris,,21,18
64,1,3:11.0,T. Harris makes 2-pt jump shot from 6 ft,,23,18
65,1,2:51.0,,Turnover by G. Hill (bad pass; steal by E. Payton),23,18
66,1,2:42.0,Shooting foul by I. Mahinmi (drawn by N. Vučević),,23,18
67,1,2:42.0,Orlando full timeout,,23,18
68,1,2:42.0,A. Gordon enters the game for T. Harris,,23,18
69,1,2:42.0,,C. Watson enters the game for G. Hill,23,18
70,1,2:42.0,N. Vučević makes free throw 1 of 2,,24,18
71,1,2:42.0,N. Vučević misses free throw 2 of 2,,24,18
72,1,2:42.0,,Defensive rebound by D. West,24,18
73,1,2:30.0,,Turnover by D. West (bad pass; steal by V. Oladipo),24,18
74,1,2:27.0,V. Oladipo makes 2-pt dunk at rim,,26,18
75,1,1:58.0,,S. Hill misses 3-pt jump shot from 25 ft,26,18
76,1,1:57.0,Defensive rebound by V. Oladipo,,26,18
77,1,1:42.0,E. Payton misses 2-pt layup from 1 ft,,26,18
78,1,1:41.0,,Defensive rebound by I. Mahinmi,26,18
79,1,1:33.0,,R. Stuckey makes 2-pt jump shot from 13 ft (assist by C. Watson),26,20
80,1,1:27.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,28,20
81,1,1:11.0,,R. Stuckey makes 3-pt jump shot from 26 ft (assist by C. Watson),28,23
82,1,0:57.0,C. Frye misses 3-pt jump shot from 26 ft,,28,23
83,1,0:55.0,,Defensive rebound by I. Mahinmi,28,23
84,1,0:53.0,,Personal foul by V. Oladipo (drawn by R. Stuckey),28,23
85,1,0:53.0,A. Nicholson enters the game for N. Vučević,,28,23
86,1,0:53.0,,L. Scola enters the game for D. West,28,23
87,1,0:36.0,,R. Stuckey makes 2-pt jump shot from 19 ft (assist by I. Mahinmi),28,25
88,1,0:36.0,,Shooting foul by V. Oladipo (drawn by R. Stuckey),28,25
89,1,0:36.0,W. Green enters the game for V. Oladipo,,28,25
90,1,0:36.0,,R. Stuckey makes free throw 1 of 1,28,26
91,1,0:26.0,E. Payton misses 2-pt jump shot from 10 ft,,28,26
92,1,0:24.0,Offensive rebound by A. Nicholson,,28,26
93,1,0:24.0,A. Nicholson misses 2-pt tip-in at rim,,28,26
94,1,0:23.0,,Defensive rebound by L. Scola,28,26
