,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MIAMI_ACTION,MEMPHIS_SCORE,MIAMI_SCORE
0,1,11:44.0,M. Conley makes 2-pt layup from 2 ft (assist by M. Gasol),,2,0
1,1,11:28.0,,L. Deng misses 2-pt jump shot from 18 ft,2,0
2,1,11:27.0,Defensive rebound by M. Gasol,,2,0
3,1,11:09.0,C. Lee makes 2-pt jump shot from 20 ft (assist by T. Allen),,4,0
4,1,10:48.0,,Turnover by L. Deng (lost ball; steal by J. Leuer),4,0
5,1,10:44.0,Turnover by J. Leuer (bad pass; steal by D. Wade),,4,0
6,1,10:25.0,,M. Chalmers misses 3-pt jump shot from 24 ft,4,0
7,1,10:24.0,Defensive rebound by M. Gasol,,4,0
8,1,10:14.0,M. Gasol misses 2-pt jump shot from 17 ft,,4,0
9,1,10:13.0,,Defensive rebound by M. Chalmers,4,0
10,1,10:09.0,,C. Andersen makes 2-pt dunk at rim (assist by L. Deng),4,2
11,1,9:44.0,M. Conley makes 2-pt jump shot from 22 ft (assist by M. Gasol),,6,2
12,1,9:28.0,,S. Williams misses 2-pt jump shot from 19 ft,6,2
13,1,9:27.0,Defensive rebound by M. Gasol,,6,2
14,1,9:20.0,M. Conley makes 3-pt jump shot from 24 ft,,9,2
15,1,8:59.0,,S. Williams makes 2-pt layup from 1 ft (assist by D. Wade),9,4
16,1,8:37.0,M. Gasol makes 2-pt layup from 1 ft,,11,4
17,1,8:20.0,,Turnover by S. Williams (bad pass),11,4
18,1,8:08.0,M. Conley misses 2-pt jump shot from 20 ft,,11,4
19,1,8:07.0,Offensive rebound by Team,,11,4
20,1,7:50.0,J. Leuer misses 2-pt jump shot from 17 ft,,11,4
21,1,7:49.0,,Defensive rebound by D. Wade,11,4
22,1,7:39.0,,Turnover by C. Andersen (lost ball; steal by M. Conley),11,4
23,1,7:35.0,C. Lee makes 2-pt layup from 1 ft,,13,4
24,1,7:35.0,,Miami full timeout,13,4
25,1,7:25.0,,Personal foul by J. Leuer (drawn by L. Deng),13,4
26,1,7:12.0,,D. Wade makes 2-pt jump shot from 16 ft,13,6
27,1,6:59.0,T. Allen misses 2-pt jump shot from 3 ft (block by D. Wade),,13,6
28,1,6:58.0,Offensive rebound by Team,,13,6
29,1,6:58.0,,N. Cole enters the game for M. Chalmers,13,6
30,1,6:56.0,Turnover by T. Allen (bad pass; steal by N. Cole),,13,6
31,1,6:40.0,,N. Cole misses 3-pt jump shot from 24 ft,13,6
32,1,6:39.0,Defensive rebound by Team,,13,6
33,1,6:39.0,,Loose ball foul by S. Williams (drawn by M. Gasol),13,6
34,1,6:21.0,Turnover by M. Conley (bad pass; steal by L. Deng),,13,6
35,1,6:16.0,,L. Deng makes 2-pt layup from 1 ft,13,8
36,1,6:00.0,Turnover by C. Lee (lost ball),,13,8
37,1,5:43.0,,L. Deng misses 2-pt jump shot from 7 ft,13,8
38,1,5:42.0,Defensive rebound by C. Lee,,13,8
39,1,5:36.0,J. Leuer makes 2-pt dunk at rim (assist by M. Conley),,15,8
40,1,5:26.0,,Personal foul by T. Allen (drawn by D. Wade),15,8
41,1,5:26.0,,H. Whiteside enters the game for C. Andersen,15,8
42,1,5:14.0,,L. Deng makes 2-pt dunk at rim,15,10
43,1,4:49.0,Shooting foul by S. Williams (drawn by J. Leuer),,15,10
44,1,4:49.0,J. Leuer makes free throw 1 of 2,,16,10
45,1,4:49.0,K. Koufos enters the game for M. Gasol,,16,10
46,1,4:49.0,,D. Granger enters the game for S. Williams,16,10
47,1,4:49.0,J. Leuer misses free throw 2 of 2,,16,10
48,1,4:48.0,Offensive rebound by J. Leuer,,16,10
49,1,4:26.0,J. Leuer misses 2-pt jump shot from 7 ft,,16,10
50,1,4:25.0,Offensive rebound by K. Koufos,,16,10
51,1,4:24.0,K. Koufos misses 2-pt tip-in at rim,,16,10
52,1,4:22.0,,Defensive rebound by N. Cole,16,10
53,1,4:17.0,,Turnover by N. Cole (lost ball; steal by T. Allen),16,10
54,1,4:12.0,M. Conley makes 3-pt jump shot from 24 ft (assist by T. Allen),,19,10
55,1,3:50.0,,D. Wade misses 2-pt jump shot from 19 ft,19,10
56,1,3:49.0,Defensive rebound by K. Koufos,,19,10
57,1,3:37.0,K. Koufos makes 2-pt jump shot from 12 ft (assist by J. Leuer),,21,10
58,1,3:12.0,,N. Cole misses 2-pt layup from 1 ft,21,10
59,1,3:11.0,Defensive rebound by M. Conley,,21,10
60,1,3:07.0,T. Allen misses 2-pt layup at rim,,21,10
61,1,3:06.0,Offensive rebound by J. Leuer,,21,10
62,1,3:05.0,J. Leuer makes 2-pt tip-in from 1 ft,,23,10
63,1,3:05.0,,Miami full timeout,23,10
64,1,3:05.0,T. Prince enters the game for J. Leuer,,23,10
65,1,3:05.0,,M. Chalmers enters the game for D. Wade,23,10
66,1,2:39.0,,N. Cole misses 2-pt jump shot from 5 ft,23,10
67,1,2:38.0,,Offensive rebound by Team,23,10
68,1,2:37.0,Memphis full timeout,,23,10
69,1,2:37.0,V. Carter enters the game for T. Allen,,23,10
70,1,2:21.0,,D. Granger makes 3-pt jump shot from 23 ft (assist by M. Chalmers),23,13
71,1,2:05.0,T. Prince makes 2-pt jump shot from 13 ft (assist by C. Lee),,25,13
72,1,1:38.0,,Turnover by Team (shot clock),25,13
73,1,1:38.0,B. Udrih enters the game for M. Conley,,25,13
74,1,1:18.0,V. Carter misses 2-pt jump shot from 18 ft,,25,13
75,1,1:17.0,,Defensive rebound by N. Cole,25,13
76,1,1:03.0,,H. Whiteside misses 2-pt jump shot from 8 ft,25,13
77,1,1:02.0,,Offensive rebound by D. Granger,25,13
78,1,1:02.0,,Shooting foul by K. Koufos (drawn by H. Whiteside),25,13
79,1,1:02.0,,H. Whiteside misses free throw 1 of 2,25,13
80,1,1:02.0,,Offensive rebound by Team,25,13
81,1,1:02.0,Q. Pondexter enters the game for C. Lee,,25,13
82,1,1:02.0,,H. Whiteside makes free throw 2 of 2,25,14
83,1,0:47.0,K. Koufos makes 2-pt jump shot from 6 ft (assist by Q. Pondexter),,27,14
84,1,0:32.0,,Turnover by L. Deng (bad pass; steal by V. Carter),27,14
85,1,0:08.0,B. Udrih misses 2-pt jump shot from 13 ft,,27,14
86,1,0:07.0,,Defensive rebound by L. Deng,27,14
87,1,0:01.0,,N. Cole makes 2-pt layup at rim,27,16
88,2,11:50.0,,Personal foul by Q. Pondexter (drawn by D. Wade),27,16
89,2,11:41.0,,Turnover by N. Cole (traveling),27,16
90,2,11:25.0,B. Udrih makes 2-pt jump shot from 20 ft (assist by T. Prince),,29,16
91,2,11:01.0,,D. Granger makes 2-pt jump shot from 8 ft,29,18
92,2,10:45.0,B. Udrih makes 2-pt jump shot from 18 ft,,31,18
93,2,10:26.0,,D. Wade makes 3-pt jump shot from 24 ft,31,21
94,2,10:14.0,V. Carter misses 3-pt jump shot from 24 ft,,31,21
95,2,10:13.0,,Defensive rebound by H. Whiteside,31,21
96,2,10:05.0,,Shooting foul by T. Prince (drawn by H. Whiteside),31,21
97,2,10:05.0,,H. Whiteside makes free throw 1 of 2,31,22
98,2,10:05.0,,H. Whiteside misses free throw 2 of 2,31,22
99,2,10:04.0,Defensive rebound by K. Koufos,,31,22
100,2,9:49.0,Turnover by K. Koufos (lost ball; steal by M. Chalmers),,31,22
101,2,9:45.0,,Personal foul by K. Koufos (drawn by H. Whiteside),31,22
102,2,9:45.0,,U. Haslem enters the game for H. Whiteside,31,22
103,2,9:45.0,M. Gasol enters the game for K. Koufos,,31,22
104,2,9:34.0,,Turnover by U. Haslem (lost ball; steal by B. Udrih),31,22
105,2,9:29.0,T. Prince makes 2-pt layup from 1 ft (assist by B. Udrih),,33,22
106,2,9:10.0,,D. Wade makes 2-pt jump shot from 17 ft,33,24
107,2,8:57.0,Q. Pondexter misses 2-pt layup from 1 ft (block by D. Wade),,33,24
108,2,8:56.0,Offensive rebound by Team,,33,24
109,2,8:56.0,Official timeout,,33,24
110,2,8:56.0,J. Leuer enters the game for Q. Pondexter,,33,24
111,2,8:45.0,T. Prince misses 2-pt jump shot from 18 ft,,33,24
