,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA LAKERS_ACTION,INDIANA_SCORE,LA LAKERS_SCORE
0,1,11:42.0,R. Hibbert misses 2-pt hook shot from 3 ft,,0,0
1,1,11:40.0,,Defensive rebound by K. Bryant,0,0
2,1,11:27.0,,J. Hill misses 2-pt jump shot from 5 ft,0,0
3,1,11:26.0,Defensive rebound by D. Sloan,,0,0
4,1,11:12.0,S. Hill misses 2-pt layup from 1 ft (block by J. Hill),,0,0
5,1,11:11.0,Offensive rebound by Team,,0,0
6,1,11:02.0,D. West misses 2-pt jump shot from 12 ft,,0,0
7,1,11:00.0,,Defensive rebound by K. Bryant,0,0
8,1,10:51.0,,J. Hill makes 2-pt layup from 1 ft (assist by K. Bryant),0,2
9,1,10:35.0,Turnover by D. West (bad pass; steal by K. Bryant),,0,2
10,1,10:21.0,,W. Johnson misses 3-pt jump shot from 22 ft,0,2
11,1,10:20.0,Defensive rebound by S. Hill,,0,2
12,1,10:09.0,R. Stuckey misses 2-pt jump shot from 11 ft,,0,2
13,1,10:04.0,,Defensive rebound by K. Bryant,0,2
14,1,10:00.0,,K. Bryant makes 2-pt jump shot from 3 ft,0,4
15,1,9:41.0,R. Hibbert makes 2-pt hook shot from 2 ft (assist by D. Sloan),,2,4
16,1,9:21.0,,E. Davis makes 2-pt layup from 2 ft (assist by W. Johnson),2,6
17,1,9:10.0,Turnover by R. Hibbert (lost ball; steal by K. Bryant),,2,6
18,1,9:03.0,,K. Bryant makes 3-pt jump shot from 24 ft,2,9
19,1,8:45.0,R. Hibbert misses 2-pt jump shot from 14 ft,,2,9
20,1,8:44.0,Offensive rebound by R. Stuckey,,2,9
21,1,8:27.0,D. Sloan makes 3-pt jump shot from 24 ft (assist by D. West),,5,9
22,1,7:59.0,,K. Bryant makes 2-pt hook shot from 3 ft,5,11
23,1,7:40.0,R. Hibbert makes 2-pt hook shot from 3 ft,,7,11
24,1,7:13.0,,Turnover by J. Hill (bad pass),7,11
25,1,7:00.0,R. Hibbert misses 2-pt jump shot from 3 ft,,7,11
26,1,6:59.0,Offensive rebound by Team,,7,11
27,1,6:59.0,,Loose ball foul by K. Bryant (drawn by R. Hibbert),7,11
28,1,6:49.0,R. Stuckey makes 3-pt jump shot from 24 ft (assist by D. Sloan),,10,11
29,1,6:35.0,,J. Hill misses 2-pt jump shot from 14 ft,10,11
