,QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
0,1,11:41.0,,Turnover by A. Horford (bad pass; steal by H. Walker),0,0
1,1,11:31.0,H. Walker misses 3-pt jump shot from 24 ft,,0,0
2,1,11:30.0,,Defensive rebound by D. Schröder,0,0
3,1,11:09.0,,D. Schröder makes 2-pt jump shot from 6 ft,0,2
4,1,10:50.0,L. Deng misses 2-pt jump shot from 16 ft,,0,2
5,1,10:48.0,,Defensive rebound by D. Carroll,0,2
6,1,10:30.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by D. Schröder),0,5
7,1,10:13.0,H. Walker misses 3-pt jump shot from 24 ft,,0,5
8,1,10:12.0,,Defensive rebound by D. Schröder,0,5
9,1,10:00.0,,D. Carroll makes 2-pt layup from 3 ft (assist by P. Millsap),0,7
10,1,9:42.0,D. Wade makes 3-pt jump shot from 22 ft (assist by H. Walker),,3,7
11,1,9:24.0,,A. Horford misses 2-pt jump shot from 15 ft,3,7
12,1,9:23.0,Defensive rebound by U. Haslem,,3,7
13,1,9:12.0,L. Deng misses 3-pt jump shot from 23 ft,,3,7
14,1,9:11.0,,Defensive rebound by P. Millsap,3,7
15,1,9:07.0,,Personal foul by U. Haslem (drawn by P. Millsap),3,7
16,1,8:57.0,,Shooting foul by D. Wade (drawn by D. Carroll),3,7
17,1,8:57.0,,D. Carroll makes free throw 1 of 2,3,8
18,1,8:57.0,,D. Carroll misses free throw 2 of 2,3,8
19,1,8:56.0,Defensive rebound by H. Walker,,3,8
20,1,8:44.0,D. Wade misses 2-pt jump shot from 21 ft,,3,8
21,1,8:42.0,,Defensive rebound by P. Millsap,3,8
22,1,8:23.0,,A. Horford makes 2-pt layup from 1 ft,3,10
23,1,7:54.0,H. Walker misses 2-pt jump shot from 11 ft,,3,10
24,1,7:52.0,Offensive rebound by H. Walker,,3,10
25,1,7:51.0,,Offensive charge foul by H. Walker (drawn by D. Schröder),3,10
26,1,7:51.0,Turnover by H. Walker (offensive foul),,3,10
27,1,7:31.0,,P. Millsap misses 3-pt jump shot from 24 ft,3,10
28,1,7:30.0,Defensive rebound by L. Deng,,3,10
29,1,7:15.0,H. Walker misses 3-pt jump shot from 25 ft,,3,10
30,1,7:14.0,,Defensive rebound by P. Millsap,3,10
31,1,7:09.0,,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),3,12
32,1,7:09.0,Miami full timeout,,3,12
33,1,6:56.0,G. Dragić makes 2-pt jump shot from 20 ft (assist by U. Haslem),,5,12
34,1,6:39.0,,D. Carroll misses 3-pt jump shot from 24 ft,5,12
35,1,6:38.0,Defensive rebound by H. Walker,,5,12
36,1,6:29.0,G. Dragić makes 2-pt jump shot from 15 ft (assist by H. Walker),,7,12
37,1,6:17.0,,D. Schröder misses 2-pt jump shot from 4 ft (block by G. Dragić),7,12
38,1,6:17.0,,Offensive rebound by Team,7,12
39,1,6:17.0,M. Chalmers enters the game for H. Walker,,7,12
40,1,6:07.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Korver),7,14
41,1,5:52.0,U. Haslem misses 2-pt dunk at rim (block by P. Millsap),,7,14
42,1,5:49.0,,Defensive rebound by P. Millsap,7,14
43,1,5:44.0,,Personal foul by G. Dragić (drawn by D. Schröder),7,14
44,1,5:30.0,,D. Schröder misses 2-pt layup from 1 ft,7,14
45,1,5:28.0,Defensive rebound by L. Deng,,7,14
46,1,5:21.0,D. Wade misses 3-pt jump shot from 22 ft,,7,14
47,1,5:19.0,Offensive rebound by L. Deng,,7,14
48,1,5:19.0,L. Deng makes 2-pt layup at rim,,9,14
49,1,5:03.0,,P. Millsap makes 2-pt jump shot from 9 ft (assist by D. Schröder),9,16
50,1,5:03.0,,Shooting foul by M. Chalmers (drawn by P. Millsap),9,16
51,1,5:03.0,,K. Bazemore enters the game for K. Korver,9,16
52,1,5:03.0,,M. Muscala enters the game for A. Horford,9,16
53,1,5:03.0,,P. Millsap makes free throw 1 of 1,9,17
