,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,N. Batum makes 2-pt layup from 1 ft (assist by D. Lillard),,2,0
1,1,11:39.0,,Turnover by H. Sims (bad pass),2,0
2,1,11:25.0,Turnover by N. Batum (bad pass; steal by T. Wroten),,2,0
3,1,11:19.0,,M. Carter-Williams misses 2-pt jump shot from 19 ft,2,0
4,1,11:16.0,,Offensive rebound by B. Davies,2,0
5,1,11:05.0,,H. Sims misses 2-pt jump shot from 17 ft,2,0
6,1,11:03.0,,Offensive rebound by B. Davies,2,0
7,1,10:50.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft,2,0
8,1,10:48.0,Defensive rebound by L. Aldridge,,2,0
9,1,10:38.0,Turnover by N. Batum (bad pass; steal by L. Mbah a Moute),,2,0
10,1,10:32.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,2,2
11,1,10:05.0,Turnover by Team (shot clock),,2,2
12,1,9:51.0,,M. Carter-Williams misses 2-pt layup from 1 ft,2,2
13,1,9:49.0,Defensive rebound by R. Lopez,,2,2
14,1,9:39.0,Personal foul by B. Davies (drawn by R. Lopez),,2,2
15,1,9:31.0,W. Matthews misses 3-pt jump shot from 24 ft,,2,2
16,1,9:29.0,Offensive rebound by R. Lopez,,2,2
17,1,9:17.0,R. Lopez misses 2-pt jump shot from 16 ft,,2,2
18,1,9:15.0,Offensive rebound by L. Aldridge,,2,2
19,1,9:03.0,L. Aldridge misses 2-pt jump shot from 7 ft,,2,2
20,1,9:01.0,,Defensive rebound by B. Davies,2,2
21,1,8:57.0,,T. Wroten makes 2-pt layup from 1 ft (assist by B. Davies),2,4
22,1,8:40.0,N. Batum misses 3-pt jump shot from 25 ft,,2,4
23,1,8:38.0,,Defensive rebound by B. Davies,2,4
24,1,8:23.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft,2,4
25,1,8:20.0,Defensive rebound by N. Batum,,2,4
26,1,8:13.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by N. Batum),,4,4
27,1,7:58.0,,T. Wroten misses 3-pt jump shot from 24 ft,4,4
28,1,7:56.0,Defensive rebound by D. Lillard,,4,4
29,1,7:49.0,Turnover by D. Lillard (lost ball; steal by M. Carter-Williams),,4,4
30,1,7:38.0,,T. Wroten misses 2-pt layup from 1 ft,4,4
31,1,7:37.0,Defensive rebound by R. Lopez,,4,4
32,1,7:30.0,W. Matthews misses 3-pt jump shot from 24 ft,,4,4
33,1,7:28.0,,Defensive rebound by L. Mbah a Moute,4,4
34,1,7:20.0,,M. Carter-Williams misses 2-pt layup from 1 ft,4,4
35,1,7:18.0,Defensive rebound by W. Matthews,,4,4
36,1,7:10.0,L. Aldridge misses 2-pt jump shot from 18 ft,,4,4
37,1,7:08.0,,Defensive rebound by L. Mbah a Moute,4,4
38,1,7:02.0,,T. Wroten makes 2-pt layup at rim (assist by L. Mbah a Moute),4,6
39,1,6:51.0,Personal foul by M. Carter-Williams (drawn by D. Lillard),,4,6
40,1,6:51.0,,K. McDaniels enters the game for B. Davies,4,6
41,1,6:51.0,,N. Noel enters the game for M. Carter-Williams,4,6
42,1,6:43.0,Turnover by L. Aldridge (lost ball; steal by T. Wroten),,4,6
43,1,6:38.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by T. Wroten),4,8
44,1,6:16.0,W. Matthews misses 3-pt jump shot from 25 ft,,4,8
45,1,6:14.0,Offensive rebound by R. Lopez,,4,8
46,1,6:13.0,R. Lopez makes 2-pt layup at rim,,6,8
47,1,5:56.0,,Shooting foul by L. Aldridge (drawn by T. Wroten),6,8
48,1,5:56.0,,Philadelphia full timeout,6,8
49,1,5:56.0,,T. Wroten makes free throw 1 of 2,6,9
50,1,5:56.0,,T. Wroten makes free throw 2 of 2,6,10
51,1,5:42.0,L. Aldridge misses 2-pt layup from 2 ft,,6,10
52,1,5:40.0,,Defensive rebound by H. Sims,6,10
53,1,5:32.0,,Turnover by T. Wroten (bad pass; steal by N. Batum),6,10
54,1,5:21.0,W. Matthews makes 2-pt jump shot from 4 ft (assist by L. Aldridge),,8,10
55,1,5:15.0,,Turnover by T. Wroten (bad pass),8,10
56,1,5:15.0,,A. Shved enters the game for L. Mbah a Moute,8,10
57,1,5:07.0,Personal foul by H. Sims (drawn by D. Lillard),,8,10
58,1,5:00.0,D. Lillard makes 2-pt jump shot from 16 ft (assist by R. Lopez),,10,10
59,1,4:38.0,,H. Sims misses 2-pt jump shot from 4 ft,10,10
60,1,4:37.0,Defensive rebound by N. Batum,,10,10
61,1,4:33.0,Turnover by D. Lillard (bad pass),,10,10
62,1,4:33.0,C. Kaman enters the game for R. Lopez,,10,10
63,1,4:33.0,S. Blake enters the game for N. Batum,,10,10
64,1,4:33.0,,D. Gordon enters the game for H. Sims,10,10
65,1,4:11.0,,A. Shved misses 3-pt jump shot from 25 ft,10,10
66,1,4:10.0,Defensive rebound by C. Kaman,,10,10
67,1,4:00.0,D. Lillard makes 2-pt layup at rim,,12,10
68,1,3:54.0,,D. Gordon makes 2-pt layup from 1 ft (assist by T. Wroten),12,12
69,1,3:38.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by W. Matthews),,14,12
70,1,3:15.0,,D. Gordon misses 2-pt jump shot from 15 ft,14,12
71,1,3:14.0,Defensive rebound by L. Aldridge,,14,12
72,1,3:11.0,Personal foul by T. Wroten (drawn by S. Blake),,14,12
73,1,3:11.0,,H. Thompson enters the game for T. Wroten,14,12
74,1,3:11.0,Portland full timeout,,14,12
