,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:44.0,J. Thompson misses 2-pt jump shot from 12 ft,,0,0
1,1,11:43.0,Offensive rebound by Team,,0,0
2,1,11:29.0,Personal foul by D. Motiejūnas (drawn by J. Thompson),,0,0
3,1,11:23.0,D. Cousins misses 2-pt jump shot from 19 ft,,0,0
4,1,11:22.0,,Defensive rebound by J. Harden,0,0
5,1,11:12.0,,D. Motiejūnas misses 2-pt layup from 2 ft (block by D. Cousins),0,0
6,1,11:11.0,Defensive rebound by Team,,0,0
7,1,10:57.0,Turnover by R. Sessions (bad pass; steal by J. Harden),,0,0
8,1,10:38.0,,D. Motiejūnas makes 2-pt hook shot from 5 ft (assist by J. Harden),0,2
9,1,10:21.0,B. McLemore misses 2-pt layup from 1 ft (block by J. Harden),,0,2
10,1,10:21.0,Offensive rebound by Team,,0,2
11,1,10:20.0,Turnover by O. Casspi (bad pass; steal by D. Motiejūnas),,0,2
12,1,10:16.0,,I. Canaan makes 2-pt layup at rim (assist by J. Harden),0,4
13,1,10:04.0,Offensive foul by J. Thompson (drawn by D. Motiejūnas),,0,4
14,1,10:04.0,Turnover by J. Thompson (offensive foul),,0,4
15,1,9:46.0,,Shooting foul by O. Casspi (drawn by J. Harden),0,4
16,1,9:46.0,,J. Harden makes free throw 1 of 2,0,5
17,1,9:46.0,,J. Harden makes free throw 2 of 2,0,6
18,1,9:32.0,Shooting foul by T. Black (drawn by D. Cousins),,0,6
19,1,9:32.0,D. Cousins makes free throw 1 of 2,,1,6
20,1,9:32.0,D. Cousins makes free throw 2 of 2,,2,6
21,1,9:25.0,Violation by J. Thompson (kicked ball),,2,6
22,1,9:14.0,,I. Canaan misses 3-pt jump shot from 22 ft,2,6
23,1,9:12.0,Defensive rebound by D. Cousins,,2,6
24,1,9:04.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by D. Cousins),,5,6
25,1,8:51.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by T. Black),5,9
26,1,8:36.0,B. McLemore misses 3-pt jump shot from 24 ft,,5,9
27,1,8:35.0,Offensive rebound by D. Cousins,,5,9
28,1,8:35.0,D. Cousins makes 2-pt tip-in from 1 ft,,7,9
29,1,8:14.0,,J. Harden misses 3-pt jump shot from 25 ft,7,9
30,1,8:12.0,Defensive rebound by J. Thompson,,7,9
31,1,8:00.0,J. Thompson makes 2-pt hook shot from 7 ft,,9,9
32,1,7:36.0,,Shooting foul by B. McLemore (drawn by J. Harden),9,9
33,1,7:36.0,,J. Harden makes free throw 1 of 2,9,10
34,1,7:36.0,,J. Harden makes free throw 2 of 2,9,11
35,1,7:30.0,Personal foul by T. Ariza (drawn by O. Casspi),,9,11
36,1,7:14.0,Turnover by D. Cousins (bad pass; steal by D. Motiejūnas),,9,11
