,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHARLOTTE_ACTION,SAN ANTONIO_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by M. Bonner),0,0
1,1,11:46.0,,Offensive rebound by M. Kidd-Gilchrist,0,0
2,1,11:46.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,0,0
3,1,11:46.0,Defensive rebound by Team,,0,0
4,1,11:33.0,Turnover by T. Parker (traveling),,0,0
5,1,11:15.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by C. Zeller),0,2
6,1,11:15.0,,Shooting foul by A. Daye (drawn by M. Kidd-Gilchrist),0,2
7,1,11:15.0,,M. Kidd-Gilchrist makes free throw 1 of 1,0,3
8,1,10:54.0,T. Duncan misses 2-pt jump shot from 15 ft,,0,3
9,1,10:53.0,,Defensive rebound by G. Henderson,0,3
10,1,10:37.0,,C. Zeller makes 2-pt layup from 2 ft (assist by G. Henderson),0,5
11,1,10:17.0,A. Daye misses 3-pt jump shot from 25 ft,,0,5
12,1,10:16.0,Offensive rebound by T. Duncan,,0,5
13,1,10:08.0,T. Parker misses 2-pt jump shot from 15 ft,,0,5
14,1,10:06.0,,Defensive rebound by C. Zeller,0,5
15,1,9:52.0,,K. Walker misses 2-pt layup from 1 ft (block by M. Bonner),0,5
16,1,9:52.0,Defensive rebound by Team,,0,5
17,1,9:40.0,A. Daye misses 2-pt layup from 2 ft,,0,5
18,1,9:39.0,,Defensive rebound by M. Kidd-Gilchrist,0,5
19,1,9:33.0,,G. Henderson makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),0,7
20,1,9:12.0,D. Green misses 3-pt jump shot from 23 ft,,0,7
21,1,9:10.0,Offensive rebound by T. Duncan,,0,7
22,1,9:08.0,D. Green makes 2-pt layup from 1 ft (assist by T. Duncan),,2,7
23,1,8:53.0,,C. Zeller misses 2-pt layup from 2 ft (block by M. Bonner),2,7
24,1,8:52.0,Defensive rebound by T. Duncan,,2,7
25,1,8:43.0,T. Duncan makes 2-pt jump shot from 7 ft (assist by D. Green),,4,7
26,1,8:28.0,,G. Henderson misses 2-pt layup from 1 ft,4,7
27,1,8:27.0,Defensive rebound by A. Daye,,4,7
28,1,8:20.0,D. Green misses 3-pt jump shot from 24 ft,,4,7
29,1,8:18.0,Offensive rebound by D. Green,,4,7
30,1,8:11.0,T. Parker misses 2-pt jump shot from 17 ft,,4,7
31,1,8:09.0,,Defensive rebound by C. Zeller,4,7
32,1,8:00.0,,G. Henderson misses 2-pt jump shot from 17 ft,4,7
33,1,7:59.0,Defensive rebound by A. Daye,,4,7
34,1,7:39.0,T. Duncan makes 2-pt jump shot from 18 ft (assist by T. Parker),,6,7
35,1,7:26.0,,K. Walker misses 2-pt jump shot from 18 ft,6,7
36,1,7:25.0,,Offensive rebound by Team,6,7
37,1,7:13.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by T. Duncan),6,7
38,1,7:12.0,Defensive rebound by M. Bonner,,6,7
39,1,7:02.0,T. Parker misses 2-pt jump shot from 14 ft,,6,7
40,1,7:00.0,Offensive rebound by T. Parker,,6,7
41,1,6:48.0,T. Parker misses 2-pt jump shot from 20 ft,,6,7
42,1,6:47.0,,Defensive rebound by B. Biyombo,6,7
43,1,6:33.0,,Turnover by K. Walker (lost ball; steal by T. Duncan),6,7
44,1,6:17.0,T. Duncan misses 2-pt jump shot from 8 ft,,6,7
45,1,6:16.0,,Defensive rebound by G. Henderson,6,7
46,1,6:12.0,,Shooting foul by M. Bonner (drawn by G. Henderson),6,7
47,1,6:12.0,,G. Henderson makes free throw 1 of 2,6,8
48,1,6:12.0,,G. Henderson makes free throw 2 of 2,6,9
49,1,5:55.0,A. Daye makes 2-pt layup from 1 ft,,8,9
50,1,5:40.0,,K. Walker makes 2-pt layup from 1 ft (assist by C. Zeller),8,11
51,1,5:40.0,San Antonio full timeout,,8,11
52,1,5:40.0,B. Diaw enters the game for A. Daye,,8,11
53,1,5:40.0,M. Ginóbili enters the game for T. Duncan,,8,11
54,1,5:40.0,T. Splitter enters the game for M. Bonner,,8,11
55,1,5:40.0,C. Joseph enters the game for D. Green,,8,11
56,1,5:40.0,P. Mills enters the game for T. Parker,,8,11
57,1,5:19.0,M. Ginóbili makes 2-pt jump shot from 8 ft (assist by C. Joseph),,10,11
58,1,4:59.0,,G. Henderson misses 2-pt jump shot from 12 ft,10,11
59,1,4:58.0,Defensive rebound by T. Splitter,,10,11
60,1,4:52.0,Shooting foul by B. Biyombo (drawn by T. Splitter),,10,11
61,1,4:52.0,T. Splitter misses free throw 1 of 2,,10,11
62,1,4:52.0,Offensive rebound by Team,,10,11
63,1,4:52.0,,M. Williams enters the game for C. Zeller,10,11
64,1,4:52.0,T. Splitter makes free throw 2 of 2,,11,11
65,1,4:40.0,,Turnover by M. Williams (offensive foul),11,11
