,QUARTER,TIME_REMAINING,DETROIT_ACTION,HOUSTON_ACTION,DETROIT_SCORE,HOUSTON_SCORE
0,1,11:37.0,A. Drummond misses 2-pt hook shot from 8 ft,,0,0
1,1,11:36.0,,Defensive rebound by T. Ariza,0,0
2,1,11:19.0,,P. Beverley makes 2-pt jump shot from 7 ft (assist by J. Harden),0,2
3,1,10:59.0,G. Monroe makes 2-pt layup from 1 ft (assist by T. Prince),,2,2
4,1,10:50.0,,Turnover by P. Beverley (lost ball; steal by G. Monroe),2,2
5,1,10:44.0,T. Prince misses 2-pt jump shot from 21 ft,,2,2
6,1,10:42.0,Offensive rebound by A. Drummond,,2,2
7,1,10:41.0,A. Drummond misses 2-pt tip-in from 1 ft,,2,2
8,1,10:40.0,,Defensive rebound by T. Jones,2,2
9,1,10:37.0,,Turnover by J. Harden (bad pass),2,2
10,1,10:22.0,G. Monroe misses 2-pt hook shot from 7 ft,,2,2
11,1,10:21.0,,Defensive rebound by T. Ariza,2,2
12,1,10:12.0,,T. Ariza makes 2-pt jump shot from 18 ft,2,4
13,1,9:51.0,G. Monroe misses 2-pt layup from 2 ft (block by T. Jones),,2,4
14,1,9:49.0,Offensive rebound by G. Monroe,,2,4
15,1,9:48.0,G. Monroe makes 2-pt layup at rim,,4,4
16,1,9:36.0,,Turnover by J. Harden (bad pass),4,4
17,1,9:24.0,Turnover by R. Jackson (bad pass; steal by T. Jones),,4,4
18,1,9:18.0,,D. Motiejūnas makes 2-pt dunk at rim (assist by J. Harden),4,6
19,1,8:55.0,R. Jackson makes 2-pt jump shot from 4 ft,,6,6
20,1,8:48.0,,T. Ariza makes 2-pt layup from 1 ft (assist by P. Beverley),6,8
21,1,8:33.0,Personal block foul by D. Motiejūnas (drawn by G. Monroe),,6,8
22,1,8:25.0,G. Monroe misses 2-pt jump shot from 5 ft,,6,8
23,1,8:23.0,,Defensive rebound by D. Motiejūnas,6,8
24,1,8:12.0,,J. Harden makes 2-pt jump shot from 17 ft,6,10
25,1,7:52.0,R. Jackson makes 2-pt layup from 2 ft (assist by G. Monroe),,8,10
26,1,7:34.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),8,13
27,1,7:13.0,T. Prince misses 2-pt jump shot from 17 ft,,8,13
28,1,7:12.0,,Defensive rebound by D. Motiejūnas,8,13
29,1,7:02.0,,T. Ariza misses 3-pt jump shot from 26 ft,8,13
30,1,7:00.0,Defensive rebound by A. Drummond,,8,13
31,1,6:57.0,Shooting foul by D. Motiejūnas (drawn by T. Prince),,8,13
32,1,6:57.0,T. Prince makes free throw 1 of 2,,9,13
33,1,6:57.0,,J. Dorsey enters the game for D. Motiejūnas,9,13
34,1,6:57.0,T. Prince makes free throw 2 of 2,,10,13
