,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:34.0,M. Morris misses 2-pt jump shot from 14 ft,,0,0
1,1,11:33.0,,Defensive rebound by J. Hill,0,0
2,1,11:20.0,,Personal foul by E. Bledsoe (drawn by J. Lin),0,0
3,1,11:07.0,,K. Bryant misses 3-pt jump shot from 25 ft,0,0
4,1,11:05.0,Defensive rebound by M. Plumlee,,0,0
5,1,10:57.0,M. Morris misses 2-pt jump shot from 18 ft,,0,0
6,1,10:53.0,Offensive rebound by M. Plumlee,,0,0
7,1,10:53.0,M. Plumlee misses 2-pt tip-in from 1 ft,,0,0
8,1,10:51.0,Offensive rebound by M. Plumlee,,0,0
9,1,10:44.0,M. Morris makes 2-pt dunk at rim (assist by G. Dragić),,2,0
10,1,10:20.0,,J. Lin misses 2-pt layup at rim (block by E. Bledsoe),2,0
11,1,10:17.0,Defensive rebound by M. Morris,,2,0
12,1,10:07.0,Offensive foul by M. Morris (drawn by K. Bryant),,2,0
13,1,10:07.0,Turnover by M. Morris (offensive foul),,2,0
14,1,9:50.0,,C. Boozer misses 2-pt jump shot from 15 ft,2,0
15,1,9:49.0,Defensive rebound by M. Plumlee,,2,0
16,1,9:40.0,M. Morris misses 2-pt layup at rim (block by J. Hill),,2,0
17,1,9:36.0,Offensive rebound by M. Plumlee,,2,0
18,1,9:36.0,M. Plumlee misses 2-pt layup from 1 ft,,2,0
19,1,9:35.0,Offensive rebound by M. Morris,,2,0
20,1,9:30.0,M. Morris misses 3-pt jump shot from 23 ft,,2,0
21,1,9:28.0,,Defensive rebound by W. Johnson,2,0
22,1,9:22.0,,Shooting foul by G. Dragić (drawn by W. Johnson),2,0
23,1,9:22.0,,W. Johnson makes free throw 1 of 2,2,1
24,1,9:22.0,,W. Johnson makes free throw 2 of 2,2,2
25,1,8:58.0,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Morris),,5,2
26,1,8:42.0,,K. Bryant misses 2-pt jump shot from 17 ft,5,2
27,1,8:41.0,Defensive rebound by M. Morris,,5,2
28,1,8:28.0,M. Morris misses 2-pt jump shot from 12 ft,,5,2
29,1,8:19.0,,Defensive rebound by C. Boozer,5,2
30,1,8:14.0,,C. Boozer makes 2-pt hook shot from 2 ft (assist by J. Lin),5,4
31,1,7:52.0,Turnover by E. Bledsoe (bad pass; steal by J. Hill),,5,4
32,1,7:44.0,,J. Hill misses 2-pt jump shot from 11 ft,5,4
33,1,7:42.0,Defensive rebound by M. Morris,,5,4
34,1,7:36.0,E. Bledsoe misses 2-pt jump shot from 3 ft,,5,4
35,1,7:33.0,,Defensive rebound by J. Hill,5,4
36,1,7:21.0,,Personal block foul by M. Plumlee (drawn by J. Lin),5,4
37,1,7:16.0,,J. Lin makes 3-pt jump shot from 22 ft (assist by W. Johnson),5,7
38,1,7:00.0,Personal foul by C. Boozer (drawn by G. Dragić),,5,7
39,1,6:56.0,Shooting foul by W. Johnson (drawn by M. Morris),,5,7
40,1,6:56.0,M. Morris makes free throw 1 of 2,,6,7
41,1,6:56.0,M. Morris makes free throw 2 of 2,,7,7
42,1,6:43.0,,J. Lin makes 2-pt layup from 1 ft (assist by K. Bryant),7,9
43,1,6:40.0,G. Dragić misses 3-pt jump shot from 22 ft,,7,9
44,1,6:40.0,,Defensive rebound by W. Johnson,7,9
45,1,6:38.0,,Turnover by W. Johnson (bad pass),7,9
46,1,6:28.0,E. Bledsoe makes 2-pt layup at rim,,9,9
47,1,6:13.0,,Shooting foul by E. Bledsoe (drawn by J. Lin),9,9
48,1,6:13.0,,J. Lin makes free throw 1 of 2,9,10
49,1,6:13.0,I. Thomas enters the game for E. Bledsoe,,9,10
