,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BROOKLYN_ACTION,SAN ANTONIO_SCORE,BROOKLYN_SCORE
0,1,11:45.0,T. Parker misses 2-pt layup from 2 ft,,0,0
1,1,11:44.0,Offensive rebound by T. Duncan,,0,0
2,1,11:42.0,T. Duncan misses 2-pt layup at rim,,0,0
3,1,11:41.0,Offensive rebound by B. Diaw,,0,0
4,1,11:37.0,D. Green misses 3-pt jump shot from 26 ft,,0,0
5,1,11:36.0,,Defensive rebound by D. Williams,0,0
6,1,11:26.0,,D. Williams makes 2-pt layup from 1 ft,0,2
7,1,11:12.0,B. Diaw misses 2-pt jump shot from 9 ft,,0,2
8,1,11:11.0,,Defensive rebound by B. Lopez,0,2
9,1,10:49.0,,D. Williams misses 3-pt jump shot from 23 ft,0,2
10,1,10:47.0,Defensive rebound by Team,,0,2
11,1,10:31.0,T. Duncan misses 2-pt jump shot from 13 ft,,0,2
12,1,10:30.0,,Defensive rebound by M. Teletović,0,2
13,1,10:16.0,,B. Lopez misses 2-pt layup from 2 ft (block by D. Green),0,2
14,1,10:15.0,Defensive rebound by D. Green,,0,2
15,1,10:12.0,Turnover by T. Parker (discontinued dribble),,0,2
16,1,9:52.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,0,2
17,1,9:51.0,Defensive rebound by T. Duncan,,0,2
18,1,9:43.0,T. Duncan misses 2-pt jump shot from 18 ft,,0,2
19,1,9:42.0,,Defensive rebound by M. Teletović,0,2
20,1,9:38.0,,Shooting foul by B. Diaw (drawn by M. Teletović),0,2
21,1,9:38.0,,M. Teletović misses free throw 1 of 2,0,2
22,1,9:38.0,,Offensive rebound by Team,0,2
23,1,9:38.0,,M. Teletović makes free throw 2 of 2,0,3
24,1,9:26.0,K. Leonard misses 2-pt jump shot from 13 ft,,0,3
25,1,9:25.0,,Defensive rebound by D. Williams,0,3
26,1,9:15.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,0,3
27,1,9:14.0,Defensive rebound by T. Duncan,,0,3
28,1,9:11.0,Shooting foul by D. Williams (drawn by K. Leonard),,0,3
29,1,9:11.0,K. Leonard makes free throw 1 of 2,,1,3
30,1,9:11.0,K. Leonard misses free throw 2 of 2,,1,3
31,1,9:10.0,,Defensive rebound by B. Bogdanović,1,3
32,1,8:53.0,,J. Johnson makes 2-pt jump shot from 14 ft,1,5
33,1,8:37.0,T. Duncan misses 2-pt jump shot from 18 ft,,1,5
34,1,8:36.0,,Defensive rebound by M. Teletović,1,5
35,1,8:28.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by B. Lopez),1,7
36,1,8:04.0,D. Green makes 3-pt jump shot from 24 ft (assist by T. Duncan),,4,7
37,1,7:47.0,,D. Williams misses 3-pt jump shot from 25 ft,4,7
38,1,7:46.0,Defensive rebound by K. Leonard,,4,7
39,1,7:37.0,T. Duncan misses 2-pt jump shot from 5 ft,,4,7
40,1,7:36.0,,Defensive rebound by J. Johnson,4,7
41,1,7:22.0,,J. Johnson makes 2-pt layup from 3 ft (assist by B. Lopez),4,9
42,1,7:22.0,San Antonio full timeout,,4,9
43,1,7:04.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Parker),,7,9
44,1,6:47.0,,Turnover by J. Johnson (lost ball),7,9
45,1,6:23.0,B. Diaw misses 2-pt jump shot from 6 ft,,7,9
46,1,6:22.0,Offensive rebound by T. Duncan,,7,9
47,1,6:18.0,T. Duncan misses 2-pt hook shot from 4 ft,,7,9
48,1,6:17.0,,Defensive rebound by M. Teletović,7,9
49,1,5:55.0,,B. Lopez makes 2-pt jump shot from 20 ft,7,11
50,1,5:38.0,T. Duncan makes 2-pt jump shot from 8 ft (assist by T. Parker),,9,11
51,1,5:23.0,,J. Johnson makes 2-pt jump shot from 11 ft (assist by D. Williams),9,13
52,1,5:09.0,T. Duncan misses 2-pt layup from 3 ft (block by B. Lopez),,9,13
53,1,5:07.0,Offensive rebound by D. Green,,9,13
54,1,5:01.0,M. Ginóbili enters the game for D. Green,,9,13
55,1,5:01.0,,A. Anderson enters the game for B. Bogdanović,9,13
56,1,5:01.0,C. Joseph enters the game for T. Parker,,9,13
57,1,4:59.0,M. Ginóbili makes 2-pt layup from 2 ft (assist by B. Diaw),,11,13
58,1,4:55.0,,Brooklyn full timeout,11,13
59,1,4:55.0,A. Baynes enters the game for T. Duncan,,11,13
60,1,4:38.0,,A. Anderson misses 3-pt jump shot from 23 ft,11,13
61,1,4:37.0,Defensive rebound by K. Leonard,,11,13
62,1,4:22.0,K. Leonard misses 2-pt jump shot from 9 ft,,11,13
63,1,4:21.0,,Defensive rebound by B. Lopez,11,13
64,1,4:08.0,,B. Lopez misses 2-pt jump shot from 20 ft,11,13
65,1,4:07.0,Defensive rebound by M. Ginóbili,,11,13
66,1,3:51.0,K. Leonard misses 2-pt jump shot from 10 ft,,11,13
67,1,3:50.0,,Defensive rebound by B. Lopez,11,13
68,1,3:41.0,,Turnover by D. Williams (bad pass; steal by A. Baynes),11,13
69,1,3:36.0,A. Baynes misses 2-pt layup from 1 ft,,11,13
70,1,3:34.0,,Defensive rebound by M. Teletović,11,13
71,1,3:20.0,,A. Anderson makes 2-pt jump shot from 7 ft (assist by D. Williams),11,15
72,1,3:09.0,Personal foul by A. Anderson (drawn by M. Ginóbili),,11,15
73,1,3:09.0,,J. Jack enters the game for D. Williams,11,15
74,1,2:59.0,Turnover by B. Diaw (bad pass),,11,15
75,1,2:47.0,,Personal foul by A. Baynes (drawn by J. Johnson),11,15
76,1,2:39.0,,J. Johnson misses 2-pt jump shot from 17 ft,11,15
77,1,2:38.0,Defensive rebound by M. Ginóbili,,11,15
78,1,2:33.0,B. Diaw misses 2-pt layup from 2 ft,,11,15
79,1,2:32.0,Offensive rebound by K. Leonard,,11,15
80,1,2:31.0,K. Leonard makes 2-pt tip-in from 1 ft,,13,15
81,1,2:19.0,,Personal foul by M. Ginóbili (drawn by A. Anderson),13,15
82,1,2:19.0,T. Parker enters the game for C. Joseph,,13,15
83,1,2:19.0,M. Bonner enters the game for B. Diaw,,13,15
84,1,2:06.0,Offensive charge foul by J. Jack (drawn by M. Ginóbili),,13,15
85,1,2:06.0,,Turnover by J. Jack (offensive foul),13,15
86,1,1:50.0,M. Ginóbili makes 2-pt layup from 2 ft,,15,15
87,1,1:30.0,,J. Johnson misses 2-pt jump shot from 4 ft,15,15
88,1,1:29.0,Defensive rebound by K. Leonard,,15,15
89,1,1:18.0,M. Bonner misses 3-pt jump shot from 24 ft,,15,15
90,1,1:17.0,,Defensive rebound by B. Lopez,15,15
91,1,1:00.0,,B. Lopez misses 2-pt jump shot from 9 ft,15,15
92,1,0:59.0,Defensive rebound by T. Parker,,15,15
93,1,0:45.0,T. Parker makes 2-pt jump shot from 19 ft,,17,15
94,1,0:37.0,,M. Teletović makes 2-pt jump shot from 5 ft,17,17
95,1,0:30.0,T. Parker makes 2-pt jump shot from 14 ft,,19,17
96,1,0:20.0,,J. Jack makes 2-pt jump shot from 5 ft,19,19
97,1,0:02.0,M. Ginóbili misses 2-pt layup from 2 ft,,19,19
98,1,0:01.0,Offensive rebound by M. Ginóbili,,19,19
99,1,0:00.0,M. Ginóbili misses 2-pt jump shot from 8 ft,,19,19
100,1,0:00.0,Offensive rebound by Team,,19,19
101,2,11:43.0,,A. Anderson misses 2-pt jump shot from 8 ft,19,19
102,2,11:42.0,,Offensive rebound by J. Jordan,19,19
103,2,11:40.0,,J. Jordan makes 2-pt layup from 1 ft,19,21
104,2,11:24.0,M. Belinelli makes 3-pt jump shot from 24 ft,,22,21
105,2,11:13.0,,Personal foul by M. Ginóbili (drawn by A. Anderson),22,21
106,2,11:03.0,,J. Jack makes 2-pt jump shot from 13 ft,22,23
107,2,10:43.0,M. Bonner misses 2-pt jump shot from 20 ft,,22,23
108,2,10:42.0,,Defensive rebound by B. Bogdanović,22,23
109,2,10:24.0,,Shooting foul by M. Belinelli (drawn by M. Plumlee),22,23
110,2,10:24.0,,M. Plumlee misses free throw 1 of 2,22,23
111,2,10:24.0,,Offensive rebound by Team,22,23
112,2,10:24.0,C. Joseph enters the game for T. Parker,,22,23
113,2,10:24.0,D. Green enters the game for M. Ginóbili,,22,23
114,2,10:24.0,,M. Plumlee misses free throw 2 of 2,22,23
115,2,10:23.0,Defensive rebound by A. Baynes,,22,23
116,2,10:12.0,C. Joseph makes 2-pt jump shot from 14 ft,,24,23
117,2,10:03.0,Offensive charge foul by M. Plumlee (drawn by A. Baynes),,24,23
118,2,10:03.0,,Turnover by M. Plumlee (offensive foul),24,23
119,2,9:40.0,C. Joseph misses 2-pt jump shot from 4 ft,,24,23
120,2,9:39.0,Offensive rebound by A. Baynes,,24,23
121,2,9:35.0,A. Baynes makes 2-pt tip-in from 3 ft,,26,23
