,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,TORONTO_ACTION,NEW ORLEANS_SCORE,TORONTO_SCORE
0,1,11:37.0,,D. DeRozan misses 3-pt jump shot from 24 ft,0,0
1,1,11:36.0,Defensive rebound by D. Cunningham,,0,0
2,1,11:15.0,T. Evans misses 2-pt jump shot from 3 ft,,0,0
3,1,11:13.0,,Defensive rebound by D. DeRozan,0,0
4,1,10:56.0,,Turnover by J. Valančiūnas (lost ball; steal by Ö. Aşık),0,0
5,1,10:40.0,Offensive foul by R. Anderson (drawn by A. Johnson),,0,0
6,1,10:40.0,Turnover by R. Anderson (offensive foul),,0,0
7,1,10:26.0,,T. Ross misses 2-pt jump shot from 9 ft,0,0
8,1,10:25.0,Defensive rebound by Ö. Aşık,,0,0
9,1,10:05.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by T. Evans),,3,0
10,1,9:47.0,,Shooting foul by R. Anderson (drawn by D. DeRozan),3,0
11,1,9:47.0,,D. DeRozan misses free throw 1 of 2,3,0
12,1,9:47.0,,Offensive rebound by Team,3,0
13,1,9:47.0,Q. Pondexter enters the game for R. Anderson,,3,0
14,1,9:47.0,,D. DeRozan makes free throw 2 of 2,3,1
15,1,9:31.0,E. Gordon misses 2-pt layup from 2 ft,,3,1
16,1,9:30.0,,Defensive rebound by A. Johnson,3,1
17,1,9:22.0,Violation by D. Cunningham (kicked ball),,3,1
18,1,9:17.0,,Turnover by J. Valančiūnas (bad pass; steal by T. Evans),3,1
19,1,9:13.0,Q. Pondexter misses 2-pt layup from 1 ft,,3,1
20,1,9:11.0,,Defensive rebound by A. Johnson,3,1
21,1,9:07.0,,Personal foul by D. Cunningham (drawn by K. Lowry),3,1
22,1,8:57.0,,D. DeRozan misses 2-pt jump shot from 14 ft,3,1
23,1,8:56.0,,Offensive rebound by K. Lowry,3,1
24,1,8:53.0,,K. Lowry makes 2-pt layup at rim,3,3
25,1,8:36.0,Turnover by E. Gordon (bad pass; steal by D. DeRozan),,3,3
26,1,8:19.0,,K. Lowry misses 3-pt jump shot from 24 ft,3,3
27,1,8:18.0,Defensive rebound by E. Gordon,,3,3
28,1,8:07.0,T. Evans misses 2-pt jump shot from 19 ft,,3,3
29,1,8:06.0,,Defensive rebound by T. Ross,3,3
30,1,7:44.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,3,3
31,1,7:42.0,Defensive rebound by T. Evans,,3,3
32,1,7:37.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,3,3
33,1,7:35.0,Offensive rebound by Ö. Aşık,,3,3
34,1,7:32.0,Ö. Aşık misses 2-pt hook shot from 3 ft,,3,3
35,1,7:29.0,,Defensive rebound by J. Valančiūnas,3,3
36,1,7:18.0,,D. DeRozan misses 2-pt layup from 1 ft (block by Q. Pondexter),3,3
37,1,7:16.0,Defensive rebound by Q. Pondexter,,3,3
38,1,7:11.0,T. Evans makes 2-pt layup from 2 ft (assist by E. Gordon),,5,3
39,1,6:52.0,,T. Ross misses 3-pt jump shot from 23 ft,5,3
40,1,6:51.0,Defensive rebound by Ö. Aşık,,5,3
41,1,6:33.0,Ö. Aşık misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),,5,3
42,1,6:30.0,Offensive rebound by Ö. Aşık,,5,3
43,1,6:28.0,Ö. Aşık misses 2-pt jump shot from 17 ft,,5,3
44,1,6:27.0,,Defensive rebound by K. Lowry,5,3
45,1,6:17.0,,Turnover by K. Lowry (bad pass),5,3
46,1,6:17.0,A. Ajinça enters the game for D. Cunningham,,5,3
47,1,6:08.0,Personal foul by K. Lowry (drawn by Q. Pondexter),,5,3
48,1,6:01.0,E. Gordon misses 2-pt jump shot from 6 ft,,5,3
49,1,6:00.0,Offensive rebound by Ö. Aşık,,5,3
50,1,5:56.0,E. Gordon misses 2-pt jump shot from 5 ft,,5,3
51,1,5:56.0,,Defensive rebound by A. Johnson,5,3
52,1,5:56.0,,Toronto full timeout,5,3
53,1,5:44.0,,D. DeRozan makes 2-pt jump shot from 13 ft,5,5
54,1,5:29.0,Ö. Aşık makes 2-pt layup from 2 ft (assist by T. Evans),,7,5
55,1,5:14.0,,Offensive foul by J. Valančiūnas (drawn by Ö. Aşık),7,5
56,1,5:14.0,,Turnover by J. Valančiūnas (offensive foul),7,5
