,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
0,1,11:32.0,,A. Brooks makes 2-pt jump shot from 7 ft,0,2
1,1,11:18.0,Turnover by M. Williams (lost ball),,0,2
2,1,10:59.0,,J. Butler misses 2-pt layup from 1 ft,0,2
3,1,10:58.0,Defensive rebound by A. Jefferson,,0,2
4,1,10:50.0,K. Walker misses 2-pt jump shot from 16 ft,,0,2
5,1,10:49.0,,Defensive rebound by T. Gibson,0,2
6,1,10:38.0,,P. Gasol makes 2-pt jump shot from 20 ft (assist by A. Brooks),0,4
7,1,10:11.0,A. Jefferson misses 2-pt jump shot from 15 ft,,0,4
8,1,10:10.0,,Defensive rebound by T. Gibson,0,4
9,1,10:01.0,,P. Gasol misses 2-pt jump shot from 15 ft,0,4
10,1,9:59.0,Defensive rebound by M. Kidd-Gilchrist,,0,4
11,1,9:47.0,K. Walker makes 2-pt jump shot from 6 ft,,2,4
12,1,9:26.0,,T. Gibson misses 2-pt jump shot from 12 ft,2,4
13,1,9:25.0,Defensive rebound by G. Henderson,,2,4
14,1,9:20.0,Shooting foul by J. Butler (drawn by G. Henderson),,2,4
15,1,9:20.0,G. Henderson makes free throw 1 of 2,,3,4
16,1,9:20.0,G. Henderson makes free throw 2 of 2,,4,4
17,1,9:02.0,,A. Brooks misses 2-pt layup from 2 ft,4,4
18,1,9:01.0,,Offensive rebound by Team,4,4
19,1,8:48.0,,J. Butler misses 2-pt jump shot from 17 ft,4,4
20,1,8:47.0,Defensive rebound by M. Kidd-Gilchrist,,4,4
21,1,8:35.0,K. Walker misses 3-pt jump shot from 24 ft,,4,4
22,1,8:33.0,,Defensive rebound by M. Dunleavy,4,4
23,1,8:26.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by M. Dunleavy),4,6
24,1,8:08.0,G. Henderson makes 2-pt jump shot from 17 ft,,6,6
25,1,7:57.0,,P. Gasol makes 2-pt jump shot from 20 ft (assist by M. Dunleavy),6,8
26,1,7:43.0,A. Jefferson misses 2-pt jump shot from 7 ft,,6,8
27,1,7:42.0,,Defensive rebound by P. Gasol,6,8
28,1,7:39.0,,Personal foul by M. Kidd-Gilchrist (drawn by A. Brooks),6,8
29,1,7:30.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,6,8
30,1,7:29.0,Defensive rebound by K. Walker,,6,8
31,1,7:20.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,9,8
32,1,7:06.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by M. Dunleavy),9,10
33,1,6:49.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,12,10
34,1,6:33.0,,M. Dunleavy makes 2-pt layup from 3 ft (assist by A. Brooks),12,12
35,1,6:15.0,K. Walker makes 2-pt layup at rim (assist by A. Jefferson),,14,12
36,1,6:15.0,Shooting foul by A. Brooks (drawn by K. Walker),,14,12
37,1,6:15.0,K. Walker makes free throw 1 of 1,,15,12
38,1,6:00.0,,P. Gasol misses 2-pt jump shot from 21 ft,15,12
39,1,5:59.0,Defensive rebound by G. Henderson,,15,12
40,1,5:49.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,15,12
41,1,5:48.0,,Defensive rebound by T. Gibson,15,12
42,1,5:38.0,,J. Butler misses 3-pt jump shot from 24 ft,15,12
43,1,5:37.0,Defensive rebound by M. Kidd-Gilchrist,,15,12
44,1,5:32.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,15,12
45,1,5:31.0,,Defensive rebound by M. Dunleavy,15,12
46,1,5:27.0,,Personal foul by M. Williams (drawn by T. Gibson),15,12
47,1,5:27.0,,Chicago full timeout,15,12
48,1,5:27.0,J. Maxiell enters the game for M. Williams,,15,12
49,1,5:22.0,,Personal foul by J. Maxiell (drawn by M. Dunleavy),15,12
50,1,5:13.0,,M. Dunleavy misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),15,12
51,1,5:13.0,,Offensive rebound by T. Gibson,15,12
52,1,5:13.0,Offensive charge foul by T. Gibson (drawn by M. Kidd-Gilchrist),,15,12
53,1,5:13.0,,Turnover by T. Gibson (offensive foul),15,12
54,1,5:00.0,Turnover by A. Jefferson (bad pass; steal by T. Gibson),,15,12
55,1,4:47.0,,J. Butler makes 2-pt layup from 1 ft,15,14
56,1,4:21.0,A. Jefferson misses 2-pt jump shot from 7 ft,,15,14
57,1,4:17.0,Offensive rebound by J. Maxiell,,15,14
58,1,4:17.0,J. Maxiell misses 2-pt tip-in from 1 ft,,15,14
59,1,4:16.0,,Defensive rebound by M. Dunleavy,15,14
60,1,4:14.0,,P. Gasol misses 2-pt hook shot from 2 ft,15,14
61,1,4:11.0,Defensive rebound by G. Henderson,,15,14
62,1,4:04.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by P. Gasol),,15,14
63,1,4:04.0,Offensive rebound by Team,,15,14
64,1,4:04.0,,N. Mirotić enters the game for T. Gibson,15,14
65,1,4:04.0,,T. Snell enters the game for J. Butler,15,14
66,1,4:04.0,M. Williams enters the game for A. Jefferson,,15,14
67,1,4:04.0,B. Biyombo enters the game for G. Henderson,,15,14
68,1,4:02.0,K. Walker misses 2-pt jump shot from 12 ft,,15,14
69,1,4:01.0,,Defensive rebound by P. Gasol,15,14
70,1,3:48.0,,N. Mirotić misses 2-pt layup from 1 ft,15,14
71,1,3:48.0,,Offensive rebound by Team,15,14
72,1,3:48.0,,K. Hinrich enters the game for M. Dunleavy,15,14
73,1,3:44.0,,P. Gasol makes 2-pt layup from 1 ft (assist by N. Mirotić),15,16
74,1,3:28.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,15,16
75,1,3:27.0,Offensive rebound by J. Maxiell,,15,16
76,1,3:27.0,J. Maxiell misses 2-pt tip-in from 1 ft,,15,16
77,1,3:26.0,,Defensive rebound by N. Mirotić,15,16
78,1,3:20.0,Violation by B. Biyombo (def goaltending),,15,16
79,1,3:20.0,,A. Brooks makes 2-pt layup at rim,15,18
80,1,3:04.0,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Williams),,18,18
81,1,2:43.0,,Personal foul by B. Biyombo (drawn by P. Gasol),18,18
82,1,2:43.0,Charlotte full timeout,,18,18
83,1,2:27.0,,P. Gasol makes 2-pt jump shot from 13 ft,18,20
84,1,2:07.0,Shooting block foul by T. Snell (drawn by M. Kidd-Gilchrist),,18,20
85,1,2:07.0,M. Kidd-Gilchrist misses free throw 1 of 2,,18,20
86,1,2:07.0,Offensive rebound by Team,,18,20
87,1,2:07.0,L. Stephenson enters the game for K. Walker,,18,20
88,1,2:07.0,M. Kidd-Gilchrist makes free throw 2 of 2,,19,20
89,1,1:55.0,,N. Mirotić makes 2-pt jump shot from 20 ft (assist by A. Brooks),19,22
90,1,1:36.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,22,22
91,1,1:23.0,,Shooting foul by J. Maxiell (drawn by N. Mirotić),22,22
92,1,1:23.0,,N. Mirotić makes free throw 1 of 2,22,23
93,1,1:23.0,,N. Mirotić makes free throw 2 of 2,22,24
94,1,1:06.0,J. Maxiell misses 2-pt jump shot from 18 ft,,22,24
95,1,1:05.0,,Defensive rebound by N. Mirotić,22,24
96,1,0:58.0,,Shooting foul by J. Maxiell (drawn by N. Mirotić),22,24
97,1,0:58.0,,N. Mirotić makes free throw 1 of 3,22,25
98,1,0:58.0,,N. Mirotić makes free throw 2 of 3,22,26
99,1,0:58.0,M. Williams enters the game for J. Maxiell,,22,26
100,1,0:58.0,,N. Mirotić makes free throw 3 of 3,22,27
101,1,0:49.0,L. Stephenson makes 2-pt jump shot from 15 ft,,24,27
102,1,0:41.0,,Def 3 sec tech foul by B. Biyombo,24,27
