,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,,E. Freedom misses 2-pt jump shot from 16 ft,0,0
1,1,11:46.0,Defensive rebound by T. Duncan,,0,0
2,1,11:27.0,T. Parker misses 2-pt jump shot from 17 ft,,0,0
3,1,11:26.0,,Defensive rebound by S. Adams,0,0
4,1,11:09.0,,D. Waiters misses 2-pt jump shot from 17 ft,0,0
5,1,11:07.0,Defensive rebound by D. Green,,0,0
6,1,10:57.0,Turnover by T. Duncan (bad pass; steal by E. Freedom),,0,0
7,1,10:53.0,,Shooting foul by D. Green (drawn by K. Singler),0,0
8,1,10:53.0,,K. Singler misses free throw 1 of 2,0,0
9,1,10:53.0,,Offensive rebound by Team,0,0
10,1,10:53.0,,K. Singler misses free throw 2 of 2,0,0
11,1,10:53.0,Defensive rebound by K. Leonard,,0,0
12,1,10:31.0,K. Leonard makes 3-pt jump shot from 24 ft (assist by D. Green),,3,0
13,1,10:16.0,,Turnover by K. Singler (lost ball; steal by K. Leonard),3,0
14,1,10:13.0,K. Leonard makes 2-pt dunk at rim,,5,0
15,1,9:57.0,,D. Waiters misses 3-pt jump shot from 24 ft,5,0
16,1,9:56.0,Defensive rebound by T. Duncan,,5,0
17,1,9:54.0,Turnover by T. Duncan (bad pass; steal by R. Westbrook),,5,0
18,1,9:41.0,,S. Adams misses 2-pt layup from 1 ft,5,0
19,1,9:41.0,Defensive rebound by Team,,5,0
20,1,9:19.0,T. Parker misses 3-pt jump shot from 22 ft,,5,0
21,1,9:17.0,Offensive rebound by A. Baynes,,5,0
22,1,9:17.0,A. Baynes misses 2-pt tip-in at rim,,5,0
23,1,9:15.0,,Defensive rebound by R. Westbrook,5,0
24,1,9:11.0,,R. Westbrook misses 2-pt jump shot from 13 ft,5,0
25,1,9:10.0,,Offensive rebound by E. Freedom,5,0
26,1,9:09.0,,E. Freedom makes 2-pt layup from 1 ft,5,2
27,1,8:50.0,A. Baynes misses 2-pt jump shot from 3 ft,,5,2
28,1,8:49.0,,Defensive rebound by K. Singler,5,2
29,1,8:31.0,,K. Singler misses 3-pt jump shot from 22 ft,5,2
30,1,8:29.0,,Offensive rebound by E. Freedom,5,2
31,1,8:24.0,,E. Freedom misses 2-pt jump shot from 7 ft,5,2
32,1,8:23.0,Defensive rebound by D. Green,,5,2
33,1,8:12.0,Personal foul by R. Westbrook (drawn by K. Leonard),,5,2
34,1,8:06.0,K. Leonard misses 2-pt jump shot from 15 ft,,5,2
35,1,8:05.0,,Defensive rebound by K. Singler,5,2
36,1,7:59.0,,S. Adams misses 2-pt layup from 2 ft (block by T. Duncan),5,2
37,1,7:59.0,,Offensive rebound by Team,5,2
38,1,7:59.0,,Turnover by D. Waiters (bad pass),5,2
39,1,7:42.0,T. Duncan misses 2-pt jump shot from 19 ft,,5,2
40,1,7:41.0,,Defensive rebound by R. Westbrook,5,2
41,1,7:35.0,,R. Westbrook makes 2-pt jump shot from 17 ft,5,4
42,1,7:18.0,T. Duncan makes 2-pt jump shot from 9 ft (assist by T. Parker),,7,4
43,1,7:05.0,,Shooting foul by K. Leonard (drawn by K. Singler),7,4
44,1,7:05.0,,K. Singler misses free throw 1 of 2,7,4
45,1,7:05.0,,Offensive rebound by Team,7,4
46,1,7:05.0,,K. Singler makes free throw 2 of 2,7,5
47,1,6:57.0,K. Leonard makes 2-pt dunk at rim (assist by T. Duncan),,9,5
48,1,6:42.0,,E. Freedom misses 2-pt layup from 2 ft (block by T. Duncan),9,5
49,1,6:42.0,Defensive rebound by Team,,9,5
50,1,6:22.0,T. Parker misses 2-pt layup from 1 ft,,9,5
