,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
53,1,4:32.0,A. Afflalo misses 2-pt jump shot from 14 ft,,18,16
54,1,4:32.0,,Defensive rebound by D. Cousins,18,16
55,1,4:23.0,,B. McLemore misses 3-pt jump shot from 23 ft,18,16
56,1,4:21.0,Defensive rebound by K. Faried,,18,16
57,1,4:13.0,D. Arthur makes 2-pt jump shot from 14 ft (assist by A. Afflalo),,20,16
58,1,3:54.0,,Turnover by D. Cousins (lost ball; steal by J. Hickson),20,16
59,1,3:52.0,Shooting foul by B. McLemore (drawn by K. Faried),,20,16
60,1,3:52.0,K. Faried misses free throw 1 of 2,,20,16
61,1,3:52.0,Offensive rebound by Team,,20,16
62,1,3:52.0,,N. Stauskas enters the game for B. McLemore,20,16
63,1,3:52.0,K. Faried makes free throw 2 of 2,,21,16
64,1,3:39.0,,D. Collison makes 2-pt jump shot from 20 ft,21,18
65,1,3:30.0,Shooting foul by D. Collison (drawn by T. Lawson),,21,18
66,1,3:30.0,T. Lawson makes free throw 1 of 2,,22,18
67,1,3:30.0,,C. Landry enters the game for D. Cousins,22,18
68,1,3:30.0,T. Lawson misses free throw 2 of 2,,22,18
69,1,3:27.0,Offensive rebound by J. Hickson,,22,18
70,1,3:27.0,J. Hickson makes 2-pt dunk at rim,,24,18
71,1,3:16.0,,J. Thompson makes 2-pt dunk at rim (assist by D. Collison),24,20
72,1,3:00.0,,Violation by R. Gay (def goaltending),24,20
73,1,3:00.0,J. Hickson makes 2-pt hook shot from 3 ft,,26,20
74,1,2:43.0,,C. Landry misses 2-pt jump shot from 18 ft,26,20
75,1,2:43.0,Defensive rebound by K. Faried,,26,20
76,1,2:28.0,J. Hickson misses 2-pt hook shot from 9 ft,,26,20
77,1,2:28.0,,Defensive rebound by Team,26,20
78,1,2:28.0,Loose ball foul by K. Faried (drawn by J. Thompson),,26,20
79,1,2:28.0,Denver full timeout,,26,20
80,1,2:28.0,A. Gee enters the game for K. Faried,,26,20
81,1,2:11.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by C. Landry),26,23
82,1,1:51.0,A. Afflalo makes 2-pt jump shot from 7 ft,,28,23
83,1,1:29.0,,R. Gay makes 2-pt jump shot from 17 ft (assist by D. Collison),28,25
84,1,1:10.0,A. Afflalo misses 2-pt jump shot from 16 ft,,28,25
85,1,1:07.0,,Defensive rebound by C. Landry,28,25
86,1,0:58.0,,R. Gay misses 2-pt jump shot from 14 ft,28,25
87,1,0:57.0,Defensive rebound by A. Afflalo,,28,25
88,1,0:48.0,A. Gee misses 3-pt jump shot from 22 ft,,28,25
89,1,0:45.0,,Defensive rebound by D. Collison,28,25
90,1,0:36.0,,N. Stauskas makes 2-pt layup from 2 ft (assist by D. Collison),28,27
91,1,0:26.0,J. Hickson misses 2-pt jump shot from 8 ft,,28,27
92,1,0:24.0,,Defensive rebound by R. Gay,28,27
93,1,0:24.0,,Turnover by R. Gay (lost ball; steal by D. Arthur),28,27
94,1,0:04.0,T. Lawson makes 2-pt layup from 2 ft,,30,27
95,1,0:00.0,,D. Collison misses 3-pt jump shot from 25 ft,30,27
96,1,0:00.0,,Offensive rebound by Team,30,27
97,2,11:41.0,J. Hickson misses 2-pt jump shot from 13 ft,,30,27
98,2,11:40.0,Offensive rebound by A. Gee,,30,27
99,2,11:40.0,A. Gee misses 2-pt dunk from 2 ft,,30,27
100,2,11:38.0,,Defensive rebound by D. Williams,30,27
101,2,11:18.0,,D. Cousins misses 2-pt jump shot from 20 ft,30,27
102,2,11:17.0,Defensive rebound by D. Arthur,,30,27
103,2,11:07.0,D. Arthur makes 2-pt jump shot from 17 ft (assist by N. Robinson),,32,27
104,2,10:57.0,,Shooting foul by J. Hickson (drawn by D. Cousins),32,27
105,2,10:57.0,,D. Cousins makes free throw 1 of 2,32,28
106,2,10:57.0,,D. Cousins makes free throw 2 of 2,32,29
107,2,10:44.0,G. Harris makes 2-pt jump shot from 20 ft (assist by N. Robinson),,34,29
108,2,10:23.0,,N. Stauskas misses 3-pt jump shot from 25 ft,34,29
109,2,10:23.0,Defensive rebound by A. Gee,,34,29
110,2,10:18.0,Turnover by N. Robinson (bad pass),,34,29
111,2,10:08.0,,Personal foul by J. Hickson (drawn by D. Cousins),34,29
112,2,9:58.0,,C. Landry makes 2-pt jump shot from 20 ft (assist by D. Cousins),34,31
113,2,9:39.0,A. Gee misses 2-pt jump shot from 3 ft (block by D. Cousins),,34,31
114,2,9:39.0,,Defensive rebound by Team,34,31
115,2,9:35.0,,Turnover by D. Cousins (bad pass; steal by G. Harris),34,31
116,2,9:29.0,Shooting foul by D. Cousins (drawn by N. Robinson),,34,31
117,2,9:29.0,N. Robinson misses free throw 1 of 2,,34,31
118,2,9:29.0,Offensive rebound by Team,,34,31
119,2,9:29.0,N. Robinson misses free throw 2 of 2,,34,31
