,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
0,1,11:36.0,N. Peković misses 2-pt hook shot from 3 ft (block by A. Horford),,0,0
1,1,11:36.0,Offensive rebound by Team,,0,0
2,1,11:34.0,Turnover by Team (shot clock),,0,0
3,1,11:20.0,,A. Horford makes 2-pt dunk at rim (assist by P. Millsap),0,2
4,1,10:58.0,A. Wiggins makes 2-pt jump shot from 8 ft,,2,2
5,1,10:52.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),2,4
6,1,10:31.0,G. Dieng misses 2-pt jump shot from 16 ft,,2,4
7,1,10:30.0,Offensive rebound by T. Young,,2,4
8,1,10:25.0,M. Williams makes 3-pt jump shot from 25 ft (assist by T. Young),,5,4
9,1,10:19.0,,Turnover by J. Teague (bad pass),5,4
10,1,10:05.0,Turnover by T. Young (lost ball; steal by P. Millsap),,5,4
11,1,9:59.0,,P. Millsap misses 2-pt layup from 1 ft,5,4
12,1,9:58.0,Defensive rebound by A. Wiggins,,5,4
13,1,9:44.0,N. Peković misses 2-pt layup from 1 ft (block by A. Horford),,5,4
14,1,9:40.0,,Defensive rebound by P. Millsap,5,4
15,1,9:37.0,,D. Carroll makes 2-pt jump shot from 13 ft (assist by K. Korver),5,6
16,1,9:12.0,T. Young misses 3-pt jump shot from 22 ft,,5,6
17,1,9:11.0,,Defensive rebound by K. Korver,5,6
18,1,8:50.0,,J. Teague misses 2-pt jump shot from 11 ft (block by A. Wiggins),5,6
19,1,8:48.0,Defensive rebound by A. Wiggins,,5,6
20,1,8:37.0,T. Young misses 3-pt jump shot from 24 ft,,5,6
21,1,8:36.0,,Defensive rebound by J. Teague,5,6
22,1,8:30.0,,D. Carroll misses 3-pt jump shot from 24 ft,5,6
23,1,8:28.0,Defensive rebound by N. Peković,,5,6
24,1,8:18.0,N. Peković makes 2-pt layup at rim (assist by M. Williams),,7,6
25,1,8:08.0,,K. Korver misses 3-pt jump shot from 24 ft,7,6
26,1,8:07.0,Defensive rebound by M. Williams,,7,6
27,1,7:55.0,A. Wiggins misses 2-pt jump shot from 21 ft,,7,6
28,1,7:52.0,,Defensive rebound by A. Horford,7,6
29,1,7:41.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by P. Millsap),7,8
30,1,7:40.0,Minnesota full timeout,,7,8
31,1,7:19.0,A. Wiggins makes 2-pt layup from 1 ft,,9,8
32,1,7:02.0,,J. Teague misses 3-pt jump shot from 22 ft,9,8
33,1,7:00.0,Defensive rebound by G. Dieng,,9,8
34,1,6:47.0,G. Dieng makes 2-pt dunk at rim (assist by T. Young),,11,8
35,1,6:27.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by D. Carroll),11,11
36,1,6:06.0,Shooting foul by P. Millsap (drawn by N. Peković),,11,11
37,1,6:06.0,N. Peković makes free throw 1 of 2,,12,11
