,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,M. Gortat misses 2-pt jump shot from 5 ft,0,0
1,1,11:41.0,Defensive rebound by C. Boozer,,0,0
2,1,11:21.0,J. Hill makes 2-pt layup from 1 ft (assist by J. Lin),,2,0
3,1,11:12.0,,P. Pierce makes 2-pt layup at rim (assist by J. Wall),2,2
4,1,10:54.0,J. Lin misses 2-pt jump shot from 17 ft,,2,2
5,1,10:53.0,,Defensive rebound by K. Humphries,2,2
6,1,10:41.0,,K. Humphries makes 2-pt jump shot from 18 ft (assist by P. Pierce),2,4
7,1,10:18.0,K. Bryant makes 2-pt jump shot from 19 ft (assist by J. Lin),,4,4
8,1,10:10.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),4,7
9,1,9:53.0,K. Bryant makes 2-pt jump shot from 18 ft (assist by J. Lin),,6,7
10,1,9:40.0,,B. Beal misses 2-pt jump shot from 21 ft,6,7
11,1,9:38.0,Defensive rebound by J. Lin,,6,7
12,1,9:26.0,K. Bryant misses 2-pt jump shot from 18 ft,,6,7
13,1,9:25.0,Offensive rebound by J. Hill,,6,7
14,1,9:23.0,Shooting foul by J. Wall (drawn by J. Hill),,6,7
15,1,9:23.0,J. Hill makes free throw 1 of 2,,7,7
16,1,9:23.0,J. Hill makes free throw 2 of 2,,8,7
17,1,9:08.0,,P. Pierce misses 2-pt jump shot from 17 ft,8,7
18,1,9:07.0,Defensive rebound by W. Johnson,,8,7
19,1,8:57.0,C. Boozer makes 2-pt jump shot from 16 ft,,10,7
20,1,8:41.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),10,9
21,1,8:27.0,J. Lin misses 3-pt jump shot from 27 ft,,10,9
22,1,8:26.0,,Defensive rebound by M. Gortat,10,9
23,1,8:18.0,,P. Pierce misses 3-pt jump shot from 26 ft,10,9
24,1,8:17.0,Defensive rebound by W. Johnson,,10,9
25,1,8:04.0,C. Boozer misses 2-pt jump shot from 14 ft (block by K. Humphries),,10,9
26,1,8:00.0,,Defensive rebound by K. Humphries,10,9
27,1,7:58.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),10,11
28,1,7:58.0,,Shooting foul by C. Boozer (drawn by M. Gortat),10,11
29,1,7:58.0,,M. Gortat makes free throw 1 of 1,10,12
30,1,7:53.0,Turnover by J. Lin (bad pass; steal by B. Beal),,10,12
31,1,7:48.0,,B. Beal makes 2-pt dunk at rim,10,14
32,1,7:29.0,W. Johnson misses 3-pt jump shot from 24 ft,,10,14
33,1,7:28.0,,Defensive rebound by K. Humphries,10,14
34,1,7:22.0,,J. Wall makes 2-pt jump shot from 16 ft,10,16
35,1,7:06.0,J. Lin misses 2-pt jump shot from 7 ft,,10,16
36,1,7:05.0,Offensive rebound by J. Lin,,10,16
37,1,6:59.0,C. Boozer makes 2-pt layup from 1 ft (assist by J. Lin),,12,16
38,1,6:49.0,,J. Wall misses 3-pt jump shot from 27 ft,12,16
39,1,6:48.0,Defensive rebound by C. Boozer,,12,16
40,1,6:32.0,W. Johnson makes 3-pt jump shot from 25 ft,,15,16
41,1,6:17.0,,Turnover by K. Humphries (bad pass; steal by W. Johnson),15,16
42,1,6:08.0,J. Lin misses 3-pt jump shot from 26 ft,,15,16
43,1,6:07.0,,Defensive rebound by K. Humphries,15,16
44,1,6:02.0,,Turnover by J. Wall (bad pass),15,16
45,1,6:02.0,E. Davis enters the game for C. Boozer,,15,16
46,1,5:47.0,Turnover by K. Bryant (bad pass),,15,16
47,1,5:47.0,,Washington full timeout,15,16
48,1,5:29.0,,B. Beal makes 2-pt layup from 2 ft,15,18
49,1,5:13.0,K. Bryant misses 2-pt jump shot from 18 ft,,15,18
50,1,5:12.0,,Defensive rebound by K. Humphries,15,18
51,1,5:00.0,,B. Beal misses 2-pt jump shot from 12 ft,15,18
52,1,4:59.0,Defensive rebound by J. Lin,,15,18
53,1,4:55.0,K. Bryant misses 2-pt layup at rim,,15,18
54,1,4:52.0,,Defensive rebound by P. Pierce,15,18
55,1,4:47.0,,B. Beal misses 3-pt jump shot from 22 ft,15,18
56,1,4:45.0,,Offensive rebound by K. Humphries,15,18
57,1,4:41.0,,J. Wall misses 3-pt jump shot from 25 ft,15,18
58,1,4:39.0,,Offensive rebound by B. Beal,15,18
59,1,4:28.0,,J. Wall misses 3-pt jump shot from 25 ft,15,18
60,1,4:27.0,Defensive rebound by Team,,15,18
61,1,4:26.0,,R. Butler enters the game for P. Pierce,15,18
62,1,4:15.0,J. Lin misses 2-pt jump shot from 16 ft,,15,18
63,1,4:13.0,Offensive rebound by E. Davis,,15,18
64,1,4:06.0,K. Bryant makes 2-pt jump shot from 18 ft,,17,18
65,1,3:48.0,,M. Gortat misses 2-pt jump shot from 12 ft,17,18
66,1,3:47.0,Defensive rebound by E. Davis,,17,18
67,1,3:39.0,Shooting foul by M. Gortat (drawn by E. Davis),,17,18
68,1,3:39.0,E. Davis misses free throw 1 of 2,,17,18
69,1,3:39.0,Offensive rebound by Team,,17,18
70,1,3:39.0,R. Price enters the game for W. Johnson,,17,18
71,1,3:39.0,N. Young enters the game for J. Hill,,17,18
72,1,3:39.0,R. Sacre enters the game for J. Lin,,17,18
73,1,3:39.0,,D. Gooden enters the game for K. Humphries,17,18
74,1,3:39.0,E. Davis makes free throw 2 of 2,,18,18
75,1,3:24.0,,M. Gortat makes 2-pt layup at rim (assist by B. Beal),18,20
76,1,3:16.0,,Violation by J. Wall (kicked ball),18,20
77,1,3:06.0,K. Bryant misses 2-pt jump shot from 16 ft,,18,20
78,1,3:05.0,,Defensive rebound by R. Butler,18,20
79,1,2:59.0,,J. Wall makes 2-pt jump shot from 15 ft,18,22
80,1,2:39.0,N. Young misses 2-pt jump shot from 3 ft,,18,22
81,1,2:38.0,,Defensive rebound by R. Butler,18,22
82,1,2:30.0,,D. Gooden misses 3-pt jump shot from 25 ft,18,22
83,1,2:29.0,Defensive rebound by E. Davis,,18,22
84,1,2:09.0,K. Bryant makes 2-pt jump shot from 11 ft,,20,22
85,1,2:09.0,Shooting foul by B. Beal (drawn by K. Bryant),,20,22
86,1,2:09.0,LA Lakers full timeout,,20,22
87,1,2:09.0,K. Bryant makes free throw 1 of 1,,21,22
88,1,1:59.0,,Offensive foul by D. Gooden (drawn by R. Price),21,22
89,1,1:59.0,,Turnover by D. Gooden (offensive foul),21,22
90,1,1:59.0,,O. Porter enters the game for B. Beal,21,22
91,1,1:42.0,K. Bryant makes 3-pt jump shot from 24 ft,,24,22
92,1,1:28.0,,M. Gortat misses 2-pt jump shot from 7 ft,24,22
93,1,1:27.0,Defensive rebound by E. Davis,,24,22
94,1,1:16.0,K. Bryant makes 3-pt jump shot from 27 ft,,27,22
95,1,1:00.0,,R. Butler makes 3-pt jump shot from 25 ft (assist by J. Wall),27,25
96,1,0:49.0,K. Bryant misses 3-pt jump shot from 26 ft,,27,25
97,1,0:48.0,Offensive rebound by E. Davis,,27,25
98,1,0:48.0,E. Davis makes 2-pt layup from 2 ft,,29,25
99,1,0:48.0,Shooting foul by O. Porter (drawn by E. Davis),,29,25
100,1,0:48.0,W. Ellington enters the game for K. Bryant,,29,25
101,1,0:48.0,,K. Séraphin enters the game for M. Gortat,29,25
102,1,0:48.0,E. Davis makes free throw 1 of 1,,30,25
103,1,0:39.0,,Def 3 sec tech foul by R. Sacre,30,25
104,1,0:39.0,,J. Wall misses technical free throw,30,25
105,1,0:39.0,,Offensive rebound by Team,30,25
106,1,0:28.0,,Shooting foul by R. Price (drawn by J. Wall),30,25
