,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
0,1,11:45.0,W. Johnson misses 3-pt jump shot from 25 ft,,0,0
1,1,11:45.0,,Defensive rebound by Team,0,0
2,1,11:24.0,,S. Hill misses 3-pt jump shot from 25 ft,0,0
3,1,11:23.0,Defensive rebound by W. Johnson,,0,0
4,1,11:04.0,K. Bryant misses 2-pt jump shot from 21 ft,,0,0
5,1,11:03.0,,Defensive rebound by R. Hibbert,0,0
6,1,10:54.0,,R. Stuckey makes 2-pt layup from 2 ft,0,2
7,1,10:42.0,Turnover by K. Bryant (bad pass; steal by S. Hill),,0,2
8,1,10:36.0,,S. Hill misses 2-pt dunk at rim,0,2
9,1,10:36.0,,Offensive rebound by Team,0,2
10,1,10:36.0,Loose ball foul by E. Davis (drawn by R. Hibbert),,0,2
11,1,10:25.0,,D. West makes 2-pt jump shot from 17 ft (assist by C. Watson),0,4
12,1,10:05.0,K. Bryant makes 2-pt jump shot from 17 ft (assist by W. Johnson),,2,4
13,1,9:45.0,,R. Hibbert misses 2-pt hook shot from 10 ft,2,4
14,1,9:44.0,,Offensive rebound by Team,2,4
15,1,9:33.0,,R. Hibbert makes 2-pt dunk from 1 ft (assist by R. Stuckey),2,6
16,1,9:19.0,K. Bryant misses 2-pt jump shot from 17 ft,,2,6
17,1,9:18.0,,Defensive rebound by R. Hibbert,2,6
18,1,9:09.0,,Turnover by R. Stuckey (bad pass; steal by E. Davis),2,6
19,1,8:48.0,R. Price misses 2-pt layup from 3 ft,,2,6
20,1,8:47.0,,Defensive rebound by S. Hill,2,6
21,1,8:42.0,,C. Watson makes 2-pt layup at rim (assist by S. Hill),2,8
22,1,8:21.0,J. Hill misses 2-pt jump shot from 18 ft,,2,8
23,1,8:20.0,,Defensive rebound by S. Hill,2,8
24,1,8:14.0,,R. Stuckey makes 2-pt layup from 2 ft,2,10
25,1,7:54.0,K. Bryant misses 2-pt jump shot from 16 ft,,2,10
26,1,7:53.0,,Defensive rebound by R. Stuckey,2,10
27,1,7:50.0,,Shooting foul by E. Davis (drawn by R. Stuckey),2,10
28,1,7:50.0,,R. Stuckey makes free throw 1 of 2,2,11
29,1,7:50.0,C. Boozer enters the game for E. Davis,,2,11
30,1,7:50.0,,R. Stuckey makes free throw 2 of 2,2,12
31,1,7:47.0,LA Lakers full timeout,,2,12
32,1,7:34.0,C. Boozer misses 2-pt jump shot from 17 ft,,2,12
33,1,7:33.0,,Defensive rebound by R. Stuckey,2,12
34,1,7:24.0,,D. West makes 2-pt jump shot from 14 ft (assist by R. Stuckey),2,14
35,1,6:58.0,R. Price makes 2-pt layup from 2 ft,,4,14
36,1,6:41.0,,R. Hibbert makes 2-pt jump shot from 6 ft (assist by C. Watson),4,16
37,1,6:23.0,Turnover by W. Johnson (bad pass; steal by C. Watson),,4,16
38,1,6:18.0,,R. Stuckey misses 2-pt layup from 3 ft (block by W. Johnson),4,16
39,1,6:17.0,,Offensive rebound by D. West,4,16
40,1,6:16.0,,Shooting foul by R. Price (drawn by C. Watson),4,16
41,1,6:16.0,,C. Watson makes free throw 1 of 2,4,17
42,1,6:16.0,,C. Watson makes free throw 2 of 2,4,18
43,1,5:59.0,J. Hill misses 2-pt hook shot from 5 ft,,4,18
44,1,5:58.0,,Defensive rebound by D. West,4,18
45,1,5:53.0,Violation by W. Johnson (kicked ball),,4,18
46,1,5:47.0,,R. Hibbert misses 2-pt hook shot from 6 ft,4,18
47,1,5:46.0,,Offensive rebound by D. West,4,18
48,1,5:45.0,,D. West makes 2-pt jump shot from 5 ft,4,20
49,1,5:30.0,K. Bryant misses 3-pt jump shot from 25 ft,,4,20
50,1,5:29.0,,Defensive rebound by R. Hibbert,4,20
51,1,5:21.0,,Shooting foul by R. Price (drawn by C. Watson),4,20
52,1,5:21.0,,C. Watson makes free throw 1 of 2,4,21
53,1,5:21.0,J. Lin enters the game for W. Johnson,,4,21
54,1,5:21.0,R. Sacre enters the game for J. Hill,,4,21
55,1,5:21.0,N. Young enters the game for R. Price,,4,21
56,1,5:21.0,,C. Watson misses free throw 2 of 2,4,21
57,1,5:21.0,Defensive rebound by C. Boozer,,4,21
58,1,5:09.0,Personal foul by R. Stuckey (drawn by N. Young),,4,21
59,1,5:00.0,C. Boozer misses 2-pt jump shot from 15 ft,,4,21
60,1,4:59.0,,Defensive rebound by R. Stuckey,4,21
61,1,4:53.0,,R. Stuckey misses 2-pt jump shot from 4 ft,4,21
62,1,4:52.0,Defensive rebound by C. Boozer,,4,21
63,1,4:45.0,N. Young misses 3-pt jump shot from 26 ft,,4,21
64,1,4:42.0,,Defensive rebound by S. Hill,4,21
65,1,4:30.0,,R. Hibbert makes 2-pt layup from 2 ft (assist by R. Stuckey),4,23
66,1,4:15.0,Turnover by C. Boozer (lost ball; steal by S. Hill),,4,23
67,1,4:09.0,,R. Stuckey misses 2-pt layup from 2 ft,4,23
68,1,4:08.0,,Offensive rebound by S. Hill,4,23
69,1,4:06.0,,Shooting foul by K. Bryant (drawn by R. Stuckey),4,23
70,1,4:06.0,,R. Stuckey misses free throw 1 of 2,4,23
71,1,4:06.0,,Offensive rebound by Team,4,23
72,1,4:06.0,,L. Allen enters the game for R. Hibbert,4,23
73,1,4:06.0,,R. Stuckey makes free throw 2 of 2,4,24
74,1,3:54.0,R. Sacre misses 2-pt hook shot from 11 ft,,4,24
75,1,3:52.0,Offensive rebound by C. Boozer,,4,24
76,1,3:52.0,C. Boozer misses 2-pt tip-in from 1 ft,,4,24
77,1,3:51.0,,Defensive rebound by D. West,4,24
78,1,3:36.0,,S. Hill misses 2-pt jump shot from 10 ft,4,24
79,1,3:35.0,Defensive rebound by R. Sacre,,4,24
80,1,3:24.0,J. Lin misses 2-pt layup from 2 ft,,4,24
81,1,3:23.0,,Defensive rebound by L. Allen,4,24
82,1,3:14.0,,L. Allen misses 2-pt jump shot from 19 ft,4,24
83,1,3:13.0,Defensive rebound by C. Boozer,,4,24
84,1,2:58.0,J. Lin misses 3-pt jump shot from 25 ft,,4,24
85,1,2:57.0,,Defensive rebound by R. Stuckey,4,24
86,1,2:51.0,,Indiana full timeout,4,24
87,1,2:51.0,,C. Miles enters the game for R. Stuckey,4,24
88,1,2:36.0,,D. West misses 2-pt jump shot from 15 ft,4,24
89,1,2:35.0,Defensive rebound by R. Sacre,,4,24
90,1,2:28.0,K. Bryant misses 2-pt jump shot from 11 ft,,4,24
91,1,2:27.0,,Defensive rebound by D. West,4,24
92,1,2:22.0,,C. Miles makes 2-pt layup from 1 ft,4,26
