,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,,I. Canaan misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,Defensive rebound by R. Gay,,0,0
2,1,11:32.0,D. Cousins makes 2-pt layup from 1 ft (assist by R. McCallum),,2,0
3,1,11:19.0,,N. Noel makes 2-pt dunk at rim (assist by J. Sampson),2,2
4,1,11:03.0,D. Cousins makes 2-pt layup at rim (assist by R. McCallum),,4,2
5,1,10:49.0,,R. Covington makes 2-pt jump shot from 17 ft (assist by L. Mbah a Moute),4,4
6,1,10:38.0,Turnover by D. Cousins (bad pass),,4,4
7,1,10:24.0,,N. Noel misses 2-pt layup from 2 ft,4,4
8,1,10:24.0,Defensive rebound by Team,,4,4
9,1,10:13.0,Offensive foul by D. Cousins (drawn by L. Mbah a Moute),,4,4
10,1,10:13.0,Turnover by D. Cousins (offensive foul),,4,4
11,1,10:01.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by N. Noel),4,7
12,1,9:36.0,R. McCallum makes 3-pt jump shot from 24 ft,,7,7
13,1,9:20.0,,N. Noel misses 2-pt hook shot from 3 ft,7,7
14,1,9:18.0,Defensive rebound by C. Landry,,7,7
15,1,9:10.0,R. Gay makes 3-pt jump shot from 25 ft,,10,7
16,1,8:50.0,,J. Sampson misses 3-pt jump shot from 25 ft,10,7
17,1,8:49.0,,Offensive rebound by J. Sampson,10,7
18,1,8:47.0,,J. Sampson makes 2-pt dunk at rim,10,9
19,1,8:25.0,B. McLemore misses 2-pt jump shot from 14 ft,,10,9
20,1,8:22.0,,Defensive rebound by N. Noel,10,9
21,1,8:16.0,,J. Sampson makes 2-pt layup from 1 ft (assist by I. Canaan),10,11
22,1,8:03.0,D. Cousins makes 2-pt dunk at rim,,12,11
23,1,7:53.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Canaan),12,14
24,1,7:37.0,R. Gay misses 2-pt hook shot from 4 ft,,12,14
