,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:46.0,P. Pierce makes 2-pt layup from 1 ft (assist by J. Wall),,2,0
1,1,11:36.0,,Shooting foul by P. Pierce (drawn by L. James),2,0
2,1,11:36.0,,L. James makes free throw 1 of 2,2,1
3,1,11:36.0,,L. James makes free throw 2 of 2,2,2
4,1,11:22.0,Turnover by K. Humphries (bad pass; steal by S. Marion),,2,2
5,1,11:16.0,,L. James misses 3-pt jump shot from 25 ft,2,2
6,1,11:14.0,,Offensive rebound by K. Love,2,2
7,1,10:59.0,,Shooting foul by K. Humphries (drawn by L. James),2,2
8,1,10:59.0,,L. James makes free throw 1 of 2,2,3
9,1,10:59.0,,L. James makes free throw 2 of 2,2,4
10,1,10:45.0,M. Gortat makes 2-pt hook shot from 4 ft (assist by B. Beal),,4,4
11,1,10:23.0,,A. Varejão makes 2-pt jump shot from 17 ft (assist by L. James),4,6
12,1,10:09.0,M. Gortat makes 2-pt jump shot from 4 ft (assist by P. Pierce),,6,6
13,1,9:42.0,,L. James misses 3-pt jump shot from 23 ft,6,6
14,1,9:41.0,Defensive rebound by K. Humphries,,6,6
15,1,9:33.0,B. Beal misses 3-pt jump shot from 26 ft,,6,6
16,1,9:32.0,,Defensive rebound by A. Varejão,6,6
17,1,9:22.0,,A. Varejão makes 2-pt dunk at rim (assist by K. Irving),6,8
18,1,8:58.0,K. Humphries misses 2-pt jump shot from 19 ft,,6,8
19,1,8:54.0,,Defensive rebound by K. Love,6,8
20,1,8:43.0,,A. Varejão makes 2-pt layup from 1 ft (assist by L. James),6,10
21,1,8:27.0,,Violation by K. Love (kicked ball),6,10
22,1,8:19.0,J. Wall makes 3-pt jump shot from 23 ft (assist by M. Gortat),,9,10
23,1,7:58.0,,K. Love misses 2-pt jump shot from 4 ft (block by K. Humphries),9,10
24,1,7:58.0,,Offensive rebound by Team,9,10
25,1,7:55.0,,K. Love misses 3-pt jump shot from 26 ft,9,10
26,1,7:54.0,Defensive rebound by P. Pierce,,9,10
27,1,7:36.0,K. Humphries misses 2-pt jump shot from 17 ft,,9,10
28,1,7:34.0,Offensive rebound by P. Pierce,,9,10
29,1,7:31.0,Turnover by P. Pierce (lost ball; steal by K. Irving),,9,10
30,1,7:20.0,,K. Irving misses 2-pt jump shot from 14 ft,9,10
31,1,7:19.0,Defensive rebound by J. Wall,,9,10
32,1,7:00.0,Personal foul by K. Irving (drawn by K. Humphries),,9,10
33,1,6:46.0,J. Wall misses 2-pt jump shot from 18 ft,,9,10
34,1,6:44.0,,Defensive rebound by L. James,9,10
35,1,6:29.0,,A. Varejão makes 2-pt jump shot from 14 ft (assist by K. Irving),9,12
36,1,6:04.0,Shooting foul by K. Love (drawn by K. Humphries),,9,12
37,1,6:04.0,K. Humphries misses free throw 1 of 2,,9,12
38,1,6:04.0,Offensive rebound by Team,,9,12
39,1,6:04.0,K. Humphries makes free throw 2 of 2,,10,12
40,1,5:38.0,,L. James misses 2-pt jump shot from 18 ft,10,12
41,1,5:36.0,Defensive rebound by Team,,10,12
