,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:41.0,,P. Gasol misses 2-pt jump shot from 18 ft,0,0
1,1,11:38.0,,Offensive rebound by J. Noah,0,0
2,1,11:36.0,,M. Dunleavy misses 2-pt layup from 1 ft,0,0
3,1,11:35.0,,Offensive rebound by J. Noah,0,0
4,1,11:28.0,,T. Snell misses 3-pt jump shot from 25 ft,0,0
5,1,11:27.0,Defensive rebound by T. Thompson,,0,0
6,1,11:15.0,Personal foul by M. Dunleavy (drawn by T. Thompson),,0,0
7,1,11:09.0,T. Mozgov misses 2-pt jump shot from 4 ft (block by J. Noah),,0,0
8,1,11:07.0,Offensive rebound by T. Thompson,,0,0
9,1,11:06.0,T. Thompson makes 2-pt layup from 1 ft,,2,0
10,1,10:53.0,,D. Rose misses 2-pt jump shot from 11 ft,2,0
11,1,10:52.0,Defensive rebound by T. Mozgov,,2,0
12,1,10:47.0,Shooting foul by J. Noah (drawn by L. James),,2,0
13,1,10:47.0,L. James makes 2-pt layup from 1 ft,,4,0
14,1,10:47.0,L. James makes free throw 1 of 1,,5,0
15,1,10:31.0,,P. Gasol misses 2-pt layup from 2 ft,5,0
16,1,10:30.0,Defensive rebound by L. James,,5,0
17,1,10:24.0,Turnover by L. James (bad pass; steal by T. Snell),,5,0
18,1,10:20.0,,P. Gasol makes 2-pt layup from 1 ft (assist by T. Snell),5,2
19,1,10:20.0,,Shooting foul by J. Smith (drawn by P. Gasol),5,2
20,1,10:20.0,,P. Gasol makes free throw 1 of 1,5,3
21,1,10:05.0,L. James makes 3-pt jump shot from 25 ft (assist by T. Thompson),,8,3
22,1,9:54.0,,M. Dunleavy misses 2-pt jump shot from 5 ft,8,3
23,1,9:52.0,Defensive rebound by T. Mozgov,,8,3
24,1,9:45.0,L. James misses 3-pt jump shot from 26 ft,,8,3
25,1,9:44.0,Offensive rebound by T. Mozgov,,8,3
26,1,9:40.0,Turnover by T. Thompson (3 sec),,8,3
27,1,9:30.0,,D. Rose makes 2-pt dunk at rim (assist by J. Noah),8,5
28,1,9:18.0,Turnover by K. Irving (step out of bounds),,8,5
29,1,9:02.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,8,5
30,1,9:00.0,Defensive rebound by T. Mozgov,,8,5
31,1,8:55.0,K. Irving misses 3-pt jump shot from 26 ft,,8,5
32,1,8:54.0,,Defensive rebound by T. Snell,8,5
33,1,8:44.0,,Shooting foul by T. Thompson (drawn by J. Noah),8,5
34,1,8:44.0,,J. Noah makes free throw 1 of 2,8,6
35,1,8:44.0,,J. Noah makes free throw 2 of 2,8,7
36,1,8:26.0,Shooting foul by P. Gasol (drawn by T. Mozgov),,8,7
37,1,8:26.0,T. Mozgov makes free throw 1 of 2,,9,7
38,1,8:26.0,T. Mozgov misses free throw 2 of 2,,9,7
39,1,8:25.0,,Defensive rebound by J. Noah,9,7
40,1,8:10.0,,D. Rose makes 2-pt jump shot from 5 ft,9,9
41,1,7:48.0,L. James misses 2-pt jump shot from 21 ft,,9,9
42,1,7:46.0,,Defensive rebound by M. Dunleavy,9,9
43,1,7:42.0,Violation by K. Irving (kicked ball),,9,9
44,1,7:35.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by D. Rose),9,12
45,1,7:16.0,J. Smith misses 2-pt layup from 1 ft,,9,12
46,1,7:13.0,,Defensive rebound by J. Noah,9,12
47,1,7:01.0,,P. Gasol misses 2-pt hook shot from 4 ft,9,12
48,1,7:00.0,Defensive rebound by T. Mozgov,,9,12
49,1,6:48.0,Turnover by L. James (bad pass; steal by T. Snell),,9,12
50,1,6:44.0,,T. Snell makes 2-pt dunk at rim (assist by M. Dunleavy),9,14
51,1,6:24.0,T. Mozgov makes 2-pt jump shot from 20 ft (assist by K. Irving),,11,14
