,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DETROIT_ACTION,GOLDEN STATE_SCORE,DETROIT_SCORE
0,1,11:43.0,Personal foul by K. Caldwell-Pope (drawn by K. Thompson),,0,0
1,1,11:34.0,D. Green misses 2-pt jump shot from 4 ft (block by A. Drummond),,0,0
2,1,11:33.0,,Defensive rebound by K. Caldwell-Pope,0,0
3,1,11:27.0,,J. Smith misses 2-pt jump shot from 3 ft,0,0
4,1,11:26.0,,Offensive rebound by J. Smith,0,0
5,1,11:24.0,,J. Smith makes 2-pt layup at rim,0,2
6,1,11:19.0,Shooting foul by K. Singler (drawn by S. Curry),,0,2
7,1,11:19.0,S. Curry makes free throw 1 of 2,,1,2
8,1,11:19.0,S. Curry misses free throw 2 of 2,,1,2
9,1,11:18.0,,Defensive rebound by A. Drummond,1,2
10,1,11:04.0,,K. Singler misses 2-pt jump shot from 6 ft,1,2
11,1,11:03.0,Defensive rebound by H. Barnes,,1,2
12,1,10:56.0,H. Barnes misses 2-pt jump shot from 7 ft,,1,2
13,1,10:55.0,,Defensive rebound by A. Drummond,1,2
14,1,10:48.0,,J. Smith misses 2-pt layup at rim,1,2
15,1,10:47.0,,Offensive rebound by J. Smith,1,2
16,1,10:47.0,,J. Smith misses 2-pt tip-in at rim,1,2
17,1,10:47.0,Defensive rebound by A. Bogut,,1,2
18,1,10:47.0,Personal foul by A. Drummond (drawn by A. Bogut),,1,2
19,1,10:30.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,3,2
20,1,10:15.0,,K. Singler makes 2-pt layup from 1 ft (assist by A. Drummond),3,4
21,1,10:15.0,,Shooting foul by H. Barnes (drawn by K. Singler),3,4
22,1,10:15.0,,K. Singler makes free throw 1 of 1,3,5
23,1,10:05.0,K. Thompson misses 2-pt layup at rim,,3,5
24,1,10:04.0,,Defensive rebound by K. Singler,3,5
25,1,9:48.0,,J. Smith makes 2-pt layup at rim (assist by K. Singler),3,7
26,1,9:31.0,A. Bogut misses 2-pt hook shot from 4 ft,,3,7
27,1,9:29.0,,Defensive rebound by B. Jennings,3,7
28,1,9:14.0,,A. Drummond misses 2-pt jump shot from 5 ft,3,7
29,1,9:11.0,Defensive rebound by D. Green,,3,7
30,1,9:06.0,S. Curry misses 3-pt jump shot from 26 ft,,3,7
31,1,9:05.0,,Defensive rebound by K. Singler,3,7
32,1,8:58.0,,B. Jennings makes 2-pt jump shot from 15 ft (assist by K. Singler),3,9
33,1,8:49.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),,6,9
34,1,8:25.0,,Shooting foul by S. Curry (drawn by B. Jennings),6,9
35,1,8:25.0,,B. Jennings makes free throw 1 of 2,6,10
36,1,8:25.0,,B. Jennings makes free throw 2 of 2,6,11
37,1,8:13.0,Turnover by K. Thompson (bad pass; steal by K. Singler),,6,11
38,1,8:09.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by K. Singler),6,13
39,1,7:56.0,K. Thompson makes 2-pt layup at rim,,8,13
40,1,7:38.0,,J. Smith misses 2-pt jump shot from 5 ft,8,13
41,1,7:37.0,Defensive rebound by S. Curry,,8,13
