,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
0,1,11:38.0,,L. Aldridge misses 2-pt jump shot from 21 ft,0,0
1,1,11:37.0,Defensive rebound by J. Butler,,0,0
2,1,11:19.0,J. Noah misses 2-pt hook shot from 6 ft,,0,0
3,1,11:18.0,,Defensive rebound by R. Lopez,0,0
4,1,11:10.0,,Turnover by W. Matthews (lost ball; steal by J. Noah),0,0
5,1,11:05.0,Turnover by A. Brooks (lost ball; steal by D. Lillard),,0,0
6,1,11:03.0,,Turnover by D. Lillard (bad pass),0,0
7,1,10:48.0,J. Butler misses 3-pt jump shot from 24 ft,,0,0
8,1,10:46.0,,Defensive rebound by Team,0,0
9,1,10:31.0,,N. Batum makes 2-pt layup from 1 ft,0,2
10,1,10:16.0,Turnover by M. Dunleavy (lost ball; steal by W. Matthews),,0,2
11,1,10:11.0,,N. Batum makes 2-pt layup at rim (assist by W. Matthews),0,4
12,1,9:56.0,J. Noah misses 2-pt jump shot from 22 ft,,0,4
13,1,9:56.0,Offensive rebound by Team,,0,4
14,1,9:56.0,,Loose ball foul by W. Matthews (drawn by T. Gibson),0,4
15,1,9:51.0,A. Brooks misses 3-pt jump shot from 24 ft,,0,4
16,1,9:50.0,Offensive rebound by M. Dunleavy,,0,4
17,1,9:41.0,A. Brooks makes 3-pt jump shot from 26 ft (assist by T. Gibson),,3,4
18,1,9:20.0,,R. Lopez makes 2-pt jump shot from 18 ft (assist by D. Lillard),3,6
19,1,9:02.0,J. Butler misses 2-pt jump shot from 21 ft,,3,6
20,1,9:01.0,,Defensive rebound by D. Lillard,3,6
21,1,8:50.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Lillard),3,9
22,1,8:28.0,T. Gibson misses 2-pt jump shot from 5 ft,,3,9
23,1,8:27.0,,Defensive rebound by D. Lillard,3,9
24,1,8:18.0,,W. Matthews makes 2-pt jump shot from 11 ft (assist by D. Lillard),3,11
25,1,7:59.0,J. Butler misses 2-pt jump shot from 5 ft,,3,11
26,1,7:59.0,,Defensive rebound by Team,3,11
27,1,7:59.0,Loose ball foul by T. Gibson (drawn by R. Lopez),,3,11
28,1,7:42.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by N. Batum),3,13
29,1,7:27.0,A. Brooks misses 2-pt jump shot from 10 ft,,3,13
30,1,7:26.0,Offensive rebound by A. Brooks,,3,13
31,1,7:18.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,3,13
32,1,7:17.0,,Defensive rebound by N. Batum,3,13
33,1,7:11.0,,Turnover by W. Matthews (lost ball),3,13
34,1,6:53.0,T. Gibson misses 2-pt jump shot from 13 ft,,3,13
35,1,6:53.0,,Defensive rebound by W. Matthews,3,13
