,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DENVER_ACTION,CLEVELAND_SCORE,DENVER_SCORE
0,1,11:44.0,,N. Robinson makes 2-pt jump shot from 20 ft,0,2
1,1,11:24.0,K. Love makes 2-pt jump shot from 18 ft (assist by L. James),,2,2
2,1,11:12.0,,K. Faried misses 2-pt hook shot from 8 ft,2,2
3,1,11:10.0,Defensive rebound by A. Varejão,,2,2
4,1,11:05.0,Shooting foul by N. Robinson (drawn by A. Varejão),,2,2
5,1,11:05.0,A. Varejão misses free throw 1 of 2,,2,2
6,1,11:05.0,Offensive rebound by Team,,2,2
7,1,11:05.0,A. Varejão makes free throw 2 of 2,,3,2
8,1,10:43.0,,T. Mozgov misses 2-pt jump shot from 12 ft,3,2
9,1,10:41.0,Defensive rebound by S. Marion,,3,2
10,1,10:24.0,A. Varejão makes 2-pt layup from 2 ft (assist by K. Irving),,5,2
11,1,10:24.0,Shooting foul by T. Mozgov (drawn by A. Varejão),,5,2
12,1,10:24.0,A. Varejão makes free throw 1 of 1,,6,2
13,1,10:17.0,,T. Mozgov misses 2-pt layup from 1 ft (block by L. James),6,2
14,1,10:16.0,Defensive rebound by Team,,6,2
15,1,9:56.0,K. Irving misses 3-pt jump shot from 24 ft,,6,2
16,1,9:55.0,,Defensive rebound by Team,6,2
17,1,9:44.0,,N. Robinson misses 3-pt jump shot from 24 ft,6,2
18,1,9:43.0,Defensive rebound by Team,,6,2
19,1,9:26.0,A. Varejão misses 2-pt layup from 2 ft,,6,2
20,1,9:24.0,,Defensive rebound by W. Chandler,6,2
21,1,9:19.0,,Turnover by W. Chandler (bad pass; steal by L. James),6,2
22,1,9:16.0,A. Varejão makes 2-pt dunk at rim (assist by S. Marion),,8,2
23,1,9:16.0,,Denver full timeout,8,2
24,1,9:04.0,,A. Afflalo misses 2-pt jump shot from 19 ft,8,2
25,1,9:03.0,Defensive rebound by K. Love,,8,2
26,1,8:51.0,L. James misses 3-pt jump shot from 24 ft,,8,2
27,1,8:50.0,,Defensive rebound by W. Chandler,8,2
28,1,8:44.0,,A. Afflalo misses 3-pt jump shot from 24 ft,8,2
29,1,8:41.0,Defensive rebound by K. Irving,,8,2
30,1,8:31.0,K. Love misses 3-pt jump shot from 25 ft,,8,2
31,1,8:30.0,,Defensive rebound by W. Chandler,8,2
32,1,8:22.0,,W. Chandler misses 3-pt jump shot from 26 ft,8,2
33,1,8:21.0,Defensive rebound by L. James,,8,2
34,1,8:19.0,Shooting foul by W. Chandler (drawn by S. Marion),,8,2
35,1,8:19.0,S. Marion misses free throw 1 of 2,,8,2
36,1,8:19.0,Offensive rebound by Team,,8,2
37,1,8:19.0,S. Marion makes free throw 2 of 2,,9,2
38,1,8:01.0,,A. Afflalo misses 2-pt jump shot from 15 ft,9,2
39,1,8:00.0,,Offensive rebound by K. Faried,9,2
40,1,7:59.0,,K. Faried misses 2-pt layup from 2 ft,9,2
41,1,7:58.0,,Offensive rebound by K. Faried,9,2
42,1,7:51.0,,N. Robinson misses 2-pt layup from 3 ft (block by K. Love),9,2
43,1,7:50.0,Defensive rebound by A. Varejão,,9,2
44,1,7:47.0,Turnover by L. James (bad pass; steal by W. Chandler),,9,2
45,1,7:35.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by N. Robinson),9,5
46,1,7:12.0,Shooting foul by T. Mozgov (drawn by A. Varejão),,9,5
47,1,7:12.0,A. Varejão makes free throw 1 of 2,,10,5
48,1,7:12.0,,J. McGee enters the game for T. Mozgov,10,5
49,1,7:12.0,A. Varejão misses free throw 2 of 2,,10,5
50,1,7:10.0,,Defensive rebound by J. McGee,10,5
51,1,7:01.0,,Turnover by N. Robinson (bad pass),10,5
52,1,6:43.0,K. Love makes 2-pt hook shot from 8 ft,,12,5
53,1,6:27.0,,K. Faried makes 2-pt jump shot from 4 ft,12,7
54,1,6:07.0,K. Love makes 2-pt jump shot from 12 ft (assist by L. James),,14,7
55,1,5:53.0,,K. Faried misses 2-pt jump shot from 11 ft,14,7
56,1,5:51.0,Defensive rebound by L. James,,14,7
57,1,5:34.0,S. Marion makes 3-pt jump shot from 23 ft (assist by L. James),,17,7
58,1,5:13.0,,J. McGee misses 2-pt jump shot from 3 ft (block by A. Varejão),17,7
59,1,5:09.0,Defensive rebound by L. James,,17,7
60,1,5:06.0,S. Marion makes 2-pt layup from 2 ft (assist by L. James),,19,7
61,1,5:06.0,,Denver full timeout,19,7
62,1,5:06.0,D. Waiters enters the game for K. Irving,,19,7
63,1,5:06.0,,D. Arthur enters the game for K. Faried,19,7
64,1,5:06.0,,R. Foye enters the game for N. Robinson,19,7
65,1,4:52.0,,D. Arthur misses 3-pt jump shot from 24 ft,19,7
66,1,4:50.0,Defensive rebound by D. Waiters,,19,7
67,1,4:42.0,A. Varejão makes 2-pt jump shot from 4 ft (assist by K. Love),,21,7
68,1,4:25.0,,Turnover by W. Chandler (lost ball; steal by D. Waiters),21,7
69,1,4:22.0,Personal foul by R. Foye (drawn by L. James),,21,7
70,1,4:22.0,L. James makes free throw 1 of 2,,22,7
71,1,4:22.0,M. Miller enters the game for S. Marion,,22,7
72,1,4:22.0,T. Thompson enters the game for A. Varejão,,22,7
73,1,4:22.0,L. James makes free throw 2 of 2,,23,7
