,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by N. Noel),0,2
1,1,11:21.0,G. Vásquez misses 3-pt jump shot from 24 ft,,0,2
2,1,11:20.0,,Defensive rebound by M. Carter-Williams,0,2
3,1,11:14.0,,K. McDaniels misses 2-pt layup from 1 ft,0,2
4,1,11:11.0,,Offensive rebound by M. Carter-Williams,0,2
5,1,11:07.0,,R. Covington misses 3-pt jump shot from 27 ft,0,2
6,1,11:05.0,,Offensive rebound by K. McDaniels,0,2
7,1,11:04.0,,K. McDaniels makes 2-pt layup from 1 ft,0,4
8,1,10:37.0,Turnover by D. DeRozan (lost ball),,0,4
9,1,10:20.0,,L. Mbah a Moute misses 2-pt jump shot from 16 ft,0,4
10,1,10:18.0,Defensive rebound by G. Vásquez,,0,4
11,1,10:12.0,K. Lowry misses 2-pt jump shot from 22 ft,,0,4
12,1,10:10.0,,Defensive rebound by N. Noel,0,4
13,1,9:55.0,,R. Covington makes 2-pt layup from 2 ft (assist by K. McDaniels),0,6
14,1,9:34.0,D. DeRozan misses 2-pt jump shot from 18 ft,,0,6
15,1,9:32.0,,Defensive rebound by N. Noel,0,6
16,1,9:26.0,,K. McDaniels misses 3-pt jump shot from 25 ft,0,6
17,1,9:24.0,Defensive rebound by G. Vásquez,,0,6
18,1,9:13.0,Turnover by G. Vásquez (bad pass; steal by R. Covington),,0,6
19,1,9:05.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by K. McDaniels),0,9
20,1,8:57.0,Toronto full timeout,,0,9
21,1,8:47.0,D. DeRozan misses 2-pt jump shot from 4 ft (block by M. Carter-Williams),,0,9
22,1,8:45.0,,Defensive rebound by K. McDaniels,0,9
23,1,8:40.0,,K. McDaniels makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),0,12
24,1,8:23.0,Turnover by A. Johnson (offensive foul),,0,12
25,1,8:23.0,Offensive foul by A. Johnson (drawn by M. Carter-Williams),,0,12
26,1,8:04.0,,Turnover by M. Carter-Williams (bad pass; steal by D. DeRozan),0,12
27,1,7:50.0,K. Lowry misses 2-pt jump shot from 4 ft,,0,12
28,1,7:48.0,,Defensive rebound by M. Carter-Williams,0,12
29,1,7:42.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),0,15
30,1,7:15.0,A. Johnson misses 2-pt jump shot from 3 ft,,0,15
31,1,7:13.0,Offensive rebound by A. Johnson,,0,15
32,1,7:13.0,A. Johnson misses 2-pt tip-in from 1 ft,,0,15
33,1,7:13.0,Offensive rebound by Team,,0,15
34,1,7:13.0,Shooting foul by N. Noel (drawn by J. Valančiūnas),,0,15
35,1,7:13.0,J. Valančiūnas misses free throw 1 of 2,,0,15
36,1,7:13.0,Offensive rebound by Team,,0,15
37,1,7:13.0,L. Williams enters the game for G. Vásquez,,0,15
38,1,7:13.0,P. Patterson enters the game for A. Johnson,,0,15
39,1,7:13.0,J. Valančiūnas makes free throw 2 of 2,,1,15
40,1,6:59.0,,N. Noel misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),1,15
41,1,6:56.0,Defensive rebound by K. Lowry,,1,15
42,1,6:52.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,3,15
43,1,6:37.0,,N. Noel misses 2-pt jump shot from 6 ft,3,15
44,1,6:36.0,,Offensive rebound by K. McDaniels,3,15
45,1,6:36.0,,K. McDaniels makes 2-pt dunk at rim,3,17
46,1,6:14.0,P. Patterson misses 3-pt jump shot from 23 ft,,3,17
47,1,6:12.0,,Defensive rebound by K. McDaniels,3,17
48,1,6:06.0,,Turnover by N. Noel (lost ball; steal by K. Lowry),3,17
49,1,5:58.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by L. Williams),,5,17
50,1,5:56.0,,Philadelphia full timeout,5,17
51,1,5:56.0,T. Hansbrough enters the game for J. Valančiūnas,,5,17
52,1,5:43.0,,Turnover by L. Mbah a Moute (traveling),5,17
53,1,5:29.0,D. DeRozan misses 2-pt jump shot from 14 ft,,5,17
54,1,5:27.0,Offensive rebound by P. Patterson,,5,17
55,1,5:25.0,P. Patterson makes 2-pt jump shot from 5 ft,,7,17
56,1,5:12.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by K. McDaniels),7,20
57,1,4:58.0,L. Williams misses 2-pt jump shot from 18 ft,,7,20
58,1,4:56.0,,Defensive rebound by R. Covington,7,20
59,1,4:49.0,,Turnover by M. Carter-Williams (lost ball; steal by K. Lowry),7,20
60,1,4:44.0,K. Lowry misses 2-pt jump shot from 3 ft (block by R. Covington),,7,20
61,1,4:42.0,,Defensive rebound by K. McDaniels,7,20
62,1,4:32.0,,N. Noel misses 2-pt jump shot from 9 ft,7,20
63,1,4:31.0,Defensive rebound by T. Hansbrough,,7,20
64,1,4:14.0,Personal foul by N. Noel (drawn by L. Williams),,7,20
65,1,4:14.0,,H. Thompson enters the game for L. Mbah a Moute,7,20
66,1,4:14.0,,H. Sims enters the game for N. Noel,7,20
67,1,4:14.0,,J. Grant enters the game for K. McDaniels,7,20
68,1,4:14.0,T. Ross enters the game for D. DeRozan,,7,20
69,1,4:10.0,Personal foul by M. Carter-Williams (drawn by K. Lowry),,7,20
70,1,3:58.0,P. Patterson misses 2-pt layup from 2 ft,,7,20
71,1,3:56.0,Offensive rebound by T. Hansbrough,,7,20
72,1,3:56.0,T. Hansbrough misses 2-pt tip-in from 1 ft,,7,20
73,1,3:55.0,,Defensive rebound by H. Thompson,7,20
74,1,3:47.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),7,23
75,1,3:38.0,Shooting foul by H. Thompson (drawn by L. Williams),,7,23
76,1,3:38.0,L. Williams makes free throw 1 of 2,,8,23
77,1,3:38.0,,L. Drew enters the game for M. Carter-Williams,8,23
78,1,3:38.0,L. Williams makes free throw 2 of 2,,9,23
79,1,3:26.0,,Turnover by R. Covington (traveling),9,23
80,1,3:09.0,K. Lowry misses 2-pt jump shot from 7 ft,,9,23
81,1,3:08.0,,Defensive rebound by J. Grant,9,23
82,1,3:01.0,,L. Drew misses 2-pt jump shot from 14 ft,9,23
83,1,2:58.0,Defensive rebound by Team,,9,23
84,1,2:45.0,P. Patterson makes 3-pt jump shot from 26 ft (assist by K. Lowry),,12,23
85,1,2:39.0,,J. Grant makes 2-pt dunk at rim (assist by L. Drew),12,25
86,1,2:30.0,L. Williams misses 3-pt jump shot from 26 ft,,12,25
87,1,2:28.0,,Defensive rebound by R. Covington,12,25
88,1,2:19.0,,Turnover by R. Covington (lost ball; steal by K. Lowry),12,25
89,1,2:15.0,K. Lowry makes 2-pt layup at rim,,14,25
90,1,1:49.0,,H. Thompson misses 3-pt jump shot from 22 ft,14,25
91,1,1:47.0,Defensive rebound by T. Ross,,14,25
92,1,1:24.0,L. Williams misses 3-pt jump shot from 25 ft,,14,25
93,1,1:22.0,,Defensive rebound by R. Covington,14,25
94,1,1:16.0,,H. Sims makes 2-pt layup from 1 ft (assist by J. Grant),14,27
95,1,1:16.0,,Shooting foul by P. Patterson (drawn by H. Sims),14,27
96,1,1:16.0,G. Vásquez enters the game for K. Lowry,,14,27
97,1,1:16.0,,J. Sampson enters the game for R. Covington,14,27
98,1,1:16.0,,H. Sims makes free throw 1 of 1,14,28
99,1,1:02.0,Shooting foul by J. Grant (drawn by L. Williams),,14,28
100,1,1:02.0,L. Williams makes free throw 1 of 2,,15,28
101,1,1:02.0,L. Williams makes free throw 2 of 2,,16,28
102,1,0:40.0,,J. Sampson misses 2-pt jump shot from 3 ft (block by T. Ross),16,28
103,1,0:38.0,,Offensive rebound by H. Sims,16,28
104,1,0:38.0,,H. Sims makes 2-pt layup from 1 ft,16,30
105,1,0:32.0,L. Williams makes 2-pt jump shot from 14 ft,,18,30
106,1,0:17.0,,Turnover by H. Sims (bad pass; steal by L. Williams),18,30
