,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,,S. Ibaka misses 2-pt jump shot from 16 ft,0,0
1,1,11:47.0,Defensive rebound by J. Richardson,,0,0
2,1,11:33.0,N. Noel misses 2-pt jump shot from 17 ft,,0,0
3,1,11:32.0,,Defensive rebound by A. Roberson,0,0
4,1,11:20.0,,Turnover by E. Freedom (lost ball; steal by N. Noel),0,0
5,1,11:11.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Sampson),,3,0
6,1,10:53.0,,Personal foul by N. Noel (drawn by E. Freedom),3,0
7,1,10:47.0,,R. Westbrook misses 3-pt jump shot from 24 ft,3,0
8,1,10:46.0,Defensive rebound by J. Richardson,,3,0
9,1,10:41.0,Personal foul by K. Singler (drawn by J. Richardson),,3,0
10,1,10:34.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by L. Mbah a Moute),,6,0
11,1,10:14.0,,E. Freedom misses 2-pt layup from 2 ft,6,0
12,1,10:13.0,Defensive rebound by J. Sampson,,6,0
13,1,10:00.0,J. Richardson makes 2-pt layup from 1 ft (assist by I. Canaan),,8,0
14,1,9:44.0,,R. Westbrook misses 2-pt jump shot from 18 ft,8,0
15,1,9:43.0,Defensive rebound by I. Canaan,,8,0
16,1,9:35.0,Turnover by N. Noel (bad pass; steal by R. Westbrook),,8,0
17,1,9:31.0,,Personal foul by J. Sampson (drawn by K. Singler),8,0
18,1,9:31.0,,K. Singler makes free throw 1 of 2,8,1
19,1,9:31.0,,K. Singler makes free throw 2 of 2,8,2
20,1,9:22.0,J. Richardson misses 2-pt layup from 1 ft,,8,2
21,1,9:21.0,Offensive rebound by N. Noel,,8,2
22,1,9:20.0,N. Noel misses 2-pt jump shot from 5 ft,,8,2
23,1,9:18.0,,Defensive rebound by R. Westbrook,8,2
24,1,9:13.0,,Turnover by R. Westbrook (bad pass; steal by J. Sampson),8,2
25,1,9:01.0,Shooting foul by E. Freedom (drawn by J. Sampson),,8,2
26,1,9:01.0,J. Sampson makes free throw 1 of 2,,9,2
27,1,9:01.0,J. Sampson makes free throw 2 of 2,,10,2
28,1,8:45.0,,R. Westbrook makes 2-pt jump shot from 3 ft,10,4
29,1,8:45.0,,Shooting foul by J. Sampson (drawn by R. Westbrook),10,4
30,1,8:45.0,,R. Westbrook makes free throw 1 of 1,10,5
31,1,8:33.0,N. Noel makes 2-pt dunk at rim (assist by L. Mbah a Moute),,12,5
32,1,8:13.0,,E. Freedom makes 2-pt layup at rim,12,7
33,1,7:56.0,J. Grant enters the game for J. Sampson,,12,7
34,1,7:50.0,L. Mbah a Moute misses 2-pt jump shot from 16 ft,,12,7
35,1,7:49.0,,Defensive rebound by A. Roberson,12,7
36,1,7:42.0,,Shooting foul by J. Grant (drawn by R. Westbrook),12,7
37,1,7:42.0,,R. Westbrook makes free throw 1 of 2,12,8
38,1,7:42.0,,R. Westbrook makes free throw 2 of 2,12,9
39,1,7:34.0,Shooting foul by A. Roberson (drawn by J. Grant),,12,9
40,1,7:34.0,J. Grant makes free throw 1 of 2,,13,9
41,1,7:34.0,J. Grant misses free throw 2 of 2,,13,9
42,1,7:33.0,,Defensive rebound by K. Singler,13,9
43,1,7:23.0,,R. Westbrook makes 2-pt jump shot from 19 ft,13,11
44,1,7:15.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,13,11
45,1,7:14.0,,Defensive rebound by R. Westbrook,13,11
46,1,7:08.0,,R. Westbrook makes 2-pt layup from 1 ft,13,13
47,1,6:48.0,Shooting foul by A. Roberson (drawn by L. Mbah a Moute),,13,13
48,1,6:48.0,L. Mbah a Moute makes free throw 1 of 2,,14,13
49,1,6:48.0,,D. Waiters enters the game for A. Roberson,14,13
50,1,6:48.0,L. Mbah a Moute misses free throw 2 of 2,,14,13
51,1,6:48.0,Offensive rebound by L. Mbah a Moute,,14,13
52,1,6:37.0,J. Grant misses 2-pt layup from 1 ft,,14,13
53,1,6:36.0,,Defensive rebound by R. Westbrook,14,13
54,1,6:31.0,,Turnover by R. Westbrook (lost ball; steal by J. Richardson),14,13
55,1,6:23.0,Philadelphia full timeout,,14,13
56,1,6:16.0,J. Richardson misses 2-pt jump shot from 23 ft,,14,13
57,1,6:15.0,Offensive rebound by N. Noel,,14,13
58,1,6:10.0,L. Mbah a Moute misses 3-pt jump shot from 22 ft,,14,13
59,1,6:09.0,Offensive rebound by L. Mbah a Moute,,14,13
60,1,6:04.0,I. Canaan makes 3-pt jump shot from 26 ft (assist by L. Mbah a Moute),,17,13
61,1,5:48.0,,Turnover by D. Waiters (bad pass; steal by N. Noel),17,13
62,1,5:43.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by J. Richardson),,19,13
63,1,5:34.0,,R. Westbrook misses 2-pt jump shot from 19 ft,19,13
64,1,5:33.0,Defensive rebound by Team,,19,13
65,1,5:32.0,H. Thompson enters the game for J. Richardson,,19,13
66,1,5:32.0,,N. Collison enters the game for E. Freedom,19,13
67,1,5:10.0,L. Mbah a Moute makes 2-pt layup at rim,,21,13
68,1,4:57.0,,N. Collison makes 2-pt layup at rim (assist by D. Waiters),21,15
69,1,4:57.0,,Shooting foul by N. Noel (drawn by N. Collison),21,15
70,1,4:57.0,T. Robinson enters the game for N. Noel,,21,15
71,1,4:57.0,,Turnover by S. Ibaka (lane violation.),21,15
72,1,4:44.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by L. Mbah a Moute),,24,15
73,1,4:25.0,,N. Collison misses 2-pt layup from 1 ft (block by J. Grant),24,15
74,1,4:23.0,Defensive rebound by L. Mbah a Moute,,24,15
75,1,4:20.0,H. Sims enters the game for L. Mbah a Moute,,24,15
76,1,4:20.0,,A. Morrow enters the game for K. Singler,24,15
77,1,4:20.0,Inbound foul by A. Morrow,,24,15
78,1,4:20.0,J. Grant makes free throw 1 of 2,,25,15
79,1,4:20.0,J. Grant makes free throw 2 of 2,,26,15
80,1,4:05.0,,Shooting block foul by J. Grant (drawn by R. Westbrook),26,15
81,1,4:05.0,,R. Westbrook makes free throw 1 of 2,26,16
82,1,4:05.0,I. Smith enters the game for J. Grant,,26,16
83,1,4:05.0,,R. Westbrook makes free throw 2 of 2,26,17
84,1,3:49.0,I. Canaan makes 3-pt jump shot from 25 ft (assist by T. Robinson),,29,17
85,1,3:35.0,,Turnover by R. Westbrook (lost ball; steal by T. Robinson),29,17
86,1,3:30.0,I. Canaan makes 3-pt jump shot from 25 ft,,32,17
87,1,3:29.0,,Oklahoma City full timeout,32,17
88,1,3:24.0,,R. Westbrook makes 2-pt dunk at rim,32,19
89,1,3:04.0,H. Thompson misses 3-pt jump shot from 24 ft,,32,19
90,1,3:03.0,,Defensive rebound by D. Waiters,32,19
91,1,2:57.0,,A. Morrow makes 3-pt jump shot from 23 ft (assist by D. Waiters),32,22
92,1,2:36.0,I. Canaan misses 3-pt jump shot from 25 ft,,32,22
93,1,2:35.0,,Defensive rebound by S. Ibaka,32,22
94,1,2:29.0,,D. Waiters misses 3-pt jump shot from 24 ft,32,22
95,1,2:27.0,Defensive rebound by I. Canaan,,32,22
96,1,2:13.0,H. Sims misses 2-pt jump shot from 14 ft,,32,22
97,1,2:12.0,,Defensive rebound by R. Westbrook,32,22
98,1,2:07.0,,Personal foul by H. Sims (drawn by N. Collison),32,22
99,1,2:07.0,,N. Collison makes free throw 1 of 2,32,23
100,1,2:07.0,,M. McGary enters the game for S. Ibaka,32,23
101,1,2:07.0,,N. Collison makes free throw 2 of 2,32,24
102,1,1:48.0,I. Smith misses 3-pt jump shot from 23 ft,,32,24
103,1,1:45.0,,Defensive rebound by N. Collison,32,24
104,1,1:40.0,,A. Morrow makes 3-pt jump shot from 22 ft (assist by R. Westbrook),32,27
105,1,1:24.0,,Offensive charge foul by H. Thompson (drawn by N. Collison),32,27
106,1,1:24.0,Turnover by H. Thompson (offensive foul),,32,27
107,1,1:05.0,,A. Morrow misses 2-pt jump shot from 8 ft,32,27
108,1,1:03.0,,Offensive rebound by R. Westbrook,32,27
109,1,1:00.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by R. Westbrook),32,30
110,1,0:48.0,I. Smith misses 2-pt jump shot from 11 ft,,32,30
111,1,0:47.0,,Defensive rebound by Team,32,30
112,1,0:46.0,Loose ball foul by H. Sims (drawn by A. Morrow),,32,30
113,1,0:46.0,,A. Morrow makes free throw 1 of 2,32,31
114,1,0:46.0,,A. Morrow makes free throw 2 of 2,32,32
115,1,0:33.0,H. Sims makes 2-pt jump shot from 17 ft (assist by I. Smith),,34,32
116,1,0:29.0,,R. Westbrook makes 3-pt jump shot from 25 ft,34,35
117,1,0:05.0,T. Robinson misses 2-pt layup from 2 ft,,34,35
118,1,0:04.0,,Defensive rebound by R. Westbrook,34,35
119,1,0:00.0,,M. McGary makes 2-pt jump shot from 5 ft (assist by R. Westbrook),34,37
120,2,11:35.0,J. Richardson misses 2-pt jump shot from 17 ft,,34,37
121,2,11:34.0,,Defensive rebound by M. McGary,34,37
122,2,11:17.0,,D. Waiters makes 2-pt jump shot from 11 ft (assist by A. Morrow),34,39
123,2,10:56.0,J. Richardson misses 3-pt jump shot from 24 ft,,34,39
124,2,10:55.0,Offensive rebound by H. Sims,,34,39
125,2,10:53.0,Shooting foul by N. Collison (drawn by J. Grant),,34,39
126,2,10:53.0,J. Grant misses free throw 1 of 2,,34,39
127,2,10:53.0,Offensive rebound by Team,,34,39
128,2,10:53.0,N. Noel enters the game for H. Sims,,34,39
129,2,10:53.0,J. Grant makes free throw 2 of 2,,35,39
130,2,10:40.0,,Shooting foul by J. Richardson (drawn by D. Waiters),35,39
131,2,10:40.0,,D. Waiters misses free throw 1 of 2,35,39
132,2,10:40.0,,Offensive rebound by Team,35,39
133,2,10:40.0,,D. Waiters misses free throw 2 of 2,35,39
134,2,10:39.0,Defensive rebound by N. Noel,,35,39
135,2,10:31.0,Def 3 sec tech foul by M. McGary,,35,39
136,2,10:31.0,J. Richardson makes technical free throw,,36,39
137,2,10:24.0,Shooting foul by N. Collison (drawn by J. Grant),,36,39
138,2,10:24.0,J. Grant makes free throw 1 of 2,,37,39
139,2,10:24.0,J. Grant makes free throw 2 of 2,,38,39
140,2,10:14.0,,A. Morrow misses 2-pt layup from 1 ft,38,39
141,2,10:13.0,Defensive rebound by N. Noel,,38,39
142,2,9:59.0,J. Richardson misses 2-pt jump shot from 9 ft,,38,39
143,2,9:58.0,,Defensive rebound by N. Collison,38,39
144,2,9:56.0,,Personal foul by J. Grant (drawn by D. Augustin),38,39
145,2,9:56.0,J. Sampson enters the game for J. Grant,,38,39
146,2,9:56.0,L. Mbah a Moute enters the game for T. Robinson,,38,39
147,2,9:46.0,,M. McGary makes 2-pt layup from 1 ft (assist by N. Collison),38,41
148,2,9:34.0,Turnover by I. Smith (lost ball; steal by N. Collison),,38,41
149,2,9:26.0,,N. Collison misses 2-pt jump shot from 16 ft,38,41
150,2,9:25.0,Defensive rebound by J. Richardson,,38,41
151,2,9:10.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,38,41
152,2,9:09.0,,Defensive rebound by D. Augustin,38,41
153,2,9:01.0,,D. Augustin misses 2-pt jump shot from 16 ft,38,41
154,2,9:00.0,Defensive rebound by L. Mbah a Moute,,38,41
155,2,8:38.0,I. Smith misses 2-pt layup at rim,,38,41
156,2,8:37.0,,Defensive rebound by M. McGary,38,41
