,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:51.0,,Turnover by K. Faried (bad pass; steal by C. Lee),0,0
1,1,11:34.0,M. Gasol misses 2-pt jump shot from 19 ft,,0,0
2,1,11:32.0,,Defensive rebound by K. Faried,0,0
3,1,11:12.0,,K. Faried makes 2-pt jump shot from 3 ft,0,2
4,1,10:54.0,M. Conley makes 2-pt jump shot from 10 ft (assist by M. Gasol),,2,2
5,1,10:36.0,,A. Afflalo makes 2-pt jump shot from 14 ft (assist by W. Chandler),2,4
6,1,10:14.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),,4,4
7,1,9:57.0,,Turnover by K. Faried (3 sec),4,4
8,1,9:44.0,T. Allen makes 2-pt layup from 2 ft,,6,4
9,1,9:29.0,,Shooting foul by T. Allen (drawn by W. Chandler),6,4
10,1,9:29.0,,W. Chandler makes free throw 1 of 3,6,5
11,1,9:29.0,,W. Chandler makes free throw 2 of 3,6,6
12,1,9:29.0,,W. Chandler makes free throw 3 of 3,6,7
13,1,9:12.0,Turnover by C. Lee (bad pass; steal by T. Lawson),,6,7
14,1,9:02.0,,K. Faried makes 2-pt layup at rim (assist by A. Afflalo),6,9
15,1,8:40.0,Shooting foul by K. Faried (drawn by M. Gasol),,6,9
16,1,8:40.0,M. Gasol makes free throw 1 of 2,,7,9
17,1,8:40.0,M. Gasol makes free throw 2 of 2,,8,9
18,1,8:20.0,,A. Afflalo makes 2-pt jump shot from 17 ft,8,11
19,1,8:04.0,J. Leuer makes 2-pt jump shot from 22 ft (assist by M. Conley),,10,11
20,1,7:55.0,,Turnover by T. Mozgov (traveling),10,11
21,1,7:38.0,C. Lee makes 2-pt jump shot from 10 ft (assist by J. Leuer),,12,11
22,1,7:27.0,,Personal foul by C. Lee (drawn by A. Afflalo),12,11
23,1,7:19.0,,T. Lawson misses 3-pt jump shot from 26 ft,12,11
24,1,7:18.0,Defensive rebound by M. Gasol,,12,11
25,1,7:05.0,J. Leuer misses 2-pt jump shot from 18 ft,,12,11
26,1,7:03.0,,Defensive rebound by K. Faried,12,11
27,1,6:57.0,,K. Faried misses 2-pt layup from 1 ft (block by M. Gasol),12,11
28,1,6:56.0,Defensive rebound by M. Conley,,12,11
29,1,6:51.0,J. Leuer makes 2-pt dunk at rim (assist by M. Conley),,14,11
30,1,6:30.0,,W. Chandler makes 2-pt jump shot from 16 ft,14,13
31,1,6:05.0,C. Lee misses 3-pt jump shot from 25 ft,,14,13
32,1,6:04.0,Offensive rebound by J. Leuer,,14,13
33,1,5:45.0,M. Gasol misses 2-pt layup from 2 ft,,14,13
34,1,5:44.0,,Defensive rebound by K. Faried,14,13
35,1,5:37.0,,T. Lawson makes 2-pt jump shot from 21 ft,14,15
36,1,5:08.0,M. Gasol makes 2-pt jump shot from 14 ft,,16,15
37,1,4:52.0,,T. Lawson makes 2-pt jump shot from 15 ft,16,17
38,1,4:29.0,M. Gasol makes 2-pt layup from 2 ft (assist by J. Leuer),,18,17
39,1,4:13.0,,Shooting foul by C. Lee (drawn by A. Afflalo),18,17
40,1,4:13.0,,Denver full timeout,18,17
41,1,4:13.0,K. Koufos enters the game for J. Leuer,,18,17
42,1,4:13.0,Q. Pondexter enters the game for C. Lee,,18,17
43,1,4:13.0,,J. Hickson enters the game for K. Faried,18,17
44,1,4:13.0,,A. Afflalo makes free throw 1 of 2,18,18
45,1,4:13.0,,A. Afflalo makes free throw 2 of 2,18,19
46,1,3:53.0,M. Conley misses 2-pt jump shot from 11 ft,,18,19
47,1,3:52.0,,Defensive rebound by W. Chandler,18,19
48,1,3:30.0,,A. Afflalo misses 2-pt jump shot from 21 ft (block by T. Allen),18,19
49,1,3:28.0,Defensive rebound by K. Koufos,,18,19
50,1,3:13.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by Q. Pondexter),,20,19
51,1,2:59.0,,J. Hickson misses 2-pt jump shot from 5 ft (block by M. Gasol),20,19
52,1,2:57.0,Defensive rebound by M. Gasol,,20,19
53,1,2:47.0,M. Conley makes 2-pt layup from 1 ft,,22,19
54,1,2:27.0,,J. Hickson makes 2-pt dunk at rim (assist by T. Lawson),22,21
55,1,1:54.0,M. Gasol misses 2-pt jump shot from 18 ft,,22,21
56,1,1:53.0,,Defensive rebound by W. Chandler,22,21
57,1,1:45.0,Memphis full timeout,,22,21
58,1,1:45.0,T. Prince enters the game for T. Allen,,22,21
59,1,1:45.0,V. Carter enters the game for M. Gasol,,22,21
60,1,1:45.0,,J. Nurkić enters the game for W. Chandler,22,21
61,1,1:45.0,,D. Arthur enters the game for T. Mozgov,22,21
62,1,1:38.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by T. Lawson),22,24
63,1,1:19.0,M. Conley misses 2-pt jump shot from 21 ft,,22,24
64,1,1:18.0,,Defensive rebound by D. Arthur,22,24
