,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
0,1,11:41.0,,A. Drummond misses 2-pt layup from 1 ft,0,0
1,1,11:40.0,,Offensive rebound by A. Drummond,0,0
2,1,11:40.0,,A. Drummond misses 2-pt layup from 1 ft,0,0
3,1,11:39.0,Defensive rebound by Team,,0,0
4,1,11:25.0,L. Aldridge misses 2-pt layup from 3 ft,,0,0
5,1,11:24.0,Offensive rebound by R. Lopez,,0,0
6,1,11:23.0,R. Lopez misses 2-pt layup at rim,,0,0
7,1,11:22.0,,Defensive rebound by K. Singler,0,0
8,1,11:08.0,,J. Smith misses 2-pt jump shot from 19 ft,0,0
9,1,11:07.0,Defensive rebound by N. Batum,,0,0
10,1,10:59.0,W. Matthews makes 2-pt jump shot from 15 ft,,2,0
11,1,10:48.0,,A. Drummond misses 2-pt layup from 2 ft,2,0
12,1,10:47.0,Defensive rebound by N. Batum,,2,0
13,1,10:33.0,R. Lopez misses 2-pt layup from 2 ft (block by J. Smith),,2,0
14,1,10:32.0,,Defensive rebound by A. Drummond,2,0
15,1,10:23.0,,Turnover by B. Jennings (bad pass; steal by L. Aldridge),2,0
16,1,10:20.0,N. Batum makes 2-pt layup at rim,,4,0
17,1,10:01.0,,Detroit full timeout,4,0
18,1,9:57.0,,B. Jennings misses 2-pt layup from 1 ft,4,0
19,1,9:56.0,,Offensive rebound by A. Drummond,4,0
20,1,9:55.0,,A. Drummond misses 2-pt tip-in from 2 ft,4,0
21,1,9:54.0,Defensive rebound by L. Aldridge,,4,0
22,1,9:47.0,D. Lillard makes 2-pt layup from 1 ft,,6,0
23,1,9:29.0,,J. Smith misses 2-pt dunk at rim (block by R. Lopez),6,0
24,1,9:20.0,Defensive rebound by D. Lillard,,6,0
25,1,9:17.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Lillard),,9,0
26,1,9:08.0,,J. Smith makes 2-pt hook shot from 4 ft,9,2
27,1,8:40.0,L. Aldridge misses 2-pt jump shot from 5 ft,,9,2
28,1,8:39.0,Offensive rebound by L. Aldridge,,9,2
29,1,8:38.0,L. Aldridge misses 2-pt tip-in at rim,,9,2
30,1,8:38.0,Offensive rebound by R. Lopez,,9,2
31,1,8:38.0,R. Lopez misses 2-pt tip-in from 3 ft,,9,2
32,1,8:37.0,Offensive rebound by L. Aldridge,,9,2
33,1,8:37.0,Personal foul by A. Drummond (drawn by L. Aldridge),,9,2
34,1,8:37.0,L. Aldridge makes free throw 1 of 2,,10,2
35,1,8:37.0,L. Aldridge makes free throw 2 of 2,,11,2
36,1,8:25.0,,Def 3 sec tech foul by R. Lopez,11,2
37,1,8:25.0,,B. Jennings makes technical free throw,11,3
38,1,8:16.0,,K. Singler misses 2-pt jump shot from 20 ft,11,3
39,1,8:15.0,Defensive rebound by R. Lopez,,11,3
40,1,8:08.0,Turnover by L. Aldridge (traveling),,11,3
41,1,7:59.0,,Shooting foul by L. Aldridge (drawn by J. Smith),11,3
42,1,7:59.0,,J. Smith makes free throw 1 of 2,11,4
43,1,7:59.0,,J. Smith makes free throw 2 of 2,11,5
44,1,7:39.0,R. Lopez misses 2-pt jump shot from 19 ft,,11,5
45,1,7:38.0,,Defensive rebound by J. Smith,11,5
46,1,7:27.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by B. Jennings),11,8
47,1,7:12.0,N. Batum misses 3-pt jump shot from 26 ft,,11,8
48,1,7:11.0,,Defensive rebound by J. Smith,11,8
49,1,7:05.0,,K. Singler makes 3-pt jump shot from 24 ft (assist by J. Smith),11,11
50,1,6:38.0,R. Lopez misses 2-pt jump shot from 13 ft,,11,11
51,1,6:37.0,,Defensive rebound by B. Jennings,11,11
52,1,6:29.0,,J. Smith makes 2-pt dunk at rim,11,13
53,1,6:21.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),,14,13
54,1,6:12.0,,B. Jennings misses 3-pt jump shot from 25 ft,14,13
55,1,6:11.0,Defensive rebound by L. Aldridge,,14,13
56,1,6:03.0,D. Lillard makes 2-pt dunk from 1 ft,,16,13
57,1,5:38.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,16,15
58,1,5:18.0,Shooting foul by J. Smith (drawn by L. Aldridge),,16,15
59,1,5:18.0,L. Aldridge makes free throw 1 of 2,,17,15
60,1,5:18.0,S. Blake enters the game for W. Matthews,,17,15
