,QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,K. Leonard makes 2-pt jump shot from 14 ft (assist by T. Duncan),0,2
1,1,11:20.0,A. Bradley makes 2-pt jump shot from 17 ft,,2,2
2,1,11:07.0,,T. Splitter misses 2-pt hook shot from 4 ft,2,2
3,1,11:06.0,Defensive rebound by A. Bradley,,2,2
4,1,10:57.0,Turnover by A. Bradley (bad pass; steal by T. Duncan),,2,2
5,1,10:53.0,,Shooting foul by T. Zeller (drawn by T. Splitter),2,2
6,1,10:53.0,,T. Splitter makes free throw 1 of 2,2,3
7,1,10:53.0,,T. Splitter makes free throw 2 of 2,2,4
8,1,10:44.0,A. Bradley misses 2-pt jump shot from 19 ft,,2,4
9,1,10:43.0,,Defensive rebound by T. Duncan,2,4
10,1,10:36.0,,K. Leonard makes 2-pt jump shot from 16 ft,2,6
11,1,10:25.0,T. Zeller misses 2-pt jump shot from 22 ft,,2,6
12,1,10:24.0,,Defensive rebound by T. Splitter,2,6
13,1,10:05.0,,D. Green makes 2-pt jump shot from 19 ft (assist by T. Parker),2,8
14,1,9:54.0,Turnover by E. Turner (bad pass; steal by T. Duncan),,2,8
15,1,9:43.0,,T. Duncan makes 2-pt dunk at rim (assist by T. Splitter),2,10
16,1,9:43.0,Boston full timeout,,2,10
17,1,9:32.0,T. Zeller misses 2-pt jump shot from 7 ft,,2,10
18,1,9:31.0,,Defensive rebound by D. Green,2,10
19,1,9:19.0,,D. Green misses 2-pt layup from 1 ft,2,10
20,1,9:18.0,,Offensive rebound by D. Green,2,10
21,1,9:18.0,,D. Green misses 2-pt layup from 1 ft,2,10
22,1,9:17.0,Defensive rebound by T. Zeller,,2,10
23,1,8:55.0,E. Turner makes 2-pt jump shot from 18 ft,,4,10
24,1,8:32.0,,T. Splitter makes 2-pt jump shot from 7 ft (assist by K. Leonard),4,12
25,1,8:17.0,E. Turner misses 3-pt jump shot from 25 ft,,4,12
26,1,8:16.0,,Defensive rebound by D. Green,4,12
27,1,7:55.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),4,15
28,1,7:43.0,M. Smart misses 2-pt jump shot from 4 ft,,4,15
29,1,7:42.0,,Defensive rebound by T. Duncan,4,15
30,1,7:42.0,,Personal foul by M. Smart (drawn by T. Duncan),4,15
31,1,7:42.0,K. Olynyk enters the game for T. Zeller,,4,15
32,1,7:29.0,,Offensive foul by T. Duncan (drawn by M. Smart),4,15
33,1,7:29.0,,Turnover by T. Duncan (offensive foul),4,15
34,1,7:20.0,Turnover by E. Turner (bad pass; steal by K. Leonard),,4,15
35,1,7:05.0,,T. Splitter makes 2-pt layup from 1 ft (assist by K. Leonard),4,17
36,1,6:49.0,K. Olynyk misses 3-pt jump shot from 24 ft,,4,17
37,1,6:49.0,,Defensive rebound by Team,4,17
38,1,6:49.0,J. Crowder enters the game for E. Turner,,4,17
39,1,6:41.0,,Personal foul by K. Olynyk (drawn by K. Leonard),4,17
40,1,6:41.0,,B. Diaw enters the game for T. Splitter,4,17
41,1,6:30.0,,T. Duncan makes 2-pt layup from 2 ft (assist by D. Green),4,19
42,1,6:13.0,B. Bass makes 2-pt jump shot from 18 ft (assist by A. Bradley),,6,19
43,1,5:54.0,,T. Duncan makes 2-pt jump shot from 4 ft (assist by T. Parker),6,21
44,1,5:41.0,M. Smart makes 2-pt jump shot from 19 ft (assist by K. Olynyk),,8,21
45,1,5:26.0,,T. Parker misses 2-pt jump shot from 16 ft,8,21
46,1,5:25.0,,Offensive rebound by B. Diaw,8,21
47,1,5:20.0,,Personal foul by B. Bass (drawn by D. Green),8,21
48,1,5:20.0,,D. Green makes free throw 1 of 2,8,22
49,1,5:20.0,,D. Green makes free throw 2 of 2,8,23
50,1,5:06.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by K. Olynyk),,11,23
51,1,4:55.0,,Personal foul by M. Smart (drawn by T. Parker),11,23
52,1,4:55.0,,T. Parker makes free throw 1 of 2,11,24
