,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:45.0,,N. Vučević misses 2-pt hook shot from 9 ft,0,0
1,1,11:42.0,,Offensive rebound by E. Payton,0,0
2,1,11:42.0,,E. Payton misses 2-pt tip-in at rim,0,0
3,1,11:40.0,,Offensive rebound by D. Dedmon,0,0
4,1,11:40.0,,D. Dedmon makes 2-pt layup from 3 ft,0,2
5,1,11:30.0,Turnover by K. Irving (lost ball; steal by D. Dedmon),,0,2
6,1,11:21.0,,V. Oladipo misses 2-pt jump shot from 23 ft,0,2
7,1,11:20.0,,Offensive rebound by N. Vučević,0,2
8,1,11:09.0,,Turnover by E. Payton (bad pass; steal by J. Smith),0,2
9,1,11:06.0,L. James makes 2-pt dunk at rim (assist by K. Irving),,2,2
10,1,10:48.0,,E. Payton misses 2-pt jump shot from 8 ft,2,2
11,1,10:45.0,Defensive rebound by T. Mozgov,,2,2
12,1,10:25.0,J. Smith misses 2-pt jump shot from 19 ft,,2,2
13,1,10:23.0,,Defensive rebound by E. Payton,2,2
14,1,10:13.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by V. Oladipo),2,4
15,1,9:46.0,L. James misses 3-pt jump shot from 27 ft,,2,4
16,1,9:45.0,,Defensive rebound by T. Harris,2,4
17,1,9:22.0,,E. Payton misses 2-pt jump shot from 7 ft,2,4
18,1,9:20.0,,Offensive rebound by E. Payton,2,4
19,1,9:20.0,,E. Payton makes 2-pt layup from 2 ft,2,6
20,1,9:07.0,Shooting foul by N. Vučević (drawn by K. Irving),,2,6
21,1,9:07.0,K. Irving misses free throw 1 of 2,,2,6
22,1,9:07.0,Offensive rebound by Team,,2,6
23,1,9:07.0,K. Irving misses free throw 2 of 2,,2,6
24,1,9:06.0,,Defensive rebound by T. Harris,2,6
25,1,8:54.0,,V. Oladipo misses 2-pt layup from 2 ft,2,6
26,1,8:53.0,,Offensive rebound by E. Payton,2,6
27,1,8:49.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),2,8
28,1,8:27.0,K. Irving misses 2-pt jump shot from 17 ft,,2,8
29,1,8:26.0,,Defensive rebound by N. Vučević,2,8
30,1,8:17.0,,N. Vučević misses 2-pt jump shot from 18 ft,2,8
31,1,8:16.0,Defensive rebound by L. James,,2,8
32,1,8:09.0,T. Mozgov misses 2-pt hook shot from 5 ft,,2,8
33,1,8:08.0,Offensive rebound by L. James,,2,8
34,1,8:08.0,Shooting foul by D. Dedmon (drawn by L. James),,2,8
35,1,8:08.0,L. James makes free throw 1 of 2,,3,8
36,1,8:08.0,L. James makes free throw 2 of 2,,4,8
37,1,7:55.0,,T. Harris makes 2-pt jump shot from 17 ft,4,10
38,1,7:40.0,J. Smith misses 2-pt layup from 2 ft,,4,10
39,1,7:38.0,,Defensive rebound by D. Dedmon,4,10
40,1,7:26.0,,T. Harris misses 2-pt jump shot from 5 ft,4,10
41,1,7:26.0,,Offensive rebound by T. Harris,4,10
42,1,7:25.0,,N. Vučević misses 2-pt tip-in at rim,4,10
43,1,7:23.0,Defensive rebound by T. Mozgov,,4,10
44,1,7:20.0,Personal foul by D. Dedmon (drawn by K. Irving),,4,10
45,1,7:07.0,K. Irving makes 3-pt jump shot from 25 ft,,7,10
46,1,6:51.0,,Turnover by V. Oladipo (bad pass; steal by L. James),7,10
47,1,6:46.0,L. James makes 2-pt layup from 1 ft,,9,10
48,1,6:38.0,,T. Harris makes 2-pt layup from 1 ft (assist by E. Payton),9,12
49,1,6:23.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,11,12
50,1,6:10.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),11,14
51,1,5:57.0,K. Irving makes 2-pt layup from 2 ft,,13,14
52,1,5:54.0,,Orlando full timeout,13,14
53,1,5:54.0,K. Perkins enters the game for L. James,,13,14
54,1,5:54.0,I. Shumpert enters the game for T. Mozgov,,13,14
55,1,5:36.0,,V. Oladipo misses 2-pt jump shot from 23 ft,13,14
56,1,5:35.0,,Offensive rebound by N. Vučević,13,14
57,1,5:31.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by N. Vučević),13,16
58,1,5:05.0,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Irving),,16,16
59,1,4:49.0,,T. Harris makes 2-pt layup from 2 ft (assist by E. Payton),16,18
60,1,4:39.0,,C. Frye enters the game for D. Dedmon,16,18
61,1,4:39.0,J. Jones enters the game for T. Thompson,,16,18
62,1,4:36.0,Turnover by K. Irving (lost ball; steal by E. Payton),,16,18
63,1,4:24.0,,V. Oladipo misses 2-pt layup from 2 ft,16,18
64,1,4:23.0,,Offensive rebound by N. Vučević,16,18
65,1,4:23.0,,N. Vučević misses 2-pt tip-in from 2 ft,16,18
66,1,4:21.0,,Offensive rebound by N. Vučević,16,18
67,1,4:21.0,,N. Vučević misses 2-pt tip-in from 2 ft,16,18
68,1,4:19.0,,Offensive rebound by N. Vučević,16,18
69,1,4:15.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by C. Frye),16,21
70,1,4:02.0,K. Perkins makes 2-pt layup from 1 ft (assist by J. Smith),,18,21
71,1,3:48.0,,C. Frye misses 2-pt layup from 2 ft,18,21
