,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),0,2
1,1,11:19.0,W. Johnson makes 2-pt jump shot from 15 ft,,2,2
2,1,10:50.0,,M. Gasol misses 2-pt hook shot from 8 ft,2,2
3,1,10:49.0,,Offensive rebound by T. Allen,2,2
4,1,10:38.0,,M. Conley misses 2-pt layup from 1 ft (block by J. Lin),2,2
5,1,10:36.0,,Offensive rebound by C. Lee,2,2
6,1,10:29.0,,C. Lee makes 2-pt jump shot from 15 ft,2,4
7,1,10:17.0,Turnover by K. Bryant (bad pass),,2,4
8,1,9:59.0,,Z. Randolph misses 2-pt jump shot from 4 ft,2,4
9,1,9:57.0,,Offensive rebound by M. Gasol,2,4
10,1,9:51.0,,Shooting foul by C. Boozer (drawn by Z. Randolph),2,4
11,1,9:51.0,,Z. Randolph makes free throw 1 of 2,2,5
12,1,9:51.0,,Z. Randolph misses free throw 2 of 2,2,5
13,1,9:50.0,Defensive rebound by C. Boozer,,2,5
14,1,9:28.0,J. Hill misses 3-pt jump shot from 26 ft,,2,5
15,1,9:26.0,,Defensive rebound by Z. Randolph,2,5
16,1,9:19.0,,C. Lee misses 2-pt jump shot from 20 ft,2,5
17,1,9:16.0,,Offensive rebound by Z. Randolph,2,5
18,1,9:15.0,,Z. Randolph misses 2-pt layup at rim,2,5
19,1,9:13.0,Defensive rebound by C. Boozer,,2,5
20,1,9:06.0,C. Boozer makes 2-pt layup at rim (assist by K. Bryant),,4,5
21,1,8:54.0,,M. Conley misses 2-pt jump shot from 18 ft,4,5
22,1,8:52.0,,Offensive rebound by M. Gasol,4,5
23,1,8:37.0,,Def 3 sec tech foul by K. Bryant,4,5
24,1,8:37.0,,C. Lee makes technical free throw,4,6
25,1,8:31.0,Violation by W. Johnson (kicked ball),,4,6
26,1,8:17.0,,M. Conley misses 2-pt jump shot from 9 ft,4,6
27,1,8:15.0,Defensive rebound by K. Bryant,,4,6
28,1,7:57.0,C. Boozer misses 2-pt jump shot from 10 ft,,4,6
