,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:41.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,0,0
1,1,11:40.0,Defensive rebound by K. Walker,,0,0
2,1,11:27.0,G. Henderson misses 2-pt jump shot from 17 ft,,0,0
3,1,11:26.0,,Defensive rebound by K. Lowry,0,0
4,1,11:14.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by K. Lowry),0,2
5,1,11:02.0,Shooting foul by L. Fields (drawn by G. Henderson),,0,2
6,1,11:02.0,G. Henderson misses free throw 1 of 2,,0,2
7,1,11:02.0,Offensive rebound by Team,,0,2
8,1,11:02.0,G. Henderson makes free throw 2 of 2,,1,2
9,1,10:44.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,1,4
10,1,10:32.0,K. Walker makes 2-pt jump shot from 15 ft,,3,4
11,1,10:20.0,,K. Lowry misses 3-pt jump shot from 25 ft,3,4
12,1,10:20.0,Defensive rebound by M. Kidd-Gilchrist,,3,4
13,1,9:57.0,K. Walker misses 3-pt jump shot from 25 ft,,3,4
14,1,9:56.0,,Defensive rebound by T. Ross,3,4
15,1,9:48.0,,T. Ross misses 3-pt jump shot from 25 ft,3,4
16,1,9:47.0,Defensive rebound by M. Williams,,3,4
17,1,9:40.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,3,4
18,1,9:40.0,,Defensive rebound by A. Johnson,3,4
19,1,9:34.0,,K. Lowry misses 2-pt layup from 1 ft,3,4
20,1,9:33.0,Defensive rebound by M. Williams,,3,4
21,1,9:25.0,B. Biyombo misses 2-pt hook shot from 4 ft,,3,4
22,1,9:24.0,Offensive rebound by K. Walker,,3,4
23,1,9:18.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,6,4
24,1,8:58.0,,Turnover by A. Johnson (bad pass; steal by K. Walker),6,4
25,1,8:54.0,K. Walker makes 2-pt layup from 1 ft,,8,4
26,1,8:38.0,,T. Ross misses 3-pt jump shot from 24 ft,8,4
27,1,8:37.0,Defensive rebound by G. Henderson,,8,4
28,1,8:29.0,K. Walker makes 2-pt jump shot from 18 ft (assist by G. Henderson),,10,4
29,1,8:08.0,Violation by K. Walker (kicked ball),,10,4
30,1,7:55.0,,K. Lowry makes 2-pt hook shot from 4 ft,10,6
31,1,7:37.0,M. Kidd-Gilchrist misses 2-pt jump shot from 9 ft,,10,6
32,1,7:36.0,,Defensive rebound by T. Ross,10,6
33,1,7:28.0,,T. Ross misses 2-pt layup from 4 ft,10,6
34,1,7:26.0,Defensive rebound by M. Kidd-Gilchrist,,10,6
35,1,7:23.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,,12,6
36,1,7:23.0,Shooting foul by T. Ross (drawn by M. Kidd-Gilchrist),,12,6
37,1,7:23.0,M. Kidd-Gilchrist misses free throw 1 of 1,,12,6
38,1,7:22.0,Offensive rebound by M. Williams,,12,6
39,1,7:16.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Williams),,14,6
40,1,7:11.0,,Toronto full timeout,14,6
41,1,7:11.0,,G. Vásquez enters the game for L. Fields,14,6
42,1,7:11.0,,P. Patterson enters the game for A. Johnson,14,6
43,1,6:55.0,,T. Ross makes 2-pt jump shot from 4 ft,14,8
44,1,6:33.0,M. Williams misses 2-pt jump shot from 20 ft,,14,8
45,1,6:33.0,Offensive rebound by B. Biyombo,,14,8
46,1,6:27.0,K. Walker misses 2-pt layup from 1 ft (block by T. Ross),,14,8
47,1,6:25.0,Offensive rebound by K. Walker,,14,8
48,1,6:22.0,K. Walker makes 2-pt layup from 1 ft,,16,8
49,1,6:11.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft,16,8
50,1,6:10.0,Defensive rebound by G. Henderson,,16,8
51,1,6:03.0,G. Henderson makes 2-pt layup from 3 ft,,18,8
52,1,5:45.0,,K. Lowry misses 2-pt jump shot from 8 ft,18,8
53,1,5:44.0,Defensive rebound by K. Walker,,18,8
