,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
0,1,11:40.0,,J. Calderón misses 2-pt jump shot from 20 ft,0,0
1,1,11:39.0,Defensive rebound by A. Bogut,,0,0
2,1,11:22.0,A. Bogut makes 2-pt hook shot from 5 ft,,2,0
3,1,11:05.0,,J. Smith makes 2-pt jump shot from 15 ft (assist by L. Amundson),2,2
4,1,10:56.0,Turnover by D. Green (bad pass; steal by L. Galloway),,2,2
5,1,10:49.0,,L. Thomas misses 2-pt layup from 2 ft,2,2
6,1,10:48.0,,Offensive rebound by L. Amundson,2,2
7,1,10:34.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by L. Amundson),2,4
8,1,10:21.0,K. Thompson misses 2-pt jump shot from 18 ft,,2,4
9,1,10:20.0,,Defensive rebound by J. Smith,2,4
10,1,10:07.0,,L. Thomas makes 2-pt jump shot from 11 ft (assist by J. Calderón),2,6
11,1,9:51.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Green),,5,6
12,1,9:34.0,,Shooting foul by D. Green (drawn by J. Smith),5,6
13,1,9:34.0,,J. Smith makes free throw 1 of 2,5,7
14,1,9:34.0,,J. Smith makes free throw 2 of 2,5,8
15,1,9:28.0,K. Thompson misses 2-pt jump shot from 23 ft,,5,8
16,1,9:26.0,,Defensive rebound by J. Smith,5,8
17,1,9:06.0,,L. Amundson makes 2-pt jump shot from 4 ft (assist by J. Calderón),5,10
18,1,8:56.0,S. Curry makes 3-pt jump shot from 26 ft,,8,10
19,1,8:36.0,,J. Calderón misses 2-pt jump shot from 21 ft,8,10
20,1,8:35.0,Defensive rebound by A. Bogut,,8,10
21,1,8:23.0,D. Green misses 2-pt jump shot from 20 ft,,8,10
22,1,8:22.0,Offensive rebound by S. Curry,,8,10
23,1,8:18.0,S. Curry misses 3-pt jump shot from 24 ft,,8,10
24,1,8:17.0,,Defensive rebound by L. Thomas,8,10
25,1,8:11.0,,L. Galloway misses 3-pt jump shot from 24 ft,8,10
26,1,8:10.0,Defensive rebound by D. Green,,8,10
27,1,8:04.0,S. Curry misses 2-pt jump shot from 10 ft,,8,10
28,1,8:03.0,,Defensive rebound by J. Smith,8,10
29,1,7:48.0,,L. Galloway misses 2-pt jump shot from 20 ft,8,10
30,1,7:47.0,Defensive rebound by S. Curry,,8,10
31,1,7:33.0,D. Green misses 3-pt jump shot from 23 ft,,8,10
32,1,7:32.0,,Defensive rebound by L. Amundson,8,10
33,1,7:22.0,,J. Calderón misses 3-pt jump shot from 24 ft (block by D. Green),8,10
34,1,7:21.0,Defensive rebound by K. Thompson,,8,10
35,1,7:16.0,H. Barnes makes 2-pt layup at rim (assist by D. Green),,10,10
36,1,6:59.0,,J. Smith misses 2-pt jump shot from 14 ft (block by A. Bogut),10,10
37,1,6:58.0,Defensive rebound by S. Curry,,10,10
38,1,6:49.0,K. Thompson misses 2-pt layup from 1 ft,,10,10
39,1,6:48.0,Offensive rebound by A. Bogut,,10,10
40,1,6:48.0,A. Bogut makes 2-pt layup from 1 ft,,12,10
41,1,6:47.0,,New York full timeout,12,10
42,1,6:25.0,,L. Galloway misses 2-pt jump shot from 17 ft,12,10
43,1,6:24.0,Defensive rebound by A. Bogut,,12,10
