,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA CLIPPERS_ACTION,OKLAHOMA CITY_SCORE,LA CLIPPERS_SCORE
0,1,11:35.0,R. Westbrook makes 2-pt layup from 2 ft (assist by A. Roberson),,2,0
1,1,11:21.0,,J. Redick misses 3-pt jump shot from 27 ft,2,0
2,1,11:20.0,Defensive rebound by Team,,2,0
3,1,11:03.0,P. Jones makes 2-pt jump shot from 13 ft,,4,0
4,1,10:55.0,,Personal foul by S. Ibaka (drawn by B. Griffin),4,0
5,1,10:50.0,,B. Griffin misses 2-pt hook shot from 10 ft,4,0
6,1,10:47.0,Defensive rebound by S. Ibaka,,4,0
7,1,10:43.0,Personal foul by D. Jordan (drawn by R. Westbrook),,4,0
8,1,10:29.0,A. Roberson makes 2-pt hook shot from 3 ft (assist by P. Jones),,6,0
9,1,10:20.0,,B. Griffin misses 2-pt jump shot from 21 ft,6,0
10,1,10:19.0,Defensive rebound by Team,,6,0
11,1,10:06.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by R. Westbrook),,8,0
12,1,9:48.0,,B. Griffin misses 2-pt jump shot from 3 ft (block by P. Jones),8,0
13,1,9:46.0,,Offensive rebound by B. Griffin,8,0
14,1,9:43.0,,M. Barnes misses 3-pt jump shot from 25 ft,8,0
15,1,9:41.0,Defensive rebound by S. Ibaka,,8,0
16,1,9:33.0,Turnover by R. Westbrook (lost ball; steal by C. Paul),,8,0
17,1,9:30.0,,Shooting foul by P. Jones (drawn by B. Griffin),8,0
18,1,9:30.0,,B. Griffin makes free throw 1 of 2,8,1
19,1,9:30.0,,B. Griffin makes free throw 2 of 2,8,2
20,1,9:13.0,S. Ibaka makes 2-pt jump shot from 21 ft (assist by P. Jones),,10,2
21,1,9:00.0,,Personal foul by R. Westbrook (drawn by C. Paul),10,2
22,1,8:51.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by C. Paul),10,5
23,1,8:34.0,Personal foul by B. Griffin (drawn by S. Ibaka),,10,5
24,1,8:27.0,R. Westbrook misses 3-pt jump shot from 26 ft,,10,5
25,1,8:26.0,,Defensive rebound by D. Jordan,10,5
26,1,8:11.0,,J. Redick misses 3-pt jump shot from 25 ft,10,5
27,1,8:10.0,,Offensive rebound by D. Jordan,10,5
28,1,8:09.0,,D. Jordan makes 2-pt layup from 1 ft,10,7
29,1,7:59.0,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),,12,7
30,1,7:45.0,,Shooting foul by S. Adams (drawn by B. Griffin),12,7
31,1,7:45.0,,B. Griffin makes free throw 1 of 2,12,8
32,1,7:45.0,,B. Griffin makes free throw 2 of 2,12,9
33,1,7:26.0,S. Ibaka makes 2-pt layup from 1 ft (assist by R. Westbrook),,14,9
34,1,7:19.0,,C. Paul makes 2-pt jump shot from 14 ft,14,11
35,1,7:06.0,S. Ibaka misses 3-pt jump shot from 25 ft,,14,11
36,1,7:05.0,Offensive rebound by S. Adams,,14,11
37,1,7:03.0,S. Adams misses 2-pt hook shot from 5 ft,,14,11
