,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:40.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Lillard,0,0
2,1,11:25.0,,N. Batum misses 2-pt jump shot from 17 ft,0,0
3,1,11:24.0,Defensive rebound by J. Nelson,,0,0
4,1,11:14.0,C. Parsons makes 2-pt jump shot from 4 ft (assist by D. Nowitzki),,2,0
5,1,10:56.0,,W. Matthews makes 2-pt layup from 2 ft,2,2
6,1,10:37.0,M. Ellis makes 2-pt jump shot from 3 ft,,4,2
7,1,10:11.0,,W. Matthews misses 3-pt jump shot from 23 ft,4,2
8,1,10:10.0,Defensive rebound by M. Ellis,,4,2
9,1,10:06.0,Turnover by M. Ellis (lost ball; steal by D. Lillard),,4,2
10,1,10:03.0,,D. Lillard makes 2-pt dunk at rim,4,4
11,1,9:43.0,J. Nelson misses 2-pt jump shot from 8 ft,,4,4
12,1,9:43.0,,Defensive rebound by N. Batum,4,4
13,1,9:28.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by N. Batum),4,6
14,1,9:15.0,M. Ellis makes 2-pt jump shot from 18 ft,,6,6
15,1,8:53.0,,L. Aldridge misses 2-pt layup from 3 ft (block by T. Chandler),6,6
16,1,8:53.0,Defensive rebound by D. Nowitzki,,6,6
17,1,8:47.0,D. Nowitzki makes 3-pt jump shot from 23 ft,,9,6
18,1,8:29.0,Offensive charge foul by L. Aldridge (drawn by T. Chandler),,9,6
19,1,8:29.0,,Turnover by L. Aldridge (offensive foul),9,6
20,1,8:14.0,C. Parsons misses 2-pt jump shot from 16 ft,,9,6
21,1,8:13.0,,Defensive rebound by R. Lopez,9,6
22,1,8:02.0,,R. Lopez misses 2-pt jump shot from 18 ft,9,6
23,1,8:02.0,Defensive rebound by J. Nelson,,9,6
24,1,7:55.0,M. Ellis makes 2-pt layup from 1 ft,,11,6
25,1,7:46.0,,Personal block foul by M. Ellis (drawn by L. Aldridge),11,6
26,1,7:40.0,,D. Lillard misses 2-pt jump shot from 3 ft (block by T. Chandler),11,6
27,1,7:40.0,Defensive rebound by Team,,11,6
28,1,7:40.0,,Loose ball foul by N. Batum (drawn by C. Parsons),11,6
29,1,7:19.0,C. Parsons misses 3-pt jump shot from 24 ft,,11,6
30,1,7:18.0,,Defensive rebound by W. Matthews,11,6
31,1,7:07.0,,D. Lillard misses 3-pt jump shot from 24 ft,11,6
32,1,7:06.0,,Offensive rebound by N. Batum,11,6
33,1,7:04.0,,Turnover by D. Lillard (offensive foul),11,6
34,1,7:04.0,Offensive charge foul by D. Lillard (drawn by J. Nelson),,11,6
35,1,6:52.0,M. Ellis misses 2-pt jump shot from 16 ft,,11,6
36,1,6:51.0,,Defensive rebound by N. Batum,11,6
37,1,6:41.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by N. Batum),11,8
38,1,6:22.0,J. Nelson misses 2-pt jump shot from 20 ft,,11,8
39,1,6:21.0,,Defensive rebound by N. Batum,11,8
40,1,6:10.0,,L. Aldridge misses 2-pt jump shot from 13 ft,11,8
41,1,6:09.0,Defensive rebound by C. Parsons,,11,8
42,1,5:46.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,11,8
43,1,5:45.0,,Defensive rebound by N. Batum,11,8
44,1,5:29.0,,Turnover by R. Lopez (lost ball),11,8
45,1,5:29.0,,Portland full timeout,11,8
46,1,5:29.0,D. Harris enters the game for D. Nowitzki,,11,8
47,1,5:14.0,Turnover by C. Parsons (lost ball),,11,8
48,1,4:58.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),11,10
49,1,4:42.0,M. Ellis misses 2-pt jump shot from 18 ft,,11,10
50,1,4:41.0,,Defensive rebound by W. Matthews,11,10
51,1,4:26.0,,Turnover by D. Lillard (bad pass; steal by D. Harris),11,10
52,1,4:21.0,,Violation by N. Batum (def goaltending),11,10
53,1,4:21.0,M. Ellis makes 2-pt layup from 2 ft (assist by D. Harris),,13,10
54,1,4:07.0,,W. Matthews misses 3-pt jump shot from 24 ft,13,10
55,1,4:05.0,,Offensive rebound by R. Lopez,13,10
56,1,3:57.0,,R. Lopez makes 2-pt jump shot from 16 ft (assist by N. Batum),13,12
57,1,3:42.0,Turnover by T. Chandler (offensive goaltending),,13,12
58,1,3:42.0,,S. Blake enters the game for W. Matthews,13,12
59,1,3:42.0,,C. Kaman enters the game for R. Lopez,13,12
60,1,3:25.0,,L. Aldridge makes 2-pt jump shot from 15 ft,13,14
61,1,3:04.0,T. Chandler misses 2-pt layup from 2 ft,,13,14
62,1,3:02.0,,Defensive rebound by Team,13,14
63,1,3:02.0,B. Wright enters the game for T. Chandler,,13,14
64,1,3:02.0,A. Aminu enters the game for J. Nelson,,13,14
65,1,2:44.0,,D. Lillard misses 3-pt jump shot from 25 ft,13,14
66,1,2:43.0,Defensive rebound by B. Wright,,13,14
67,1,2:26.0,B. Wright makes 2-pt layup from 2 ft (assist by M. Ellis),,15,14
68,1,2:17.0,,Turnover by N. Batum (bad pass; steal by A. Aminu),15,14
69,1,2:13.0,B. Wright makes 2-pt dunk at rim (assist by C. Parsons),,17,14
70,1,1:49.0,,C. Kaman makes 2-pt dunk at rim (assist by S. Blake),17,16
71,1,1:42.0,Dallas full timeout,,17,16
72,1,1:42.0,J. Barea enters the game for M. Ellis,,17,16
73,1,1:42.0,D. Nowitzki enters the game for C. Parsons,,17,16
74,1,1:42.0,,W. Barton enters the game for D. Lillard,17,16
75,1,1:42.0,,C. McCollum enters the game for N. Batum,17,16
76,1,1:33.0,D. Harris makes 2-pt jump shot from 6 ft,,19,16
77,1,1:33.0,Shooting foul by C. McCollum (drawn by D. Harris),,19,16
78,1,1:33.0,D. Harris makes free throw 1 of 1,,20,16
79,1,1:11.0,,C. Kaman makes 2-pt layup from 2 ft (assist by W. Barton),20,18
80,1,1:00.0,J. Barea makes 2-pt layup from 1 ft,,22,18
81,1,0:46.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by W. Barton),22,20
82,1,0:33.0,J. Barea misses 2-pt jump shot from 22 ft,,22,20
83,1,0:31.0,,Defensive rebound by C. McCollum,22,20
84,1,0:16.0,,Turnover by W. Barton (bad pass; steal by A. Aminu),22,20
85,1,0:00.0,B. Wright makes 2-pt jump shot from 13 ft (assist by D. Harris),,24,20
86,2,11:43.0,,S. Blake misses 3-pt jump shot from 24 ft,24,20
87,2,11:42.0,Defensive rebound by A. Aminu,,24,20
88,2,11:27.0,B. Wright misses 2-pt layup from 1 ft (block by C. Kaman),,24,20
89,2,11:26.0,Offensive rebound by B. Wright,,24,20
90,2,11:23.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,24,20
91,2,11:21.0,,Defensive rebound by S. Blake,24,20
92,2,11:19.0,,Personal foul by D. Nowitzki (drawn by T. Robinson),24,20
93,2,11:05.0,,C. Kaman makes 2-pt hook shot from 2 ft,24,22
94,2,11:05.0,,Shooting foul by B. Wright (drawn by C. Kaman),24,22
95,2,11:05.0,Violation by D. Harris (lane),,24,22
