,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
0,1,11:44.0,,Turnover by K. Martin (bad pass; steal by G. Temple),0,0
1,1,11:43.0,Shooting foul by K. Martin (drawn by G. Temple),,0,0
2,1,11:43.0,G. Temple makes free throw 1 of 2,,1,0
3,1,11:43.0,G. Temple makes free throw 2 of 2,,2,0
4,1,11:22.0,,K. Garnett misses 2-pt jump shot from 21 ft,2,0
5,1,11:20.0,,Offensive rebound by R. Rubio,2,0
6,1,11:17.0,,Shooting foul by M. Gortat (drawn by A. Wiggins),2,0
7,1,11:17.0,,A. Wiggins misses free throw 1 of 2,2,0
8,1,11:17.0,,Offensive rebound by Team,2,0
9,1,11:17.0,,A. Wiggins makes free throw 2 of 2,2,1
10,1,11:00.0,N. Hilário misses 2-pt jump shot from 14 ft,,2,1
11,1,10:59.0,Offensive rebound by G. Temple,,2,1
12,1,10:51.0,N. Hilário misses 2-pt hook shot from 4 ft (block by K. Garnett),,2,1
13,1,10:48.0,,Defensive rebound by K. Garnett,2,1
14,1,10:40.0,,R. Rubio misses 2-pt layup from 1 ft,2,1
15,1,10:39.0,Defensive rebound by M. Gortat,,2,1
16,1,10:33.0,N. Hilário makes 2-pt layup from 2 ft (assist by J. Wall),,4,1
17,1,10:23.0,,Personal foul by J. Wall (drawn by R. Rubio),4,1
18,1,10:18.0,,R. Rubio misses 2-pt jump shot from 19 ft,4,1
19,1,10:16.0,,Offensive rebound by N. Peković,4,1
20,1,10:15.0,,N. Peković misses 2-pt layup from 1 ft,4,1
21,1,10:13.0,Defensive rebound by M. Gortat,,4,1
22,1,10:05.0,J. Wall makes 3-pt jump shot from 24 ft (assist by G. Temple),,7,1
23,1,9:48.0,,Turnover by K. Martin (lost ball; steal by G. Temple),7,1
24,1,9:44.0,G. Temple makes 2-pt layup at rim,,9,1
25,1,9:44.0,,Minnesota full timeout,9,1
26,1,9:31.0,,Turnover by A. Wiggins (traveling),9,1
27,1,9:19.0,Turnover by N. Hilário (3 sec),,9,1
28,1,9:07.0,,K. Martin misses 3-pt jump shot from 24 ft,9,1
29,1,9:06.0,Defensive rebound by M. Gortat,,9,1
30,1,8:48.0,O. Porter misses 2-pt jump shot from 19 ft (block by A. Wiggins),,9,1
31,1,8:47.0,,Defensive rebound by K. Garnett,9,1
32,1,8:39.0,,A. Wiggins misses 3-pt jump shot from 23 ft,9,1
33,1,8:37.0,,Offensive rebound by Team,9,1
34,1,8:31.0,,Turnover by A. Wiggins (bad pass; steal by J. Wall),9,1
35,1,8:27.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,11,1
36,1,8:06.0,,K. Martin misses 2-pt jump shot from 17 ft,11,1
37,1,8:05.0,Defensive rebound by G. Temple,,11,1
38,1,7:57.0,J. Wall misses 3-pt jump shot from 24 ft,,11,1
39,1,7:56.0,Offensive rebound by N. Hilário,,11,1
40,1,7:51.0,M. Gortat misses 2-pt jump shot from 14 ft,,11,1
41,1,7:50.0,,Defensive rebound by K. Martin,11,1
42,1,7:40.0,,N. Peković misses 2-pt hook shot from 7 ft (block by M. Gortat),11,1
43,1,7:38.0,Defensive rebound by G. Temple,,11,1
44,1,7:30.0,N. Hilário misses 2-pt jump shot from 11 ft,,11,1
45,1,7:28.0,,Defensive rebound by N. Peković,11,1
46,1,7:19.0,,K. Garnett misses 2-pt jump shot from 20 ft,11,1
47,1,7:17.0,Defensive rebound by J. Wall,,11,1
48,1,7:10.0,J. Wall misses 2-pt layup at rim,,11,1
