,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
0,1,11:41.0,K. Garnett misses 2-pt jump shot from 9 ft,,0,0
1,1,11:40.0,,Defensive rebound by E. Bledsoe,0,0
2,1,11:17.0,,M. Morris misses 2-pt jump shot from 19 ft,0,0
3,1,11:16.0,Defensive rebound by D. Williams,,0,0
4,1,10:57.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,0,0
5,1,10:56.0,,Defensive rebound by M. Morris,0,0
6,1,10:43.0,,M. Morris makes 2-pt dunk at rim (assist by G. Dragić),0,2
7,1,10:33.0,D. Williams makes 2-pt layup from 1 ft,,2,2
8,1,10:11.0,,Turnover by E. Bledsoe (lost ball; steal by D. Williams),2,2
9,1,10:03.0,K. Garnett misses 2-pt jump shot from 9 ft,,2,2
10,1,10:02.0,,Defensive rebound by M. Morris,2,2
11,1,9:52.0,,Turnover by M. Plumlee (offensive goaltending),2,2
12,1,9:34.0,K. Garnett makes 2-pt layup at rim (assist by D. Williams),,4,2
13,1,9:14.0,,M. Plumlee makes 2-pt hook shot from 3 ft,4,4
14,1,9:03.0,Turnover by K. Garnett (bad pass; steal by E. Bledsoe),,4,4
15,1,8:58.0,,G. Dragić misses 2-pt layup from 1 ft,4,4
16,1,8:57.0,,Offensive rebound by M. Morris,4,4
17,1,8:57.0,,Personal foul by K. Garnett (drawn by M. Morris),4,4
18,1,8:51.0,,G. Dragić misses 2-pt jump shot from 13 ft,4,4
19,1,8:50.0,,Offensive rebound by M. Morris,4,4
20,1,8:35.0,,Personal foul by D. Williams (drawn by M. Morris),4,4
21,1,8:29.0,,Turnover by E. Bledsoe (bad pass; steal by B. Lopez),4,4
22,1,8:15.0,K. Garnett makes 2-pt jump shot from 6 ft,,6,4
23,1,8:01.0,,M. Morris makes 2-pt jump shot from 20 ft,6,6
24,1,7:48.0,Personal foul by M. Morris (drawn by J. Johnson),,6,6
25,1,7:37.0,D. Williams makes 3-pt jump shot from 25 ft,,9,6
26,1,7:22.0,,E. Bledsoe makes 2-pt dunk at rim (assist by G. Dragić),9,8
27,1,7:04.0,J. Johnson makes 2-pt jump shot from 6 ft (assist by K. Garnett),,11,8
28,1,6:48.0,,Turnover by E. Bledsoe (bad pass; steal by J. Johnson),11,8
29,1,6:43.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Johnson),,13,8
30,1,6:27.0,,M. Morris misses 2-pt jump shot from 19 ft,13,8
31,1,6:26.0,Defensive rebound by J. Johnson,,13,8
32,1,6:17.0,Shooting foul by E. Bledsoe (drawn by B. Bogdanović),,13,8
33,1,6:17.0,B. Bogdanović makes free throw 1 of 2,,14,8
34,1,6:17.0,M. Teletović enters the game for K. Garnett,,14,8
35,1,6:17.0,B. Bogdanović makes free throw 2 of 2,,15,8
36,1,6:13.0,,Phoenix full timeout,15,8
37,1,6:05.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),15,10
38,1,5:48.0,D. Williams misses 2-pt jump shot from 4 ft,,15,10
39,1,5:47.0,Offensive rebound by B. Lopez,,15,10
40,1,5:44.0,B. Lopez makes 2-pt layup from 1 ft,,17,10
41,1,5:28.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by M. Morris),17,13
42,1,5:09.0,J. Johnson makes 2-pt jump shot from 7 ft,,19,13
43,1,4:51.0,,M. Plumlee misses 2-pt jump shot from 14 ft,19,13
44,1,4:50.0,Defensive rebound by B. Lopez,,19,13
