,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:56.0,Turnover by A. Gordon (traveling),,0,0
1,1,11:31.0,,G. Dragić makes 2-pt layup from 2 ft,0,2
2,1,11:14.0,N. Vučević misses 2-pt jump shot from 15 ft,,0,2
3,1,11:13.0,,Defensive rebound by G. Dragić,0,2
4,1,10:52.0,,H. Whiteside makes 2-pt hook shot from 8 ft (assist by L. Deng),0,4
5,1,10:36.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by N. Vučević),,3,4
6,1,10:10.0,,U. Haslem misses 2-pt jump shot from 16 ft,3,4
7,1,10:09.0,Defensive rebound by A. Gordon,,3,4
8,1,10:02.0,V. Oladipo misses 2-pt layup from 1 ft,,3,4
9,1,10:01.0,,Defensive rebound by H. Whiteside,3,4
10,1,9:55.0,,L. Deng makes 2-pt layup from 1 ft (assist by G. Dragić),3,6
11,1,9:45.0,E. Payton makes 2-pt jump shot from 8 ft (assist by A. Gordon),,5,6
12,1,9:21.0,,G. Dragić misses 3-pt jump shot from 25 ft,5,6
13,1,9:20.0,Defensive rebound by Team,,5,6
14,1,8:59.0,T. Harris makes 2-pt jump shot from 7 ft,,7,6
15,1,8:30.0,,L. Deng misses 2-pt jump shot from 19 ft,7,6
16,1,8:29.0,Defensive rebound by T. Harris,,7,6
17,1,8:22.0,T. Harris makes 2-pt jump shot from 16 ft,,9,6
18,1,8:07.0,,U. Haslem makes 2-pt jump shot from 18 ft (assist by G. Dragić),9,8
19,1,7:43.0,N. Vučević misses 2-pt hook shot from 9 ft,,9,8
20,1,7:42.0,,Defensive rebound by U. Haslem,9,8
21,1,7:30.0,,G. Dragić misses 2-pt jump shot from 13 ft,9,8
22,1,7:29.0,Defensive rebound by A. Gordon,,9,8
23,1,7:21.0,A. Gordon misses 2-pt hook shot from 10 ft,,9,8
24,1,7:20.0,,Defensive rebound by H. Whiteside,9,8
25,1,7:13.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),9,10
26,1,7:13.0,,Shooting foul by T. Harris (drawn by H. Whiteside),9,10
27,1,7:13.0,,H. Whiteside makes free throw 1 of 1,9,11
28,1,6:58.0,V. Oladipo misses 3-pt jump shot from 24 ft,,9,11
29,1,6:57.0,,Defensive rebound by H. Whiteside,9,11
30,1,6:41.0,,D. Wade misses 2-pt jump shot from 16 ft,9,11
31,1,6:40.0,,Offensive rebound by D. Wade,9,11
32,1,6:32.0,,D. Wade misses 2-pt layup from 2 ft,9,11
33,1,6:31.0,,Offensive rebound by H. Whiteside,9,11
34,1,6:29.0,,H. Whiteside makes 2-pt layup from 1 ft,9,13
35,1,6:22.0,Shooting foul by H. Whiteside (drawn by N. Vučević),,9,13
36,1,6:22.0,N. Vučević misses free throw 1 of 2,,9,13
37,1,6:22.0,Offensive rebound by Team,,9,13
38,1,6:22.0,,M. Chalmers enters the game for G. Dragić,9,13
39,1,6:22.0,N. Vučević makes free throw 2 of 2,,10,13
40,1,6:03.0,,Shooting foul by N. Vučević (drawn by D. Wade),10,13
41,1,6:03.0,,D. Wade misses free throw 1 of 2,10,13
42,1,6:03.0,,Offensive rebound by Team,10,13
43,1,6:03.0,,D. Wade makes free throw 2 of 2,10,14
44,1,5:51.0,T. Harris makes 2-pt jump shot from 9 ft (assist by E. Payton),,12,14
45,1,5:38.0,,L. Deng makes 2-pt jump shot from 6 ft,12,16
46,1,5:30.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,14,16
47,1,5:02.0,,L. Deng misses 2-pt jump shot from 11 ft,14,16
48,1,5:01.0,,Offensive rebound by U. Haslem,14,16
49,1,5:00.0,,Turnover by U. Haslem (bad pass),14,16
50,1,5:00.0,,Miami full timeout,14,16
51,1,5:00.0,M. Harkless enters the game for A. Gordon,,14,16
52,1,4:50.0,T. Harris misses 2-pt jump shot from 18 ft,,14,16
53,1,4:49.0,Offensive rebound by N. Vučević,,14,16
54,1,4:37.0,Personal foul by U. Haslem (drawn by M. Harkless),,14,16
55,1,4:37.0,M. Harkless misses free throw 1 of 2,,14,16
56,1,4:37.0,Offensive rebound by Team,,14,16
57,1,4:37.0,M. Harkless misses free throw 2 of 2,,14,16
58,1,4:36.0,,Defensive rebound by H. Whiteside,14,16
59,1,4:13.0,,M. Chalmers misses 2-pt jump shot from 19 ft,14,16
60,1,4:12.0,,Offensive rebound by Team,14,16
61,1,4:12.0,Loose ball foul by E. Payton (drawn by L. Deng),,14,16
62,1,4:12.0,,G. Dragić enters the game for D. Wade,14,16
63,1,4:12.0,,J. Ennis enters the game for U. Haslem,14,16
64,1,3:58.0,,Turnover by H. Whiteside (bad pass; steal by V. Oladipo),14,16
65,1,3:53.0,N. Vučević misses 2-pt layup at rim,,14,16
66,1,3:52.0,Offensive rebound by V. Oladipo,,14,16
67,1,3:51.0,V. Oladipo makes 2-pt layup from 1 ft,,16,16
68,1,3:25.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by G. Dragić),16,19
69,1,3:06.0,Turnover by V. Oladipo (bad pass; steal by L. Deng),,16,19
70,1,3:03.0,,J. Ennis makes 2-pt layup at rim (assist by L. Deng),16,21
71,1,2:51.0,T. Harris makes 2-pt layup from 2 ft (assist by E. Payton),,18,21
72,1,2:34.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),18,23
73,1,2:31.0,Orlando full timeout,,18,23
74,1,2:31.0,W. Green enters the game for N. Vučević,,18,23
75,1,2:31.0,D. Dedmon enters the game for V. Oladipo,,18,23
76,1,2:19.0,M. Harkless misses 3-pt jump shot from 24 ft,,18,23
77,1,2:18.0,,Defensive rebound by H. Whiteside,18,23
78,1,2:00.0,,J. Ennis makes 2-pt dunk at rim (assist by G. Dragić),18,25
79,1,1:53.0,W. Green misses 3-pt jump shot from 23 ft,,18,25
80,1,1:52.0,,Defensive rebound by M. Chalmers,18,25
81,1,1:45.0,,G. Dragić makes 2-pt layup at rim,18,27
82,1,1:36.0,Offensive rebound by D. Dedmon,,18,27
83,1,1:34.0,D. Dedmon makes 2-pt layup from 1 ft,,20,27
84,1,1:12.0,,M. Chalmers makes 2-pt layup from 1 ft,20,29
85,1,0:56.0,T. Harris misses 3-pt jump shot from 24 ft,,20,29
86,1,0:55.0,,Defensive rebound by H. Whiteside,20,29
87,1,0:44.0,,Personal foul by D. Dedmon (drawn by H. Whiteside),20,29
88,1,0:35.0,,G. Dragić makes 2-pt layup from 2 ft,20,31
89,1,0:26.0,D. Dedmon misses 2-pt jump shot from 5 ft (block by H. Whiteside),,20,31
90,1,0:25.0,,Defensive rebound by L. Deng,20,31
91,1,0:08.0,,M. Chalmers makes 2-pt layup from 1 ft,20,33
92,1,0:00.0,E. Payton makes 2-pt jump shot from 18 ft,,22,33
93,2,11:40.0,,G. Dragić misses 2-pt jump shot from 18 ft,22,33
94,2,11:39.0,,Offensive rebound by G. Dragić,22,33
95,2,11:37.0,,C. Andersen makes 2-pt dunk at rim (assist by G. Dragić),22,35
96,2,11:26.0,Offensive foul by A. Nicholson (drawn by M. Chalmers),,22,35
97,2,11:26.0,Turnover by A. Nicholson (offensive foul),,22,35
98,2,11:12.0,,C. Andersen makes 2-pt dunk at rim (assist by M. Chalmers),22,37
99,2,10:51.0,A. Gordon misses 2-pt jump shot from 4 ft,,22,37
100,2,10:50.0,,Defensive rebound by C. Andersen,22,37
101,2,10:27.0,,G. Dragić misses 2-pt layup from 2 ft,22,37
102,2,10:26.0,Defensive rebound by V. Oladipo,,22,37
103,2,10:22.0,V. Oladipo makes 2-pt layup at rim,,24,37
104,2,10:08.0,,Personal foul by A. Nicholson (drawn by C. Andersen),24,37
105,2,10:02.0,,G. Dragić makes 2-pt layup at rim,24,39
106,2,10:02.0,,Shooting block foul by W. Green (drawn by G. Dragić),24,39
107,2,10:02.0,,G. Dragić makes free throw 1 of 1,24,40
108,2,9:45.0,V. Oladipo misses 2-pt jump shot from 19 ft,,24,40
109,2,9:44.0,Offensive rebound by T. Harris,,24,40
110,2,9:28.0,A. Gordon misses 2-pt jump shot from 9 ft,,24,40
111,2,9:27.0,,Defensive rebound by C. Andersen,24,40
112,2,9:10.0,,M. Beasley misses 2-pt jump shot from 13 ft,24,40
113,2,9:09.0,Defensive rebound by T. Harris,,24,40
114,2,8:58.0,Shooting foul by C. Andersen (drawn by T. Harris),,24,40
115,2,8:58.0,Official timeout,,24,40
116,2,8:58.0,T. Harris makes free throw 1 of 2,,25,40
117,2,8:58.0,T. Harris misses free throw 2 of 2,,25,40
118,2,8:57.0,,Defensive rebound by C. Andersen,25,40
119,2,8:32.0,,J. Ennis misses 2-pt jump shot from 21 ft,25,40
120,2,8:31.0,,Offensive rebound by G. Dragić,25,40
121,2,8:18.0,,M. Chalmers misses 2-pt layup from 1 ft,25,40
122,2,8:17.0,Defensive rebound by V. Oladipo,,25,40
123,2,7:57.0,V. Oladipo misses 2-pt layup from 2 ft (block by C. Andersen),,25,40
124,2,7:56.0,,Defensive rebound by M. Beasley,25,40
125,2,7:40.0,,Shooting foul by W. Green (drawn by C. Andersen),25,40
126,2,7:40.0,,C. Andersen makes free throw 1 of 2,25,41
127,2,7:40.0,N. Vučević enters the game for W. Green,,25,41
128,2,7:40.0,E. Payton enters the game for A. Nicholson,,25,41
129,2,7:40.0,,C. Andersen makes free throw 2 of 2,25,42
