,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:46.0,,Turnover by J. Calderón (bad pass; steal by G. Antetokounmpo),0,0
1,1,11:22.0,Z. Pachulia misses 2-pt jump shot from 13 ft,,0,0
2,1,11:21.0,,Defensive rebound by Q. Acy,0,0
3,1,11:07.0,,C. Aldrich makes 2-pt layup from 1 ft (assist by J. Smith),0,2
4,1,10:59.0,B. Knight misses 3-pt jump shot from 25 ft,,0,2
5,1,10:57.0,Offensive rebound by J. O'Bryant,,0,2
6,1,10:49.0,Turnover by K. Middleton (bad pass),,0,2
7,1,10:35.0,,Turnover by T. Hardaway (bad pass; steal by Z. Pachulia),0,2
8,1,10:31.0,Offensive foul by G. Antetokounmpo (drawn by Q. Acy),,0,2
9,1,10:31.0,Turnover by G. Antetokounmpo (offensive foul),,0,2
10,1,10:13.0,,J. Smith misses 3-pt jump shot from 24 ft,0,2
11,1,10:10.0,Defensive rebound by G. Antetokounmpo,,0,2
12,1,10:03.0,B. Knight makes 2-pt layup at rim,,2,2
13,1,9:44.0,,C. Aldrich misses 2-pt hook shot from 4 ft,2,2
14,1,9:42.0,Defensive rebound by Z. Pachulia,,2,2
15,1,9:32.0,Turnover by Z. Pachulia (lost ball; steal by Q. Acy),,2,2
16,1,9:27.0,,T. Hardaway misses 2-pt layup from 3 ft (block by G. Antetokounmpo),2,2
17,1,9:27.0,,Offensive rebound by Team,2,2
18,1,9:25.0,,C. Aldrich misses 2-pt jump shot from 4 ft,2,2
19,1,9:23.0,Defensive rebound by Z. Pachulia,,2,2
20,1,9:15.0,B. Knight misses 2-pt jump shot from 17 ft,,2,2
21,1,9:14.0,Offensive rebound by Z. Pachulia,,2,2
22,1,9:13.0,Shooting foul by T. Hardaway (drawn by Z. Pachulia),,2,2
23,1,9:13.0,Z. Pachulia makes free throw 1 of 2,,3,2
24,1,9:13.0,Z. Pachulia makes free throw 2 of 2,,4,2
25,1,9:00.0,,C. Aldrich makes 2-pt layup at rim (assist by J. Smith),4,4
26,1,8:38.0,K. Middleton misses 3-pt jump shot from 25 ft,,4,4
27,1,8:36.0,,Defensive rebound by C. Aldrich,4,4
28,1,8:27.0,,J. Calderón makes 3-pt jump shot from 24 ft (assist by T. Hardaway),4,7
29,1,8:13.0,J. O'Bryant makes 2-pt jump shot from 19 ft (assist by B. Knight),,6,7
30,1,7:56.0,Violation by Z. Pachulia (kicked ball),,6,7
31,1,7:48.0,,Turnover by J. Smith (bad pass; steal by Z. Pachulia),6,7
32,1,7:43.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Middleton),,8,7
33,1,7:24.0,,Q. Acy makes 2-pt layup from 1 ft (assist by J. Calderón),8,9
34,1,7:01.0,K. Middleton misses 2-pt jump shot from 19 ft,,8,9
35,1,7:00.0,,Defensive rebound by C. Aldrich,8,9
36,1,6:54.0,,T. Hardaway makes 3-pt jump shot from 25 ft,8,12
37,1,6:40.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by Z. Pachulia),,10,12
38,1,6:33.0,,T. Hardaway misses 2-pt layup from 1 ft (block by G. Antetokounmpo),10,12
39,1,6:30.0,Defensive rebound by K. Middleton,,10,12
40,1,6:22.0,Shooting foul by C. Aldrich (drawn by G. Antetokounmpo),,10,12
41,1,6:22.0,G. Antetokounmpo makes free throw 1 of 2,,11,12
42,1,6:22.0,J. Dudley enters the game for J. O'Bryant,,11,12
43,1,6:22.0,,J. Smith enters the game for C. Aldrich,11,12
44,1,6:22.0,G. Antetokounmpo misses free throw 2 of 2,,11,12
45,1,6:21.0,,Defensive rebound by J. Smith,11,12
46,1,6:05.0,,J. Calderón misses 2-pt jump shot from 12 ft,11,12
47,1,6:03.0,Defensive rebound by K. Middleton,,11,12
48,1,5:46.0,B. Knight misses 2-pt jump shot from 17 ft,,11,12
49,1,5:44.0,,Defensive rebound by Q. Acy,11,12
50,1,5:28.0,,Turnover by J. Calderón (bad pass; steal by J. Dudley),11,12
51,1,5:24.0,J. Dudley makes 2-pt dunk at rim (assist by B. Knight),,13,12
52,1,5:24.0,,New York full timeout,13,12
53,1,5:24.0,,T. Wear enters the game for Q. Acy,13,12
54,1,5:24.0,J. Henson enters the game for Z. Pachulia,,13,12
55,1,5:11.0,,J. Smith makes 2-pt layup from 1 ft,13,14
56,1,5:00.0,B. Knight misses 2-pt layup at rim,,13,14
57,1,4:59.0,Offensive rebound by B. Knight,,13,14
58,1,4:59.0,B. Knight misses 2-pt tip-in at rim,,13,14
59,1,4:58.0,Offensive rebound by B. Knight,,13,14
60,1,4:57.0,B. Knight makes 2-pt layup from 2 ft,,15,14
61,1,4:57.0,Shooting foul by J. Smith (drawn by B. Knight),,15,14
62,1,4:57.0,B. Knight misses free throw 1 of 1,,15,14
63,1,4:55.0,,Defensive rebound by J. Smith,15,14
64,1,4:33.0,,T. Hardaway makes 3-pt jump shot from 28 ft (assist by J. Calderón),15,17
65,1,4:14.0,J. Henson misses 2-pt hook shot from 3 ft,,15,17
66,1,4:12.0,,Defensive rebound by J. Smith,15,17
67,1,4:07.0,,Turnover by T. Wear (lost ball; steal by K. Middleton),15,17
68,1,3:58.0,Personal foul by J. Smith (drawn by G. Antetokounmpo),,15,17
69,1,3:58.0,,S. Larkin enters the game for J. Calderón,15,17
70,1,3:42.0,G. Antetokounmpo makes 2-pt jump shot from 3 ft,,17,17
71,1,3:27.0,,J. Smith misses 2-pt jump shot from 14 ft,17,17
72,1,3:25.0,Defensive rebound by K. Middleton,,17,17
73,1,3:16.0,Turnover by B. Knight (bad pass; steal by J. Smith),,17,17
74,1,3:16.0,,Personal foul by J. Henson (drawn by J. Smith),17,17
75,1,3:16.0,,P. Prigioni enters the game for J. Smith,17,17
76,1,2:59.0,,T. Hardaway misses 2-pt jump shot from 14 ft,17,17
