,QUARTER,TIME_REMAINING,DETROIT_ACTION,SACRAMENTO_ACTION,DETROIT_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by B. Jennings),,2,0
1,1,11:26.0,,Turnover by R. Hollins (lost ball),2,0
2,1,11:14.0,Turnover by K. Singler (bad pass),,2,0
3,1,10:50.0,,D. Collison misses 3-pt jump shot from 25 ft,2,0
4,1,10:49.0,Defensive rebound by J. Smith,,2,0
5,1,10:44.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,4,0
6,1,10:22.0,,R. Gay misses 2-pt layup from 1 ft,4,0
7,1,10:21.0,,Offensive rebound by R. Gay,4,0
8,1,10:21.0,,Personal take foul by A. Drummond (drawn by R. Gay),4,0
9,1,10:21.0,,R. Gay makes free throw 1 of 2,4,1
10,1,10:21.0,,R. Gay makes free throw 2 of 2,4,2
11,1,9:57.0,J. Smith makes 2-pt jump shot from 18 ft (assist by B. Jennings),,6,2
12,1,9:47.0,,D. Collison makes 3-pt jump shot from 25 ft,6,5
13,1,9:34.0,Turnover by J. Smith (bad pass),,6,5
14,1,9:14.0,,Personal foul by K. Caldwell-Pope (drawn by B. McLemore),6,5
15,1,9:08.0,,J. Thompson makes 2-pt jump shot from 22 ft (assist by R. Gay),6,7
16,1,8:48.0,J. Smith misses 2-pt hook shot from 6 ft,,6,7
17,1,8:47.0,,Defensive rebound by J. Thompson,6,7
18,1,8:41.0,,Turnover by R. Gay (bad pass; steal by A. Drummond),6,7
19,1,8:34.0,B. Jennings misses 3-pt jump shot from 24 ft,,6,7
20,1,8:33.0,,Defensive rebound by J. Thompson,6,7
21,1,8:28.0,,R. Gay misses 3-pt jump shot from 26 ft,6,7
22,1,8:27.0,Defensive rebound by J. Smith,,6,7
23,1,8:21.0,Turnover by J. Smith (bad pass),,6,7
24,1,8:14.0,,Personal foul by B. Jennings (drawn by D. Collison),6,7
25,1,8:09.0,,J. Thompson makes 2-pt jump shot from 20 ft (assist by D. Collison),6,9
26,1,7:53.0,K. Singler makes 3-pt jump shot from 25 ft (assist by J. Smith),,9,9
27,1,7:34.0,,R. Gay misses 2-pt layup from 1 ft,9,9
28,1,7:33.0,Defensive rebound by J. Smith,,9,9
29,1,7:28.0,A. Drummond makes 2-pt dunk at rim (assist by J. Smith),,11,9
30,1,7:04.0,,Personal foul by K. Singler (drawn by R. Gay),11,9
31,1,7:01.0,,J. Thompson makes 2-pt dunk at rim (assist by R. Hollins),11,11
32,1,6:38.0,K. Singler misses 2-pt jump shot from 10 ft,,11,11
33,1,6:36.0,,Defensive rebound by J. Thompson,11,11
34,1,6:32.0,,D. Collison misses 2-pt layup from 1 ft (block by J. Smith),11,11
35,1,6:30.0,Defensive rebound by J. Smith,,11,11
36,1,6:26.0,Turnover by B. Jennings (bad pass),,11,11
37,1,6:06.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by R. Gay),11,14
38,1,5:49.0,J. Smith makes 2-pt layup from 2 ft (assist by B. Jennings),,13,14
