,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:40.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,3,0
1,1,11:17.0,,P. Millsap misses 2-pt jump shot from 5 ft,3,0
2,1,11:14.0,Defensive rebound by S. Dalembert,,3,0
3,1,10:54.0,S. Dalembert misses 2-pt jump shot from 19 ft,,3,0
4,1,10:52.0,,Defensive rebound by D. Carroll,3,0
5,1,10:36.0,,A. Horford makes 2-pt jump shot from 13 ft (assist by P. Millsap),3,2
6,1,10:20.0,S. Larkin misses 3-pt jump shot from 23 ft,,3,2
7,1,10:19.0,,Defensive rebound by K. Korver,3,2
8,1,10:06.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),3,5
9,1,10:00.0,,Offensive charge foul by T. Hardaway (drawn by K. Korver),3,5
10,1,10:00.0,Turnover by T. Hardaway (offensive foul),,3,5
11,1,9:47.0,,K. Korver misses 2-pt jump shot from 18 ft,3,5
12,1,9:46.0,Defensive rebound by C. Anthony,,3,5
13,1,9:25.0,C. Anthony misses 2-pt jump shot from 19 ft,,3,5
14,1,9:23.0,Offensive rebound by S. Dalembert,,3,5
15,1,9:16.0,I. Shumpert makes 2-pt jump shot from 18 ft,,5,5
16,1,8:55.0,,D. Carroll misses 3-pt jump shot from 24 ft,5,5
17,1,8:53.0,Defensive rebound by C. Anthony,,5,5
18,1,8:43.0,C. Anthony makes 2-pt jump shot from 4 ft (assist by T. Hardaway),,7,5
19,1,8:23.0,,K. Korver misses 2-pt jump shot from 16 ft,7,5
20,1,8:19.0,Defensive rebound by T. Hardaway,,7,5
21,1,8:00.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,10,5
22,1,8:00.0,Shooting foul by J. Teague (drawn by T. Hardaway),,10,5
23,1,8:00.0,T. Hardaway misses free throw 1 of 1,,10,5
24,1,7:58.0,,Defensive rebound by D. Carroll,10,5
25,1,7:51.0,,J. Teague misses 2-pt jump shot from 3 ft,10,5
26,1,7:50.0,Defensive rebound by S. Dalembert,,10,5
27,1,7:43.0,Turnover by C. Anthony (bad pass; steal by J. Teague),,10,5
28,1,7:40.0,,Shooting foul by S. Larkin (drawn by J. Teague),10,5
29,1,7:40.0,,J. Teague makes free throw 1 of 2,10,6
30,1,7:40.0,,J. Teague makes free throw 2 of 2,10,7
31,1,7:19.0,S. Dalembert makes 2-pt dunk at rim (assist by I. Shumpert),,12,7
32,1,7:01.0,,P. Millsap misses 2-pt layup from 1 ft,12,7
