,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:43.0,M. Dunleavy misses 2-pt layup at rim,,0,0
1,1,11:41.0,Offensive rebound by J. Noah,,0,0
2,1,11:40.0,J. Noah makes 2-pt tip-in from 1 ft,,2,0
3,1,11:22.0,,A. Drummond makes 2-pt hook shot from 5 ft,2,2
4,1,11:06.0,J. Butler makes 2-pt jump shot from 20 ft (assist by J. Noah),,4,2
5,1,10:45.0,,Turnover by A. Drummond (lost ball; steal by P. Gasol),4,2
6,1,10:37.0,J. Noah misses 2-pt layup at rim,,4,2
7,1,10:36.0,,Defensive rebound by G. Monroe,4,2
8,1,10:15.0,,S. Dinwiddie misses 2-pt layup at rim,4,2
9,1,10:13.0,Defensive rebound by J. Noah,,4,2
10,1,10:09.0,Turnover by D. Rose (bad pass; steal by K. Caldwell-Pope),,4,2
11,1,10:04.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,4,2
12,1,10:03.0,Defensive rebound by J. Noah,,4,2
13,1,9:51.0,J. Noah makes 2-pt layup at rim,,6,2
14,1,9:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,6,2
15,1,9:28.0,Defensive rebound by J. Noah,,6,2
16,1,9:21.0,D. Rose makes 2-pt layup at rim,,8,2
17,1,9:05.0,,C. Butler misses 3-pt jump shot from 26 ft,8,2
18,1,9:04.0,Defensive rebound by J. Noah,,8,2
19,1,9:01.0,Turnover by D. Rose (bad pass),,8,2
20,1,8:44.0,,K. Caldwell-Pope misses 2-pt layup at rim,8,2
21,1,8:43.0,,Offensive rebound by A. Drummond,8,2
22,1,8:42.0,,A. Drummond makes 2-pt dunk at rim,8,4
23,1,8:27.0,Turnover by J. Noah (lost ball),,8,4
24,1,8:07.0,,G. Monroe makes 2-pt layup from 1 ft,8,6
25,1,7:55.0,Turnover by M. Dunleavy (bad pass; steal by G. Monroe),,8,6
26,1,7:47.0,,C. Butler makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),8,9
27,1,7:22.0,M. Dunleavy misses 2-pt jump shot from 21 ft,,8,9
28,1,7:19.0,,Defensive rebound by C. Butler,8,9
29,1,7:15.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by C. Butler),8,12
30,1,6:49.0,D. Rose makes 2-pt jump shot from 21 ft (assist by J. Noah),,10,12
31,1,6:24.0,,S. Dinwiddie misses 2-pt jump shot from 4 ft,10,12
32,1,6:23.0,Defensive rebound by Team,,10,12
33,1,6:06.0,P. Gasol misses 2-pt hook shot from 5 ft,,10,12
34,1,6:05.0,,Defensive rebound by A. Drummond,10,12
35,1,5:54.0,,Personal foul by M. Dunleavy (drawn by C. Butler),10,12
36,1,5:54.0,,Detroit full timeout,10,12
37,1,5:43.0,,G. Monroe misses 2-pt jump shot from 17 ft,10,12
38,1,5:42.0,Defensive rebound by J. Butler,,10,12
